stilistisch	stilisticamente
kaplan	cappellano
streiten	litigare
baseball	baseball
petersen	petersen
gunther	gunther
luftfahrt	aeronautica
luftfahrt	aviazione
common	common
ricardo	ricardo
schnittstelle	interfaccia
feststellung	constatazione
wismar	wismar
christa	christa
abwechselnd	alternativamente
gelblich	giallastro
vetter	cugino
isle	isle
nachmittag	pomeriggio
geschenkt	regalato
hubschrauber	elicottero
globalen	globale
verzicht	rinuncia
laz	laz
kopien	copie
schrittweise	graduale
lächerlich	ridicolo
cultural	cultural
steinbach	steinbach
gültigkeit	validità
gefährlich	pericoloso
integrieren	integrare
garnison	guarnigione
hmm	hmm
investitionen	investimenti
steil	ripida
meyers	meyers
baumann	baumann
panama	panama
bureau	bureau
bestrebungen	aspirazioni
hypothese	ipotesi
fink	fink
frédéric	frédéric
killer	killer
eugène	eugène
arndt	arndt
bibliothekar	bibliotecario
spirit	spirit
symphony	symphony
bein	gamba
carsten	carsten
usb	usb
erklärungen	dichiarazioni
verbreiten	diffondere
has	has
hieronymus	hieronymus
frey	frey
pyramide	piramide
detmold	detmold
jewish	jewish
noten	partiture
nebraska	nebraska
anpassen	personalizzare
existierten	esistevano
steuermann	timoniere
yang	yang
christmas	christmas
diskriminierung	discriminazione
merseburg	merseburg
welten	mondi
zuständigkeit	competenza
advanced	advanced
aviv	aviv
ing	ing
mütter	mamme
hildegard	hildegard
reutlingen	reutlingen
graubünden	grigioni
leslie	leslie
logisch	logico
kasten	riquadro
piraten	pirati
käse	formaggio
lotus	lotus
ziegler	ziegler
cohen	cohen
ausschluss	esclusione
kameras	telecamere
kameras	fotocamere
ausstellungskatalog	ausstellungskatalog
gärtner	giardiniere
biologischen	biologico
karibik	caraibi
again	again
kuppel	cupola
orléans	orléans
kiss	kiss
sean	sean
achte	ottava
dreizehn	tredici
luke	luke
granit	granito
phillips	phillips
orgelbauer	organaro
reife	maturità
kunstverlag	kunstverlag
böhm	böhm
dankbar	grato
triathlon	triathlon
warnung	avvertimento
parlamentarischen	parlamentare
verlagsanstalt	verlagsanstalt
neumarkt	egna
biographische	biografica
redir	redir
bert	bert
diesel	diesel
ingeborg	ingeborg
intro	intro
made	made
unterkategorie	sottocategoria
legal	legale
schuldig	colpevole
verteidigt	difeso
curt	curt
nationalsozialistische	nazionalsocialista
grammy	grammy
hughes	hughes
herford	herford
verschwörung	cospirazione
île	île
rechtfertigt	giustifica
bettina	bettina
zar	zar
alliance	alliance
kennzeichnung	marcatura
inge	inge
côte	côte
bundesverband	bundesverband
giebel	frontone
rica	rica
neuordnung	riordino
alphabet	alfabeto
baustelle	cantiere
eugene	eugene
geschieden	divorziato
productions	productions
harvey	harvey
apotheker	farmacista
police	polizza
police	police
banner	banner
nerven	nervi
anonym	anonimo
siena	siena
maya	maya
wiederholung	ripetizione
liebt	ama
beschwerden	denunce
gleichgewicht	equilibrio
ehrendoktorwürde	honorem
vermarktet	commercializzato
bourbon	borbone
gebrochen	rotto
karsten	karsten
fahrrad	bicicletta
komponente	componente
tänzer	ballerini
ireland	ireland
andrei	andrei
möller	möller
verb	verbo
rheinische	rheinische
mathematical	mathematical
ana	ana
gleiches	fiammifero
bomber	bomber
bertelsmann	bertelsmann
trilogie	trilogia
polizeiruf	polizeiruf
gemüse	verdure
balkan	balcani
befestigung	fissaggio
metzler	metzler
botanischen	botanico
kurier	corriere
ästhetik	estetica
strategische	strategico
nintendo	nintendo
grafiken	grafica
dragon	dragon
montenegro	montenegro
savoyen	savoia
bernstein	ambra
staatsmann	statista
canal	canal
bunker	bunker
blanc	blanc
she	she
wings	wings
giacomo	giacomo
astronomische	astronomica
hertha	hertha
adenauer	adenauer
auvergne	auvergne
odenwald	odenwald
versprechen	promessa
lenz	lenz
jensen	jensen
unzureichend	insufficiente
richmond	richmond
myspace	myspace
innenhof	cortile
demonstration	dimostrazione
kamerun	camerun
verweigert	negato
hunt	hunt
choice	choice
träume	sogni
stiftskirche	collegiata
oldenbourg	oldenbourg
rassismus	razzismo
itf	itf
through	through
commander	comandante
hobby	hobby
abel	abel
sara	sara
weinheim	weinheim
schießen	sparare
beatles	beatles
bomben	bombe
marquis	marchese
alexei	aleksej
stände	bancarelle
erobern	conquistare
ausreichen	basterebbero
ökologie	ecologia
sánchez	sánchez
esslingen	esslingen
schwimmer	nuotatore
ottawa	ottawa
jahrzehnt	decennio
ceo	ceo
faschismus	fascismo
kuhn	kuhn
zeug	roba
owen	owen
roosevelt	roosevelt
nebenflüsse	affluenti
hesse	hesse
clan	clan
reims	reims
jedermann	chiunque
blei	piombo
geologische	geologica
wasserburg	wasserburg
relative	relativa
franchise	franchising
walk	walk
leuchtturm	faro
panik	panico
angelika	angelika
cameron	cameron
biographien	biografie
schmetterling	farfalla
jupiter	giove
verona	verona
kastilien	castiglia
verursachen	causare
emmanuel	emmanuel
raumschiff	astronave
lachen	risate
claire	claire
hardcore	hardcore
nicola	nicola
detaillierte	dettagliato
daily	daily
friends	friends
pflichten	doveri
salt	salt
katzen	gatti
gestört	disturbato
mitherausgeber	coeditore
basic	basic
versicherung	assicurazione
patricia	patricia
vollständigkeit	completezza
dichten	fitta
heritage	heritage
neigung	inclinazione
fabian	fabian
orlando	orlando
ausgeübt	esercitato
ausgeübt	amministrato
quo	quo
madagaskar	madagascar
steilen	ripide
detlef	detlef
kanäle	canali
krim	crimea
impulse	impulsi
sullivan	sullivan
kunstmuseum	kunstmuseum
sozialdemokraten	socialdemocratici
köpfe	teste
berührt	toccato
iranischen	iraniano
pat	pat
massen	masse
siebte	settima
bang	bang
mer	mer
stabil	stabile
kreuzberg	kreuzberg
heiner	heiner
ahmad	ahmad
überfall	rapina
geschenk	regalo
optik	ottica
dreißig	trenta
unterschrift	firma
tragödie	tragedia
missionar	missionario
niger	niger
laser	laser
fbi	fbi
ausüben	esercitare
obst	frutta
maske	maschera
padua	padova
drachen	drago
aha	aha
bären	orsi
éditions	éditions
got	got
elberfeld	elberfeld
zeugnis	testimonianza
gewebe	tessuti
maxim	maxim
shows	spettacoli
hendrik	hendrik
jet	jet
potsdamer	potsdamer
impact	impact
unerwünscht	indesiderato
unerwünscht	indesiderabile
arg	arg
kenia	kenya
legenden	leggende
verbrannt	bruciato
lanka	lanka
fide	fide
mendelssohn	mendelssohn
zweibrücken	zweibrücken
robertson	robertson
pedal	pedale
wiley	wiley
css	css
schaffhausen	sciaffusa
navigation	navigazione
parkplatz	parcheggio
komponistin	compositrice
flughäfen	aeroporti
ärger	guai
drucker	stampante
elster	elster
apotheke	farmacia
uniform	uniforme
animation	animazione
verwandelt	trasformato
sic	sic
won	won
pérez	pérez
kommentiert	commenta
daimler	daimler
dauerhafte	duraturo
erzgebirge	metalliferi
getrennte	distinti
astronomischen	astronomici
auftraggeber	committente
pascha	pasha
rate	tasso
empfang	ricezione
empfang	accoglienza
sweet	sweet
rap	rap
weitergeleitet	inoltrato
clinton	clinton
stapel	pila
zealand	zealand
britain	britain
mentor	mentore
dialekte	dialetti
room	room
coupé	coupé
einwanderer	immigrati
tastatur	tastiera
rebellion	ribellione
kahl	calvo
joel	joel
saturn	saturno
herausforderung	sfida
kanzlei	cancelleria
initiativen	iniziative
seat	seat
benutzername	username
realisierung	realizzazione
gun	gun
asche	cenere
asche	ceneri
binden	legare
late	late
kontrast	contrasto
wittgenstein	wittgenstein
next	next
karel	karel
jahrestag	anniversario
boulevard	boulevard
gelehrter	studioso
palmer	palmer
rolling	rolling
droste	droste
schwächen	debolezze
neuburg	neuburg
realismus	realismo
reichenbach	reichenbach
hansa	hansa
donnerstag	giovedi
donnerstag	giovedì
gras	erba
schätze	tesori
interpretationen	interpretazioni
maas	mosa
großherzog	granduca
strauß	struzzo
spree	spree
malcolm	malcolm
lebensunterhalt	sussistenza
eduardo	eduardo
brunner	brunner
wanderte	vagava
verl	verl
batterie	batteria
sidney	sidney
pink	pink
arsenal	arsenale
eichen	querce
neuling	novizio
karen	karen
intel	intel
getreten	calpestato
entry	entry
melchior	melchior
fischen	pescare
executive	executive
libyen	libia
krupp	krupp
musikwissenschaftler	musicologo
between	between
käufer	compratore
käufer	acquirente
vampir	vampiro
moderatorin	presentatore
moderatorin	conduttrice
pfeil	freccia
ähneln	assomigliano
cent	centesimi
geographic	geographic
technologien	tecnologie
living	living
toledo	toledo
pfeiffer	pfeiffer
foster	foster
industrial	industrial
angola	angola
argumentieren	argomentare
dis	dis
botanik	botanica
eiche	quercia
soccer	soccer
kath	kath
wünschenswert	auspicabile
léon	léon
scholz	scholz
pseudo	pseudo
reichtum	ricchezza
ewige	eterna
ewige	eterno
unregelmäßig	irregolare
professional	professional
ketten	catene
osmanische	ottomana
rights	rights
córdoba	cordoba
geformt	modellato
briefmarken	francobolli
engelbert	engelbert
radikal	radicale
guinea	guinea
ahl	ahl
anderswo	altrove
curtis	curtis
pete	pete
halberstadt	halberstadt
steel	steel
amberg	amberg
rhön	rhön
modul	modulo
greg	greg
meldet	segnala
price	price
mittelfeldspieler	centrocampista
einwände	obiezioni
kronen	corone
sojus	sojuz
schlafen	dormire
weine	vini
lions	lions
kräftig	vigoroso
luc	luc
rupert	rupert
wasserstoff	idrogeno
nielsen	nielsen
physics	physics
taz	taz
rapid	rapid
gaius	gaio
erleichtert	facilita
shaw	shaw
dtv	dtv
rachel	rachel
census	census
behinderung	disabilità
mythen	miti
vulkan	vulcano
release	release
ionen	ioni
schalke	schalke
kleist	kleist
profis	professionisti
carol	carol
jesse	jesse
food	food
auslöser	innesco
auslöser	otturatore
gekrönt	coronato
passend	adatto
vorab	preventivamente
leopoldina	leopoldina
propheten	profeti
grove	grove
pisa	pisa
speed	speed
eder	eder
grundstücke	terreni
fähre	traghetto
artur	artur
intervention	intervento
hallen	capannoni
zweige	rami
verfall	decadenza
benno	benno
paraguay	paraguay
privilegien	privilegi
chirurg	chirurgo
paper	paper
autonomie	autonomia
petri	petri
capital	capital
läufer	corridore
nizza	nizza
bulletin	bollettino
glaubte	credeva
mason	mason
hunger	fame
reuter	reuter
ried	ried
strenge	rigore
sardinien	sardegna
airways	airways
biennale	biennale
gif	gif
wurzel	radice
train	train
fleck	macchia
comeback	rimonta
bryan	bryan
bennett	bennett
empfehlungen	raccomandazioni
lie	lie
ungewöhnliche	insolito
bildschirm	schermo
swing	swing
bombe	bomba
bestraft	punito
vereinfacht	semplificato
anthropologie	antropologia
vandalen	vandali
columbus	columbus
radar	radar
monde	lune
bonaparte	bonaparte
übertrieben	esagerato
anspielung	evocazione
eur	eur
rechteckigen	rettangolare
juri	jurij
xavier	xavier
trompete	tromba
imperial	imperial
schweinfurt	schweinfurt
satzung	statuto
haller	haller
masuren	masuria
kaliber	calibro
ahmed	ahmed
vierzehn	quattordici
fünfzehn	quindici
ain	ain
russ	russ
frequenzen	frequenze
praktizierte	praticato
leichen	cadaveri
kirchberg	kirchberg
vandenhoeck	vandenhoeck
montgomery	montgomery
yves	yves
fragment	frammento
interstate	interstate
soko	soko
drücken	premere
hofer	hofer
bart	bart
ullstein	ullstein
hey	ehi
gruber	gruber
number	number
aufzählung	enumerazione
sons	sons
sergio	sergio
string	stringa
cornelia	cornelia
aserbaidschan	azerbaigian
endpunkt	endpoint
president	president
iihf	iihf
scientific	scientific
abgedeckt	coperto
rail	rail
ruhm	fama
entführt	rapito
heaven	heaven
schlaf	sonno
segment	segmento
ermland	varmia
napoleonischen	napoleoniche
critics	critics
platin	platino
vorwerk	vorwerk
cello	violoncello
toskana	toscana
plauen	plauen
reparatur	riparazione
konstruktiv	costruttivo
dokumentieren	documentare
ute	ute
mafia	mafia
agency	agency
lès	lès
landwehr	landwehr
websites	siti
ruderer	canottieri
drive	drive
psychiater	psichiatra
freiwilliger	volontario
beleidigungen	insulti
where	where
ital	ital
archäologen	archeologi
anden	ande
badische	badische
torsten	torsten
leber	fegato
fühlte	sentivo
prototypen	prototipi
leidet	soffre
cold	cold
dmitri	dmitrij
stile	stili
wei	wei
wells	wells
fürstenberg	fürstenberg
experimentelle	sperimentale
wetzlar	wetzlar
wüsste	sapessi
wüsste	saprebbe
reed	reed
leningrad	leningrado
brooks	brooks
corpus	corpus
anglo	anglo
nickel	nichel
roche	roche
break	break
reuß	reuss
percy	percy
betten	letti
dominik	dominik
gebet	preghiera
cum	cum
palm	palm
landet	atterra
triest	trieste
untertitel	sottotitoli
jin	jin
wallis	wallis
nordamerikanischen	nordamericano
sibirien	siberia
chip	chip
limousine	limousine
ausführen	esegui
alberta	alberta
südtiroler	altoatesini
abbey	abbey
domenico	domenico
patient	paziente
child	child
genießen	godere
protestanten	protestanti
nietzsche	nietzsche
kid	kid
elke	elke
illegal	illegale
mill	mill
helmuth	helmuth
teheran	teheran
elefanten	elefanti
spekulationen	speculazioni
transparenz	trasparenza
operette	operetta
kalkstein	calcare
wat	wat
luca	luca
derby	derby
zerfall	decadimento
zerfall	disintegrazione
trinidad	trinidad
cole	cole
widerlegt	confutata
philipps	philipps
morton	morton
spiegelt	riflette
spiegelt	rispecchia
andersen	andersen
körner	grani
körner	chicchi
präzise	preciso
logistik	logistica
zorn	rabbia
stilllegung	disattivazione
viscount	visconte
saône	saona
vista	vista
verbleibenden	rimanenti
alpine	alpine
elfmeterschießen	rigori
kreta	creta
copyright	copyright
betty	betty
voice	voice
naumburg	naumburg
hefte	quaderni
annäherung	avvicinamento
ger	ger
ger	ita
ghetto	ghetto
wing	wing
optional	opzionale
gps	gps
sbb	ffs
tags	tag
skandinavien	scandinavia
mauerwerk	muratura
radius	raggio
calgary	calgary
bertram	bertram
convention	convention
übereinstimmung	concordanza
minsk	minsk
bedürfnisse	bisogni
genauigkeit	precisione
wohlstand	prosperità
literature	literature
jamie	jamie
bradley	bradley
theodore	theodore
glenn	glenn
kaukasus	caucaso
ellis	ellis
gelagert	immagazzinato
württembergische	württembergische
client	client
friedberg	friedberg
froh	contento
peerage	peerage
absichtlich	deliberatamente
absichtlich	intenzionalmente
than	than
rocky	rocky
straubing	straubing
märkte	mercati
lech	lech
hannah	hannah
sachs	sachs
wolken	nuvole
proben	campioni
schaumburg	schaumburg
aargau	argovia
schuhe	scarpe
gérard	gérard
wiedergabe	riproduzione
cricket	cricket
ibrahim	ibrahim
simple	simple
wahlrecht	suffragio
orientation	orientation
besiegen	sconfiggere
autobahnen	autostrade
trans	trans
antenne	antenna
beseitigung	eliminazione
faber	faber
aircraft	aircraft
annie	annie
vernünftig	ragionevole
comte	comte
parma	parma
gift	veleno
montréal	montréal
senden	invia
antarktis	antartide
nicolaus	nicolaus
betrachter	visualizzatore
katja	katja
heidi	heidi
glanz	splendore
rudolstadt	rudolstadt
versailles	versailles
demonstrationen	dimostrazioni
kurator	curatore
waffenstillstand	armistizio
paz	paz
stop	stop
krater	cratere
julien	julien
variable	variabile
voigt	voigt
schott	paratia
tschechoslowakischen	cecoslovacca
kingdom	kingdom
verraten	tradire
guardian	guardian
mechanismus	meccanismo
feedback	feedback
steyr	steyr
schwache	deboli
lille	lilla
lille	lille
schale	buccia
birds	birds
ableiten	derivare
brenner	bruciatore
arrangeur	arrangiatore
marino	marino
powell	powell
kompliziert	complicato
verbandsliga	verbandsliga
nicolai	nicolai
haven	haven
vizepräsidenten	vicepresidenti
rain	rain
fisher	fisher
hoffen	sperare
vorbereitungen	preparativi
helligkeit	luminosità
toleranz	tolleranza
amy	amy
lose	lotti
gau	gau
hbf	hbf
kenny	kenny
blume	fiore
wimbledon	wimbledon
milan	milan
immobilien	immobiliare
beyond	beyond
lauenburg	lauenburg
lehrt	insegna
keltischen	celtica
app	app
mauritius	maurizio
todd	todd
without	without
blitz	lampo
blitz	fulmine
peinlich	imbarazzante
begleiten	accompagnare
grabstein	lapide
kühn	audace
dominique	dominique
davies	davies
empfiehlt	raccomanda
comté	comté
karlheinz	karlheinz
tipps	consigli
airbus	airbus
rassen	razze
flying	flying
schlange	serpente
wave	wave
federal	federal
aids	aids
bloch	bloch
fröhlich	allegro
füllen	riempire
heise	heise
garmisch	garmisch
sorgfältig	attentamente
churchill	churchill
canyon	canyon
nationalität	nazionalità
virtuelle	virtuale
mathematisch	matematicamente
schwarzenberg	schwarzenberg
pearl	pearl
anita	anita
syntax	sintassi
eyes	eyes
strophe	strofa
municipal	municipal
money	money
acta	acta
krönung	incoronazione
besetzen	occupare
kids	kids
sonstiges	altro
sklaverei	schiavitù
förster	förster
gate	gate
darwin	darwin
duncan	duncan
zweifellos	indubbiamente
knie	ginocchia
initiator	iniziatore
gleichmäßig	uniformemente
schulte	schulte
fischerei	pesca
jessica	jessica
benny	benny
schlimmer	peggio
sulzbach	sulzbach
duc	duc
proteine	proteine
variieren	variare
vergrößerung	ingrandimento
gmünd	gmünd
nissan	nissan
factor	factor
sparta	sparta
ast	ast
bachmann	bachmann
neo	neo
infektion	infezione
battista	battista
access	access
neunkirchen	neunkirchen
émile	émile
ukrainisch	ucraino
bsp	pnl
exportiert	esportato
deckt	copre
electronic	electronic
fabriken	fabbriche
buchenwald	buchenwald
tagung	sessione
atlantis	atlantis
berechnen	calcolare
programmierung	programmazione
delaware	delaware
physiologie	fisiologia
lindau	lindau
lob	lodi
lob	lode
klicken	scatto
pforzheim	pforzheim
schätzungen	stime
vergleichende	comparativa
brest	brest
beschlüsse	ordinanze
face	face
dynamik	dinamica
stadtbahn	stadtbahn
martínez	martínez
bewahrt	preserva
simpson	simpson
crawford	crawford
rhode	rhode
biblischen	biblico
tours	tours
asiaten	asiatici
kohlhammer	kohlhammer
bey	bey
klee	trifoglio
tribus	tribus
ideale	ideali
auslagerung	esternalizzazione
isabel	isabel
gent	gand
rau	rau
kostüme	costumi
another	another
nepal	nepal
gräben	trincee
date	appuntamento
gitarren	chitarre
lemberg	leopoli
formeln	formule
transparent	trasparente
schwiegersohn	genero
claudio	claudio
überzogen	ricoperti
pauline	pauline
korruption	corruzione
franke	franke
beate	beate
tanzen	ballare
denver	denver
feldmarschall	feldmaresciallo
schrader	schrader
lucy	lucy
richards	richards
porter	porter
mills	mills
ole	ole
flüge	voli
newcastle	newcastle
strategien	strategie
esther	esther
zeugnisse	testimonianze
asian	asian
regiert	governato
atom	atomo
mathematics	mathematics
synode	sinodo
häufigkeit	frequenza
sol	sol
staatsangehörigkeit	cittadinanza
soest	soest
schwarzburg	schwarzburg
economics	economics
away	away
vila	vila
weisheit	saggezza
nächster	prossimo
nächster	successivo
arne	arne
pixel	pixel
memphis	memphis
suisse	suisse
dumm	stupido
codes	codici
henderson	henderson
alfonso	alfonso
gibson	gibson
kalk	calce
emily	emily
mad	mad
said	said
satire	satira
peak	picco
ruder	timone
osmanen	ottomani
mazedonien	macedonia
para	para
workshop	workshop
diamond	diamond
homer	homer
stan	stan
dichterin	poetessa
led	led
flammen	fiamme
kapitalismus	capitalismo
niederlassungen	filiali
sascha	sascha
ssr	ssr
sous	sous
überlebende	sopravvissuti
federico	federico
socken	calzini
lieferung	consegna
serben	serbi
done	done
horizont	orizzonte
nische	nicchia
dekret	decreto
absurd	assurdo
thun	thun
harper	harper
martín	martín
journalismus	giornalismo
verstöße	infrazioni
sysop	sysop
defa	defa
hausen	hausen
sylvia	sylvia
derek	derek
cups	cups
ausgestorben	estinto
umbenennen	rinominare
kurzform	diminutivo
federn	piume
tessin	ticino
übungen	esercizi
blake	blake
transportieren	trasportare
lou	lou
einbeziehung	inclusione
crystal	crystal
beyer	beyer
btw	btw
schultz	schultz
spandau	spandau
motion	motion
javier	javier
continent	continent
penguin	penguin
absolventen	laureati
anja	anja
bytes	byte
schwangerschaft	gravidanza
planen	pianificare
pohl	pohl
lucky	lucky
zahn	dente
nat	nat
skizzen	schizzi
gelobt	lodato
landsmann	connazionale
sexualität	sessualità
recordings	recordings
batman	batman
räder	ruote
escudo	escudo
absturz	crash
inflation	inflazione
folter	tortura
richardson	richardson
phänomene	fenomeni
berufe	professioni
eye	eye
athletic	athletic
bertrand	bertrand
creative	creative
stumpf	moncone
illegalen	clandestini
vergehen	passano
milton	milton
burton	burton
nordhausen	nordhausen
croix	croix
geoffrey	geoffrey
franziskaner	francescano
urteile	sentenze
dawn	dawn
wartung	manutenzione
teresa	teresa
zutreffend	allineare
entführung	rapimento
nuclear	nuclear
bravo	bravo
foreign	foreign
exchange	exchange
enttäuscht	deluso
siegmund	siegmund
lasst	lasciate
tauchte	spuntato
stammtisch	tavolata
kombinationen	combinazioni
ocean	ocean
nichte	nipote
genealogie	genealogia
check	check
zusammenfluss	confluenza
profile	profili
katrin	katrin
beleidigt	offeso
ingenieure	ingegneri
ausfall	guasto
trompeter	trombettista
flight	flight
torres	torres
genossenschaft	cooperativa
cox	cox
trail	trail
indianapolis	indianapolis
vieh	bestiame
ähnlichkeiten	somiglianze
humanist	umanista
atlético	atlético
hohenlohe	hohenlohe
volkswagen	volkswagen
paket	pacchetto
mittwoch	mercoledì
neuwied	neuwied
eagle	eagle
beeindruckt	impressionato
amiga	amiga
crime	crime
ehc	ehc
miniserie	miniserie
span	span
bregenz	bregenz
ghost	ghost
bundesarchiv	bundesarchiv
kreuzzug	crociata
unglücklich	infelice
liberty	liberty
politikwissenschaftler	politologo
subjekt	soggetto
too	too
depression	depressione
legendären	leggendario
elena	elena
untertanen	sudditi
wellington	wellington
referenzen	referenze
arbeitslosigkeit	disoccupazione
vizekönig	viceré
ira	ira
gilles	gilles
therese	therese
spitzname	soprannome
salem	salem
partenkirchen	partenkirchen
#ffffff	#ffffff
schrott	rottami
lucia	lucia
hess	hess
brühl	brühl
konstante	costante
suzuki	suzuki
photo	photo
bögen	archi
regentschaft	reggenza
enrique	enrique
geister	fantasmi
aviation	aviation
gouvernement	governatorato
leiste	inguine
tank	serbatoio
krank	malato
möbel	mobili
eden	eden
lancaster	lancaster
sonja	sonja
aurich	aurich
olympic	olympic
burkhard	burkhard
republic	republic
armeekorps	armeekorps
fries	fries
weißenburg	weißenburg
academia	academia
gambia	gambia
mais	granturco
