विराट	virat
लड़ाकू	fighter
बेसिन	basin
नानक	nanak
खोटे	khote
चार्टर	charter
उत्प्रेरक	catalyst
हर्ष	harsh
कठोरता	stiffness
कठोरता	hardness
तीर	arrows
तीर	arrow
फिनलैंड	finland
स्टेम	stem
पोलिश	polish
रोकता	prevents
जनजातियों	tribes
लोहिया	lohia
डेक	deck
युवराज	yuvraj
निर्वात	vacuum
आपातकाल	emergency
टिम	tim
खानों	mines
ओवेन	owen
प्रागैतिहासिक	prehistoric
इरादे	intention
चित्रकूट	chitrakoot
लेग	leg
कालक्रम	chronology
अवधारणाओं	concepts
प्रोफ़ाइल	profile
प्रोफ़ाइल	profiles
घृणा	hatred
घृणा	hate
घृणा	disdain
राखी	rakhi
एंड्रयू	andrew
सूर्यवंशी	suryavanshi
मसाला	masala
मसाला	spice
मल्होत्रा	malhotra
मूल्यवान	valuable
चिकन	chicken
कुवैत	kuwait
चेतन	chetan
बर्बरता	barbarism
बर्बरता	vandalism
विकलांग	disabled
विकलांग	handicapped
संकीर्ण	narrow
समझी	considered
विशेषाधिकार	privilege
विशेषाधिकार	prerogative
विशेषाधिकार	privileged
रोमांस	romance
सामयिक	timely
विनय	vinay
कार्यक्षमता	functionality
मानों	values
पतंजलि	patanjali
सामर्थ्य	strength
सामर्थ्य	potential
सामर्थ्य	capabilities
स्वच्छता	cleanliness
स्वच्छता	sanitation
आखिरकार	eventually
आखिरकार	finally
लिवरपूल	liverpool
ऐन	ann
ऐन	ain
अदृश्य	invisible
अदृश्य	imperceptible
अदृश्य	latent
अंगूठी	ring
अलवर	alwar
पंचांग	calendar
पंचांग	calendars
प्रोफ़ेसर	professor
नमूनों	specimens
मकर	capricorn
एंडी	andy
परतों	layers
अटल	obdurate
अटल	resolute
अटल	adamant
अटल	irrevocable
पेंगुइन	penguin
ग्राफ	graph
कुरान	quran
कुरान	koran
शेफ़ील्ड	sheffield
सुर	sur
दुष्ट	rogue
दुष्ट	evil
दुष्ट	wicked
वैभव	grandeur
केदारनाथ	kedarnath
कपिल	kapila
कपिल	kapil
निष्पक्ष	impartial
निष्पक्ष	equitable
निष्पक्ष	neutral
पंत	pant
संयोजित	combined
चाणक्य	chanakya
वर्जित	forbidden
बराबरी	equals
बैकअप	backups
बैकअप	backup
अमीनो	amino
प्रविष्टि	entry
प्रविष्टि	listing
निमंत्रण	invitations
निमंत्रण	invitation
पाटिल	patil
माधोपुर	madhopur
नकदी	cash
ज्यामितीय	geometric
अरुणा	aruna
उस्ताद	ustad
निराशा	disappointment
दरवाजा	door
शॉपिंग	shopping
फिल्मांकन	filming
स्तंभों	pillars
भवानी	bhawani
अम्बेडकर	ambedkar
सितारों	stars
धोखाधड़ी	fraud
धोखाधड़ी	scammed
प्रिंट	print
गली	street
गिरफ्तारी	arrest
आणविक	molecular
बैंगलोर	bangalore
वेदांत	vedanta
सहाय	sahay
दबाने	suppress
दबाने	pressing
हिल्स	hills
मैट	matt
मैट	matte
बंदर	monkey
अलाउद्दीन	alauddin
जरुरी	necessary
सोनिया	sonia
रोमानिया	romania
वायुमंडलीय	atmospheric
इज़	iz
ग्रोवर	grover
मेघालय	meghalaya
जोड़ना	adding
रास	raas
रास	ras
रास	weasel
घात	ambush
इवान	ivan
नेल्सन	nelson
मोह	moh
सतही	superficial
कभार	sparingly
अक्षम	disabled
अक्षम	destitute
सीनेट	senate
प्रशस्ति	commendation
पारदर्शी	transparent
पारदर्शी	translucent
रेशे	fibres
रेशे	silk
रेशे	fibers
खिड़की	window
विरोधियों	rivals
विरोधियों	opponents
लुइस	luis
क्लैप्टन	clapton
आतंक	terror
आतंक	terrorism
नर्तकी	ballerina
नर्तकी	dancer
ईथर	aether
डगलस	douglas
चालुक्य	chalukya
चालुक्य	chalukyas
एलेक्स	alex
पढ़े	read
पढ़े	reads
मोटर्स	motors
मेनन	menon
पियानो	piano
नियोजित	planned
अप्रत्याशित	unexpected
यूनिवर्सल	universal
विधवा	widowed
विधवा	widow
असफलता	failure
फॉर्म	form
पंखों	wings
गोदावरी	godavari
मुद्रास्फीति	inflation
गज	yardstick
गज	yards
दुर्बल	weak
पेशवा	peshwa
स्थूल	fat
मौलाना	maulana
रामचन्द्र	ramchandra
रामचन्द्र	ramachandra
अभूतपूर्व	phenomenal
ग्रीवा	cervix
दोषों	defects
कमजोरी	weakness
वैचारिक	ideological
सर्जन	surgeon
क्षारीय	alkali
क्षारीय	alkaline
क्षारीय	align
टीके	vaccines
जमशेदपुर	jamshedpur
गोलार्ध	hemisphere
अल्जीरिया	algeria
रोमांचक	exciting
रोमांचक	thrilling
बढ़त	escalation
हीमोग्लोबिन	hemoglobin
गोबर	dung
डालना	pour
उत्पादकता	productivity
कागज़	paper
सांप	snake
सांप	snakes
गंतव्य	destination
गंतव्य	destinations
अम्मा	amma
संभाल	handle
गन	gun
उल्टी	vomit
उल्टी	vomiting
रेलगाड़ी	train
ट्रेडमार्क	trademark
पीएच	ph
सावित्री	savitri
दरगाह	dargah
यादृच्छिक	random
क्रिस्टोफर	christopher
सचमुच	literally
सचमुच	really
किरन	kiran
मॉरिसन	morrison
रतन	rattan
रतन	ratan
घाटियों	valleys
साँप	snake
लड़ा	fought
चिप	chip
सचिवालय	secretariat
इंसुलिन	insulin
सींग	horn
पीसी	pc
डूब	sinking
डूब	drowning
जन्मजात	congenital
पिरामिड	pyramid
खोजा	discovered
खोजा	searched
जोली	jolie
शेयरधारकों	shareholders
सुमन	suman
तदनुसार	accordingly
धूम	dhoom
ऑयल	oil
गेंदों	balls
अमित	amit
पिच	pitch
झरना	waterfall
झरना	falls
झरना	waterfalls
अनुमोदित	approved
अनुमोदित	reviewed
सीमांत	marginal
सीमांत	border
सुदर्शन	sudarshan
गुणांक	coefficient
जीभ	tongue
स्विट्जरलैंड	switzerland
लॉग	logs
लॉग	log
अजीत	ajit
पागल	crazy
पागल	crazier
सिलिकॉन	silicon
बेंजामिन	benjamin
मानदंड	criterion
समझाया	explained
होनेवाली	fleeting
सॉसेज	sausage
सहानुभूति	compassion
सहानुभूति	sympathy
सहानुभूति	empathy
लूट	loot
न्यायपालिका	judiciary
विनियमित	regulate
कारगर	operant
एंडरसन	anderson
मुकुट	crown
यादगार	memorable
यादगार	keepsake
करों	taxes
भुजा	arm
गिल	gill
कक्षाओं	classrooms
मजबूती	strength
भण्डार	stock
ड्रग	drug
बॉम्बे	bombay
कॉलेजों	colleges
कंपनियाँ	companies
मिशिगन	michigan
डकोटा	dakota
भूवैज्ञानिक	geologist
जोश	zeal
जोश	furore
जोश	josh
असुर	asura
सेंटीमीटर	centimeters
सेंटीमीटर	centimetres
सेंटीमीटर	centimetre
सीने	chest
शिवपुरी	shivpuri
घर्षण	friction
पीट	pete
पीट	piet
बॉबी	bobby
भित्ति	mural
नरसंहार	massacre
नरसंहार	genocide
विचारकों	thinkers
बिशप	bishop
दुर्भाग्य	misfortune
दुर्भाग्य	unfortunately
संतृप्त	saturation
संतृप्त	saturated
लैस	lacy
पड़ोस	neighborhood
पड़ोस	neighborhoods
न्यास	foundation
क्षार	alkalis
शंख	shankha
फोरम	forum
एथेंस	athens
पूँछ	tail
धीमा	slow
धीमा	slower
चिन	chin
राज्याभिषेक	coronation
लड़का	boy
मनोनीत	nominate
मनोनीत	nominated
बॉडी	body
संकोच	hesitate
पीतल	brass
महानतम	greatest
मुक्केबाजी	boxing
गुजर	passing
उभरा	emerged
उभरा	bulging
बढ़ाना	exacerbate
बढ़ाना	enhancing
बोतल	bottle
पिस्टन	piston
त्रिज्या	radius
तुम्हारा	yours
सस्ता	shoddy
सस्ता	cheap
सस्ता	cheaper
चेन	chen
चेन	chain
आर्द्रता	humidity
ऑक्सीकरण	oxidation
समन्वित	coordinated
एसी	ac
संचिका	files
संचिका	file
दाखिला	enrolling
स्पष्टीकरण	explanation
स्पष्टीकरण	explanations
स्पष्टीकरण	clarification
निराश	disappointed
निराश	disgusted
निराश	frustrated
जौनपुर	jaunpur
यूट्यूब	youtube
मारुति	maruti
श्रुति	revelation
श्रुति	shruti
यथार्थवादी	realistic
शक्तियाँ	powers
सान	san
आंकड़ा	data
ग़ज़ल	ghazal
प्रजापति	prajapati
शुक्ला	shukla
कारखाना	factory
इब्न	ibn
किम	kim
फलक	board
फलक	boards
फलक	pane
फलक	panel
स्वर्गीय	heavenly
पते	addresses
मैसाचुसेट्स	massachusetts
ध्वन्यात्मक	phonetic
निपुण	proficient
निपुण	master
निपुण	sagacious
ताजिकिस्तान	tajikistan
मिसाल	parable
निलंबित	suspended
डार्विन	darwin
बंदूक	gun
कलश	pot
कलश	pinnacle
कलश	kalash
जुडी	judy
कंपन	vibrations
कंपन	vibrate
कंपन	vibration
खुर्द	khurd
एयरवेज	airways
संतुष्टि	satisfaction
संवेग	momentum
बाघों	tiger
बाघों	tigers
वंशावली	genealogy
गुंजन	gunjan
रहीम	rahim
निमोनिया	pneumonia
बचाया	rescued
एस्टेट	estate
गुरुवार	thursdays
गुरुवार	thursday
वॉल्ट	walt
वॉल्ट	vault
विस्थापित	displaced
अयोग्य	worthless
अयोग्य	unfit
अयोग्य	ineligible
जटिलताओं	complications
उत्पीड़न	harassment
उत्पीड़न	assault
पंचमी	panchami
कोकेन	cocaine
आमिर	amir
आमिर	aamir
दयाल	dayal
पापों	sins
उमर	umar
उमर	omar
मिलर	miller
ललिता	lalitha
ललिता	lalita
रज़ा	raza
कोणीय	angular
जोन	joan
शाखाएं	branches
जानबूझकर	intentional
मानकीकरण	standardization
नशे	drunk
पुकारा	called
झंडा	flag
ग्लास	glass
घेर	surround
आंत	intestine
आंत	gut
फ़ुट	feet
फ़ुट	ft
क्रियान्वयन	implementation
निष्कासन	relegate
सिगार	cigar
यूक्रेन	ukraine
रुपया	rupee
वाइल्ड	wilde
निसान	nissan
पाद	fart
दैत्य	giant
दैत्य	monster
प्रक्रम	process
गवाह	witnesses
गवाह	witness
क्रिश्चियन	christian
पत्रकारों	journalists
पत्रकारों	reporters
माथुर	mathur
मजाक	joke
बेकर	baker
बेकर	becker
कांड	scandal
गर्व	proud
क्लोरीन	chlorine
संगीतकारों	musicians
मिठाई	sweet
मिठाई	dessert
मिठाई	sweets
तोमर	tomar
चांद	moon
बदलना	changing
बदलना	replacement
सड़कें	roads
सड़कें	streets
वृंदावन	vrindavan
प्रीमियम	premiums
प्रीमियम	premium
घेरा	perimeter
घेरा	siege
घेरा	circle
नागार्जुन	nagarjuna
एक्सेस	access
वेबसाईट	websites
सब्जियों	vegetables
यूएसए	usa
हाथियों	elephants
स्क्रिप्ट	scripts
स्क्रिप्ट	script
घूमती	revolving
घूमती	revolves
गर्भगृह	cella
गर्भगृह	sanctum
भटनागर	bhatnagar
डिजाइनर	designer
अग्र	front
विपक्षी	antagonist
बहिष्कार	boycott
टमाटर	tomato
टमाटर	tomatoes
खरीदारी	purchase
खरीदारी	shopping
स्वराज	swaraj
फेयर	fair
प्रतीकात्मक	symbolic
शंकु	conic
शंकु	cone
वृद्ध	old
वृद्ध	older
सिक्का	coin
पर्दे	curtains
घोटाले	scandal
रनों	runs
लाभांश	dividend
ब्रह्मपुत्र	brahmaputra
दबा	suppresses
राजी	raji
राजी	persuade
उत्कीर्ण	engraving
आटा	flour
आटा	dough
सभ्यताओं	civilizations
निर्णयों	judgements
जासूस	detective
जासूस	spy
जासूस	detectives
नमस्कार	hello
रामदेव	ramdev
निर्मल	serene
निर्मल	nirmal
निर्मल	translucent
कार्यक्षेत्र	scope
कार्यक्षेत्र	workplace
मोटरसाइकिल	motorcycles
मोटरसाइकिल	motorcycle
पुनरावृत्ति	replay
गल्फ	gulf
अंटार्कटिक	antarctica
अंटार्कटिक	antarctic
खतरों	dangers
डैनी	danny
बेड़े	fleet
द्वारका	dwarka
किशोरावस्था	teenager
किशोरावस्था	adolescence
पंद्रह	fifteen
महंगा	expensive
प्रबंधित	managed
मनोरंजक	fun
मनोरंजक	entertaining
सजाया	decorated
एडम	adam
अनगिनत	infinite
अनगिनत	myriad
अनगिनत	countless
सुन्नी	sunni
आदर्शों	ideals
डिवाइस	device
डिवाइस	devices
लियोन	leon
हीन	minor
ऑब्जेक्ट	object
ऑब्जेक्ट	objects
अवगत	cognizant
पेंटिंग	painting
सूचियाँ	lists
एमटीवी	mtv
एवरेस्ट	everest
आतंकवादियों	militants
आतंकवादियों	terrorists
बकरी	goat
पीयूष	piyush
शाहजहाँ	shahjahan
महीन	finer
ऋषिकेश	rishikesh
स्विफ्ट	swift
कुर्सी	chair
सांचे	mould
सिंधी	sindhi
सिंधी	sindhis
क्षितिज	horizon
आचार्यों	acharyas
दोहरा	double
दोहरा	dual
रैली	rally
रैली	jamboree
दीपावली	diwali
कलन	calculus
माघ	magha
माघ	magh
संविदा	pact
संविदा	contract
शोधकर्ता	researcher
नेटस्केप	netscape
रॉबिन	robin
बैंगनी	purple
बैंगनी	violets
बैंगनी	eggplant
बैंगनी	violet
व्यू	doorman
प्रक्षेपास्त्र	rocket
प्रक्षेपास्त्र	missile
बीजिंग	beijing
स्वैच्छिक	voluntary
फोटोग्राफी	photography
प्रौढ़	adult
सावरकर	savarkar
कैलिफ़ोर्निया	california
धड़	torso
कैलगरी	calgary
पैकेट	packet
प्रतिभूति	securities
साउंडट्रैक	soundtrack
महलों	palaces
वार्तालाप	conversation
वार्तालाप	conversations
टीले	dunes
बुद्धिमान	intelligent
बुद्धिमान	astute
उभरते	emerging
फोकस	focus
वन्यजीव	wildlife
वर्चस्व	dominated
जावेद	jawed
जावेद	javed
रुझान	trend
रुझान	trends
रुझान	trending
वेशभूषा	costume
वेशभूषा	costumes
भागीदार	participants
भागीदार	participant
स्पेंसर	spencer
अस्पतालों	hospitals
विक्रेताओं	sellers
वान	van
पुस्तिका	booklet
नाभि	navel
वेदव्यास	vyasa
तुर्कमेनिस्तान	turkmenistan
देखिए	see
आधुनिकता	modernity
रॉबर्ट्स	roberts
क्लाइंट	client
क्लाइंट	clients
यन्त्र	yantra
राँची	ranchi
गर्भाधान	insemination
डायरी	diary
अपडेट	update
अपडेट	updates
प्रतिरोधक	resistor
चैम्पियन	champ
चैम्पियन	champion
डेनिस	denise
डेनिस	dennis
डेनिस	denis
जोएल	joel
गांधीजी	gandhiji
मैगज़ीन	magazines
सीमाएं	limitations
शंघाई	shanghai
आयुर्वेदिक	ayurveda
आयुर्वेदिक	ayurvedic
जहांगीर	jahangir
वाइस	vice
किट	kit
भ्रमित	confused
हिसार	hissar
हिसार	hisar
संस्मरण	memoir
बाप	father
राजेंद्र	rajendra
विश्वकर्मा	vishwakarma
नालंदा	nalanda
थाली	plate
थाली	thali
नग्न	naked
नग्न	nude
कार्यभार	assignments
कार्यभार	assignment
एनालॉग	analog
युगों	yuga
रुकावट	blockage
रुकावट	obstruction
पीपी	pp
प्रतिबिंब	reflection
प्रतिबिंब	mirror
ब्लेड	blade
ब्लेड	blades
सदिश	vector
सदिश	vectors
बलिया	ballia
स्थगित	suspend
स्थगित	postponed
स्थगित	pending
गिरोह	gang
दायित्वों	obligations
पावन	holy
मर्यादा	dignity
श्रीनिवास	srinivasa
बैले	ballet
बसंत	spring
शर्ट	shirt
शर्ट	shirts
न्यायाधीशों	judges
तेरी	teri
सेंसर	sensors
सेंसर	sensor
स्टैंड	stand
स्टैंड	stands
उपनिवेशों	colony
बहुवचन	plural
एकाधिकार	monopoly
एकदिवसीय	odi
विनाशकारी	disastrous
विनाशकारी	devastating
मिसौरी	missouri
बहुराष्ट्रीय	multinational
मारी	marie
मारी	mari
कार्गो	cargo
शुभारंभ	launching
आमेर	amer
दारा	darius
दारा	dara
फ़्रांसीसी	french
जादूगर	wizard
जादूगर	magicians
जादूगर	magician
पड़ेगा	gotta
प्रतिमान	pattern
प्रतिमान	paradigm
सच्चा	true
वोल्ट	volt
अमोनिया	ammonia
विश्लेषणात्मक	analytical
प्रतिबद्धता	commitment
डू	doo
विधायिका	legislature
पकड़ा	grabbed
कॉफ़ी	cutoff
कॉफ़ी	coffee
वीणा	veena
उल्टा	reverse
उल्टा	inverted
एलेन	ellen
किराए	fares
किराए	rent
न्यायालयों	courts
एस्टन	aston
मांसपेशी	muscle
विषाक्त	toxic
तूफ़ान	storms
तूफ़ान	typhoon
तूफ़ान	storm
कड़ा	tight
कड़ा	hard
दुबे	dubey
बारूद	gunpowder
बदली	overcast
पड़ाव	milestone
पड़ाव	sojourn
एंजाइम	enzyme
मूसा	moses
मूसा	musa
मूसा	moosa
पिंक	pink
सत्येन्द्र	satyendra
बैरी	barry
बैरी	antagonist
कॉमर्स	commerce
विशालकाय	palatial
राजन	rajan
जीप	jeep
चलाना	exec
चलाना	execution
दादी	grandmother
दादी	mamacita
दादी	grandma
कमिश्नर	commissioner
पहाड़ियाँ	hills
मैथ्यू	matthew
गंधक	sulfur
गंधक	sulphur
स्तोत्र	stotra
षड्यंत्र	conspiracy
प्रशस्त	paved
अंडमान	andaman
दूषित	corrupted
पश्च	rear
रीडर	reader
मिर्ज़ा	mirza
मिर्ज़ा	mirzapur
क्रांतिकारियों	revolutionaries
हीरे	diamonds
प्रशिक्षक	trainer
प्रशिक्षक	instructor
उषा	usha
नास्तिक	atheism
नास्तिक	atheist
नास्तिक	impious
जासूसी	spying
प्रचारित	promoted
सांसारिक	worldly
प्रवर्धक	amplifier
फसलें	crops
डायोड	diode
अमूर्त	abstract
छोड़ना	eschew
सौभाग्य	fortunately
सौभाग्य	fortunes
सौभाग्य	fortune
ब्रायंट	bryant
गैरी	garry
गैरी	gary
श्लोकों	slokas
कुश	kush
साइमन	simon
सामंत	samanta
कार्बोनेट	carbonate
हिब्रू	hebrew
बर्ड	bird
चैत्र	chaitra
आत्मसमर्पण	surrender
एथलेटिक्स	athletics
तैराकी	swimming
हक	huck
हक	haque
हक	haq
संस्थागत	institutional
चिट्ठा	blog
चिट्ठा	blogosphere
ठंड	cold
चूहे	mice
चूहे	rats
लीड	leads
लीड	lead
दरार	rift
दरार	crack
परमार	parmar
दार्शनिकों	philosophers
नेहरु	nehru
पंकज	pankaj
प्राणायाम	pranayama
संवेदना	condolences
सॉफ़्टवेयर	software
परवाह	care
परवाह	cares
बहुविकल्पी	disambiguation
महेन्द्र	mahendra
बमबारी	bombardment
बमबारी	bomb
कीड़े	worms
कठपुतली	puppet
अधीनस्थ	subordinate
ग्रीनहाउस	greenhouse
कैम्प	camp
कैम्प	camps
किस्में	strands
किस्में	varieties
किस्में	variety
विषाक्तता	poisoning
खोजी	exploration
हा	ha
सम्मेलनों	conferences
चिंतित	anxious
चिंतित	concerned
चिंतित	apprehensive
चिंतित	worried
स्टारबक्स	starbucks
छुटकारा	rescues
जॉर्डन	jordan
एथलीट	athlete
एथलीट	athletes
मनीष	manish
