اٹوٹ unbreakable
افراتفری hurly-burly
افراتفری tumult
افراتفری commotion
افراتفری chaos
افراتفری turmoil
افراتفری confusion
افراتفری lawlessness
افراتفری hurry-scurry
افراتفری panic
افراتفری uproar
افزائش production
افزائش increase
افزائش amplification
افزائش growth
افزائش addition
افزونی excess
افزونی increase
افزونی progress
افزونی growth
افزونی enhancement
افسانوی legendary
افسانوی fictitious
افسانوی fabulous
افسانوی false
افسر ruler
افسر officer
افسر crown
افسر diadem
افسردگی sadness
افسردگی depression
افسردگی dejection
افسردگی distress
افسنتین absinth
افسوں enchantment
افسوں sorcery
افسوں spell
افسوں witchcraft
افسوں magic
افسوں incantation
افسوں charm
افواہ rumour
افواہ mouths
افواہ gossip
افواہ hearsay
اقل lcm
اقل mean
اقل minimum
اقل least
اکثر frequent
اکثر often
اکثر frequently
اکثر most
اکثر generally
اکڑ arrogance
اکڑ stubbornness
اکڑ obstinacy
اکڑ cramp
اکڑ pride
اکڑ conceit
اکڑ stiffness
اکڑ hardness
اکڑن hardness
اکڑن stiffness
اکڑن cramp
اکیلا uninhabited
اکیلا loneliness
اکیلا solitary
اکیلا unprecedented
اکیلا unrivalled
اکیلا lonesome
اکیلا desolate
اکیلا lonely
اکیلا isolation
اکیلا only
اکیلا alone
اکیلا unique
اگرچہ though
اگرچہ although
اگلا best
اگلا chief
اگلا main
اگلا foremost
اگلا past
اگلا previous
اگلا anterior
اگلا contender
اگلا prime
اگلا principal
اگلا coming
اگلا opponent
اگلا god
اگلا former
اگلا antecedent
اگلا superior
اگلا prior
اگلا first
اگلا preceding
اُلٹی vomit
السی linseed
القلی alkali
الگ dislocated
الگ distinct
الگ detached
الگ isolated
الگ apart
الگ disconnected
الگ aloof
الگ separate
الگ discrete
الگ peculiar
الگ unique
الگ loose
الگنی rope
الگنی clothes-line
الماس diamond
امان security
امان safety
امان refuge
امان protection
امر point
امر order
امر transaction
امر allowance
امر permission
امر business
امر command
امر case
امر affair
امر behest
امر matter
امر fact
امر event
امر occurrence
امر thing
امیدوار hopeful
امیدوار candidate
امیدوار expecting
امیدوار applicant
امیرانہ princely
امیرانہ stately
امیرانہ lordly
امیرانہ grand
امیرانہ luxurious
امین faithful
امین commissioner
امین trustworthy
امین curator
امین trustee
امین bailiff
امین inspector
امین receiver
انا me
انا self
انا ego
انا i
انبار hoard
انبار pile
انبار stack
انبار heap
انبار collection
انبوہ multitude
انبوہ crowd
انبوہ mob
انبوہ abundance
انجمن society
انجمن club
انجمن congregation
انجمن council
انجمن association
انجمن assembly
انجمن meeting
انجمن coterie
انجمن company
انداز manner
انداز state
انداز condition
انداز mannerism
انداز attitude
انداز pose
انداز coquetry
انداز intention
انداز style
اندازہ measurement
اندازہ manner
اندازہ valuation
اندازہ estimate
اندازہ guess
اندازہ evaluation
اندازہ style
اندازہ assessment
اندازہ calculation
اندر inside
اندر in
اندر into
اندر within
اندیشہ doubt
اندیشہ suspicion
اندیشہ concern
اندیشہ care
اندیشہ apprehension
اندیشہ misgiving
اندیشہ anxiety
اندھیرا sombre
اندھیرا dim
اندھیرا dark
اندھیرا hazy
اندھیرا gloom
اندھیرا dusky
اندھیرا shadow
اندھیرا duskiness
اندھیرا darkness
اندھیرا dimness
انگریزی english
انگیٹھی brazier
انگیٹھی stove
انگیٹھی grate
انگیٹھی heater
انمل not-matching
انمل ill-assorted
انمل unmatched
انمول inestimable
انمول priceless
انمول invaluable
انوکھا curious
انوکھا untouched
انوکھا wonderful
انوکھا untasted
انوکھا singular
انوکھا uncommon
انوکھا rare
انوکھا peculiar
انوکھا unique
انوکھا strange
انوکھا extraordinary
دوستانہ amicably
دوستانہ friendship
دوستانہ friendly
انیق strange
انیق nice
انیق unique
انیق fine
اُوپری stranger
اُوپری exterior
اُوپری unknown
اُوپری superficial
اُوپری external
اُوپری hasty
اُوپری outer
اُوپری apparent
اُوپری surplus
اُوپری upper
اُوپری cursory
اوچھا flashy
اوچھا gaudy
اوچھا common
اوچھا short
اوچھا scant
اوچھا trite
اوچھا empty
اوچھا petty-minded
اوچھا superficial
اوچھا wanting
اوچھا shallow
اوچھا showy
اوچھا vain
اوچھا frivolous
اوچھا graceless
اوس dew
اُونگھنا doze
اُونگھنا catnap
اہرامی pyramidal
اہرن earring
اہرن anvil
اہم momentous
اہم important
اہم significant
اہم pressing
ایڑ spur
ایک mere
ایک sole
ایک united
ایک about
ایک one
ایک singular
ایک alone
ایک a
ایک only
ایک first
ایک single
ایک unique
ایک an
ایک nearly
ایکا unity
ایکا conspiracy
ایکا plot
ایکا unanimity
ایلچی messenger
ایلچی ambassador
ایلچی emissary
ایلچی representative
ایلچی diplomat
آب dignity
آب polish
آب etc.
آب elegance
آب brightness
آب water
آب saliva
آب pani
آب sweat
آب sheen
آب reputation
آب sparkle
آب splendour
آب dewdrop
آب wine
آب juice
آب honour
آب magnificence
آبشار waterfall
آبشار cascade
آبیاری irrigation
آپ you
آپ selves
آپ self
آپ yourself
آپا self-consciousness
آپا aapa
آپا self
آپا self-esteem
آج now
آج nowadays
آج today
آدمی people
آدمی messenger
آدمی masses
آدمی retainer
آدمی grown-up
آدمی person
آدمی servant
آدمی runner
آدمی man
آدمی husband
آدمی adult
آدمی individual
آراکش sawyer
آرام relief
آرام convenience
آرام sleep
آرام repose
آرام slumber
آرام comfort
آرام respite
آرام recovery
آرام rest
آرائش flowers
آرائش etc.
آرائش adornment
آرائش equipage
آرائش dressing
آرائش ornament
آرائش decoration
آرائش frills
آرائش beautification
آرائش arrangement
آرائشی ornamental
آرائشی decorative
آرزو presumption
آرزو faith
آرزو desire
آرزو yearning
آرزو appetency
آرزو love
آرزو request
آرزو entreaty
آرزو want
آرزو trust
آرزو expectation
آرزو solicitude
آرزو hope
آرزو longing
آرزو wish
آڑ ploy
آڑ wall
آڑ hide
آڑ surety
آڑ stratagems
آڑ fence
آڑ covert
آڑ crookedness
آڑ shame
آڑ curvature
آڑ protection
آڑ cover
آڑ obstacle
آڑ hindrance
آڑ screen
آڑ guarantee
آڑ support
آڑ safety
آڑ abash
آڑ guise
آزادی freedom
آزادی liberation
آزادی independence
آزمائش trial
آزمائش test
آزمائش assay
آزمائش examination
آزمائش appraisal
آسان undemanding
آسان easy
آسان manageable
آسان convenient
آسان facile
آسانی ease
آسانی effortlessness
آسانی facility
آسمان rain
آسمان sky
آسمان heaven
آسمان firmament
آسمان zenith
آسمان pinnacle
آسمان horizon
آسن posture
آسن rug
آسن seat
آسن place
آسن sitting
آسن asana
آشکار known
آشکار manifest
آشکار disclosed
آشکار visible
آشکار revealed
آشکار apparent
آشکار evident
آشکار clear
آغاز beginning
آغاز origin
آغاز commencement
آغاز outset
آغاز start
آفاقی worldwide
آفاقی cosmopolitan
آفاقی universal
آفاقی global
آفاقیت cosmopolitanism
آفاقیت universality
آقا owner
آقا employer
آقا master
آقا lord
آگاہی awareness
آگاہی vigilance
آگاہی insight
آگاہی information
آگاہی knowledge
آگے near
آگے onward
آگے beyond
آگے before
آگے facing
آگے opposite
آگے further
آگے ahead
آگے close
آگے hereafter
آگے henceforth
آگے previously
آگے formerly
آلودگی uncleanliness
آلودگی pollution
آلودگی nastiness
آلودگی taint
آلودگی contamination
آلودگی impurity
آلودگی foulness
آلودگی defilement
آلہ appliance
آلہ instrument
آلہ weapon
آلہ tool
آلہ contraption
آلہ implement
آم mango
آمادگی alertness
آمادگی inclination
آمادگی readiness
آمادگی willingness
آمادگی preparedness
آمادہ prepared
آمادہ ready
آمادہ alert
آمادہ available
آمادہ present
آمادہ willing
آماس tumour
آماس intumescence
آماس swelling
آمد incomings
آمد arrival
آمد volubility
آمد revenue
آمد incoming
آمد approach
آمد access
آمد spontaneity
آمد entry
آمد income
آمد receipts
آمد advent
آمد inspiration
آمد afflatus
آمدنی takings
آمدنی revenue
آمدنی income
آمدنی receipts
آمدنی proceeds
آمیزہ alloy
آمیزہ mixture
آمیزہ amalgam
آمیزہ blend
آنا emerge
آنا drop
آنا grow
آنا advance
آنا time
آنا increase
آنا arrival
آنا appear
آنا incline
آنا befall
آنا betide
آنا approach
آنا come
آنا reach
آنا arrive
آنا advent
آندھی cyclone
آندھی tempest
آندھی hurricane
آندھی gale
آوارہ devastated
آوارہ uninhabited
آوارہ immoral
آوارہ scattered
آوارہ adrift
آوارہ tramp
آوارہ dissolute
آوارہ vagabond
آوارہ profligate
آوارہ dispersed
آوارہ desolate
آوارہ lonesome
آوارہ wanderer
آوارہ wasted
آوارہ alone
آوارہ licentious
آوارہ vagrant
آوارہ homeless
آواز tongue
آواز language
آواز tone
آواز summon
آواز shout
آواز noise
آواز cry
آواز call
آواز sound
آواز voice
آواز proclamation
آواز echo
آواز announcement
آواز fame
آواز renown
آہ moan
آہ sigh
آہستہ softly
آہستہ slowly
آہستہ slack
آہستہ tenderly
آہستہ sluggishly
آہستہ noiseless
آہستہ secretly
آہستہ slow
آہستہ lazily
آہستہ noiselessly
آہستہ covertly
آہستہ tardily
آہستہ gradually
آہنگ manner
آہنگ purpose
آہنگ music
آہنگ sound
آہنگ intention
آہنگ symmetry
آہنگ voice
آہنگ harmony
آہنگ tune
آہنگ method
آہنگ melody
آئینہ mirror
آئینہ reflector
آئینہ bright
آئینہ looking-glass
آئینہ mirror-like
آئینہ reflection
آئینہ clear
آئینی constitutional
آیا whether
آیا came
آیا arrived
آیا if
آیا ayah
بآسانی comfortably
بآسانی easily
بتدریج gradually
بحوالہ apropos
بخوشی cheerfully
بخوشی gladly
بخوشی joyfully
بشمول cum
بشمول and
بشمول all-in
بشمول including
بظاہر ostensibly
بظاہر apparently
بظاہر outwardly
بظاہر externally
بغیر excepting
بغیر without
بغیر excluding
بغیر except
باخبر alert
باخبر informed
باخبر intelligent
بارعب awe-inspiring
بارعب awesome
باضابطہ regular
باضابطہ organized
باضابطہ formal
بامہر loving
بامہر affectionate
بامہر caring
بات point
بات evidence
بات condition
بات desire
بات gossip
بات custom
بات splendour
بات complaint
بات pretext
بات wish
بات reason
بات appeal
بات proof
بات stubbornness
بات distinction
بات mystery
بات vow
بات secret
بات habit
بات excuse
بات ostentation
بات merit
بات suggestion
بات chit-chat
بات want
بات matter
بات taunt
بات adage
بات story
بات aim
بات occurrence
بات word
بات proposition
بات manner
بات tale
بات circumstances
بات request
بات saying
بات rank
بات cause
بات idea
بات practice
بات eminence
بات office
بات excellence
بات statement
بات obstinacy
بات happening
بات discourse
بات quality
بات engagement
بات purpose
بات thought
بات speech
بات mode
بات advice
بات gibe
بات need
بات substance
بات promise
بات affair
بات topic
بات question
بات rumour
بات talk
بات subject
بات way
بات issue
باحث arguer
باد contention
باد debate
باد dispute
باد arthritis
باد air
باد discourse
باد lawsuit
باد wind
باد adulterant
باد speech
باد gale
باد case
باد flatus
باد breeze
باد impurity
باد horse
باد discussion
باد statement
بادام almond
بادشاہی empire
بادشاہی reign
بادشاہی kingly
بادشاہی royal
بادشاہی sovereignty
بادشاہی kingdom
بادل cloud
بادنجان brinjal
بادی windy
بادی flatulent
بادی bloated
بادی forester
بادی flatulency
بادی flatulence
بادی rheumatic
بادی wild
بادی illuminator
بادی first
بادی beginner
بادیہ desert
بادیہ wasteland
بادیہ forest
بادیہ jungle
بادیہ cup
بادیہ wilderness
بادیہ goblet
بار leave
بار cargo
بار god
بار blossom
بار admittance
بار painful
بار produce
بار burden
بار time
بار opportunity
بار pregnancy
بار occasion
بار tribunal
بار weight
بار arduous
بار entrance
بار assembly
بار door
بار loan
بار fruit
بار turn
بار reiteration
بار heaviness
بار encumbrance
بار difficult
بار portal
بار responsibility
بار load
بارِد meaningless
بارِد useless
بارِد insensitive
بارِد frigid
بارِد cold
باڑ hedge
باڑ inundation
باڑ rim
باڑ flood
باڑ queue
باڑ fence
باڑ verge
باڑ margin
باڑ row
باڑ broadside
باڑ edge
باڑ border
باز back
باز open
باز baza
باز harrier
باز again
باز abstaining
باز refusing
باز person
باز actor
باز vast
باز agent
باز doer
باز hawk
بازدار falconer
بازیابی recovery
بازیافت retrieval
بازیافت recovery
بازیافت recovering
بازی sport
بازی hazard
بازی bet
بازی game
بازی deception
بازی stake
بازی deceit
بازی play
بازی wager
بازی trick
باغ grove
باغ children
باغ offspring
باغ garden
باغ land
باغ orchard
باغ area
باغبان gardener
باغی rebel
باغی insurgent
باغی traitor
باغی mutineer
باغیانہ rebellious
باغیانہ mutinous
باغیانہ perfidious
باغیانہ treacherous
باکھ udder
بالا woman
بالا above
بالا on
بالا elevated
بالا high
بالا foregoing
بالا aforementioned
بالا up
بالا stature
بالا lofty
بالا height
بالا wife
بالا exalted
بالا girl
بالا infant
بالا summit
بالا top
بالا upon
بالا aloft
بالا superior
بالا inaccessible
بالائی surficial
بالائی highness
بالائی superiority
بالائی superficial
بالائی eminence
بالائی extra
بالائی additional
بالائی upper
بالائی upstair(s)
بالائی extraordinary
بالغ consummate
بالغ adult
بالغ mature
بام eel
بام balcony
بام fathom
بان storm
بان manners
بان quality
بان arrow
بان character
بان bore
بان habit
بان conduct
بان dart
بان property
بان trade
بان business
بان custom
بان temper
بان nature
بان disposition
دربان porter
دربان doorkeeper
دربان darwan
دربان gatekeeper
دربان guard
بانات baize
بانجھ sterile
بانکا angry
بانکا annoyed
بانکا brave
بانکا curved
بانکا arrant
بانکا foppish
بانکا crooked
بانکا bold
بانکا gallant
بانکا fop
بانکا boulevardier
بانکا smart
بانکا vulgar
بانکا mischievous
بانکا beau
بانی inventor
بانی tongue
بانی language
بانی tone
بانی discourse
بانی temperament
بانی song
بانی founder
بانی speech
بانی sound
بانی weaving
بانی voice
بانی melody
بانی disposition
بانی word
بانی initiator
باورچی chef
باورچی cook
باہر exceeding
باہر foreign
باہر abroad
باہر externally
باہر beyond
باہر exterior
باہر out
باہر outside
باہر away
باہر outward
باہم reciprocally
باہم mutually
باہم conjointly
باہم jointly
باہم together
باہمی common
باہمی mutual
باہمی reciprocal
باہمی shared
بائع shopkeeper
بائع seller
بائع vendor
بائع trader
بتانا signify
بتانا prevaricate
بتانا teach
بتانا disclose
بتانا explain
بتانا chastise
بتانا indicate
بتانا show
بتانا tell
بتانا describe
بتانا gesticulate
بتانا demonstrate
بٹن etc.)
بٹن button
بٹیر quail
بجا appropriate
بجا proper
بجا o'clock
بجا true
بجا just
بجا time
بجا suitable
بجا fit
بجا right
بجاآوری compliance
بجاآوری accomplishment
بجری gravel
بجز beside
بجز except
بجز save
بجز without
بچانا preserve
بچانا avoid
بچانا defend
بچانا rescue
بچانا save
بچانا protect
بچانا reserve
بچانا guard
بچانا spare
بچانا shield
بچپن childishness
بچپن infancy
بچپن babyhood
بچپن childhood
بچپن inexperience
بچنا abstain
بچنا survive
بچنا recover
بچنا avoid
بچنا live
بچھیرا colt
بچھیرا foal
بحّاث argumentative
بحالی restoration
بحث research
بحث contention
بحث debate
بحث dispute
بحث altercation
بحث argument
بحث concern
بحث discussion
بحر sea
بحر bay
بحر ocean
بحر gulf
بحریات oceanography
بخشش forgiveness
بخشش tip
بخشش pardon
بخشش gift
بخیل miser
بخیل niggard
بخیل stingy
بخیلی parsimony
بخیلی avarice
بخیلی niggardliness
بدبو stinky
بدبو stench
بدبو stink
بدحال abject
بدخواہ malicious
بدخواہ ill-disposed
بدخواہ malevolent
بدخواہ ill-wisher
بدسلوکی maltreatment
بدسلوکی misbehaviour
بدسلوکی discourtesy
بدگو calumniator
بدگو slanderer
بدگو traducer
بدنام calumniated
بدنام ignominious
بدنام infamous
بدنام defamed
بدنام disreputable
بدنام notorious
بدنامی disgrace
بدنامی ignominy
بدنامی infamy
بدنامی scandal
بدنامی stigma
بدنامی disrepute
بدنما clumsy
بدنما ungraceful
بدنما unbecoming
بدنما ugly
بدہیئت deformed
بدہیئت misshapen
بداعت originality
بداعت invention
بداعت innovation
بُدبُدانا mutter
بُدبُدانا murmur
بُدبُدانا grumble
بددعا imprecation
بددعا curse
بدل alteration
بدل repayment
بدل exchange
بدل substitute
بدل change
بدل barter
بدل value
بدل price
بدل transformation
بدل stand-in
بدلنا modify
بدلنا exchange
بدلنا alter
بدلنا change
بدلنا amend
بدلنا vary
بدلنا transfer
بدلنا transform
بدن frame
بدن figure
بدن physique
بدن body
بدی misfortune
بدی destiny
بدی ominousness
بدی backbiting
بدی mischief
بدی evil
بدی fate
بدی wickedness
بدی badness
بدّھی streak
بدّھی weal
بدّھی sash
بدّھی etc.
بدّھی welt
برآمدہ veranda
برجستہ proper
برجستہ ready
برجستہ apt
برجستہ promptly
برجستہ extempore
برجستہ apposite
برجستہ impromptu
برجستہ right
برجستہ prompt
برطرفی discharge
برطرفی dismissal
برملا public
برملا open
براہ via
براہ pig
برپا firm
برپا established
برپا standing
برپا continuing
برپا afoot
برتن vessel
برتن utensil
برتن crockery
برچھا lance
برچھا spear
برچھا javelin
برخاستگی dismissal
برداشت tolerance
برداشت patience
برداشت endurance
برداشت sufferance
برفانی snowy
برفانی icy
برقناطیسی electromagnetic
برقی electrical
برقیہ telegram
برقیہ electron
برگ leafage
برگ leaf
برگ melody
برما drill
برما borer
برما gimlet
برنائی youth
برنائی adolescent
برہنہ bare
برہنہ naked
برہنہ nude
برہنہ unclothed
بڑ excessive
بڑ large
بڑ great
بڑ boast
بڑا large
بڑا overmuch
بڑا exclusive
بڑا respectable
بڑا excessive
بڑا huge
بڑا principal
بڑا immense
بڑا exalted
بڑا vast
بڑا noble
بڑا senior
بڑا grand
بڑا superior
بڑا elder
بڑا old
بڑا supreme
بڑا burra
بڑا eldest
بڑا big
بڑھانا expand
بڑھانا add
بڑھانا forward
بڑھانا elevate
بڑھانا enlarge
بڑھانا increase
بڑھانا end
بڑھانا postpone
بڑھانا remove
بڑھانا proffer
بڑھانا encourage
بڑھانا augment
بڑھانا close
بڑھانا raise
بڑھانا extend
بڑھانا aggravate
بڑھانا present
بڑھانا exalt
بڑھانا promote
بڑھانا advance
بڑھانا stretch
بڑھانا exaggerate
بڑھانا aggrandize
بڑھنا rise
بڑھنا surpass
بڑھنا expand
بڑھنا grow
بڑھنا stretch
بڑھنا advance
بڑھنا prosper
بڑھنا increase
بڑھنا thrive
بڑھنا (grow)
بڑھنا proceed
بڑھنا accumulate
بڑھنا exceed
بڑھنا flourish
بڑھنا swell
بڑھئی carpenter
بزدل timid
بزدل coward
بزدلانہ cowardly
بزدلی cowardice
بزدلی timidity
بُزرگی nobility
بُزرگی grandeur
بُزرگی greatness
بُزرگی seniority
بُزرگی eminence
بُزرگی agedness
بس mere
بس all
بس enough
بس power
بس will
بس influence
بس completely
بس end
بس control
بس grasp
بس now
بس sway
بس command
بس opportunity
بس sufficient
بس finish
بس authority
بس only
بستر apparel
بستر clothes
بستر garment
بستر dress
بسنا reside
بسنا inhabit
بسنا settle
بسنا smell
بسنا dwell
بشاشت cheerfulness
بشاشت vivacity
بشر mortal
بشر man
بشر humankind
بصری optical
بصری visual
بصری ocular
بصیرت acumen
بصیرت insight
بصیرت clear-sightedness
بصیرت skill
بصیرت foresight
بصیرت understanding
بصیرت vision
بصیرت discernment
بصیرت deftness
بصیرت perception
بعد since
بعد latter
بعد after
بعد subsequent
بعید remote
بعید far
بعید distant
بعید improbable
بعید impossible
بغاوت mutiny
بغاوت treason
بغاوت revolt
بغاوت rebellion
بغل side
بغل aside
بغل flank
بغل embrace
بغل armpit
بقّال greengrocer
بقّال shopkeeper
بقّال grocer
بکارت maidenhood
بکارت virginity
بکس box
بل offering
بل difference
بل pride
بل yet
بل sacrifice
بل oblation
بل vigour
بل vanity
بل twist
بل crook
بل curl
بل convolution
بل contortion
بل convulsion
بل but
بل strength
بل dint
بل support
بل might
بل turn
بل wrinkle
بل power
بل coil
بل ability
بل help
بل discrepancy
بلّم lance
بلّم spear
بلندی elevation
بلندی height
بلندی loftiness
بلندی eminence
بلندی exaltation
بلوا riot
بلوا affray
بلوا tumult
بلوا rebellion
بلوا gritty
بلوا sandy
بلوا sedition
بلوا uproar
بلوا pebbly
بلوائی rioter
بلوائی riotous
بلیدان sacrifice
بنانا manufacture
بنانا decorate
بنانا mould
بنانا shape
بنانا contrive
بنانا adorn
بنانا reconcile
بنانا perform
بنانا fashion
بنانا concoct
بنانا cook
بنانا rectify
بنانا appoint
بنانا build
بنانا prepare
بنانا forge
بنانا make
بنانا invent
بنانا create
بنانا mend
بنانا repair
بنانا fabricate
بنانا feign
بنانا etc.)
بنانا reform
بنانا construct
بنانا mock
بنانا form
بنانا devise
بنانا adjust
بناوٹ formation
بناوٹ structure
بناوٹ shape
بناوٹ contrivance
بناوٹ build
بناوٹ sham
بناوٹ pretence
بناوٹ artificiality
بناوٹ construction
بناوٹ figure
بناوٹ make
بناوٹ constitution
بناوٹ affectation
بناوٹ appearance
بناوٹ workmanship
بُناوٹ weaving
بُناوٹ knitting
بُناوٹ weft
بُناوٹ texture
بناوٹی insincere
بناوٹی sham
بناوٹی artificial
بناوٹی counterfeit
بناوٹی unreal
بناوٹی affected
بُنائی knitting
بند barred
بند sorcery
بند bund
بند joint
بند obstacle
بند bandage
بند dam
بند bond
بند fastening
بند fastener
بند shut
بند bracelet
بند embankment
بند hushed
بند closed
بند string
بند chain
بند knuckle
بند quiet
بند collar
بند fetters
بند knot
بندر port
بندر monkey
بندر ape
بندر dock
بندر harbour
بندر anchorage
بندش plot
بندش scheme
بندش binding
بندش plan
بندش ban
بندش construction
بندش restriction
بندش conspiracy
بندش band
بندش hindrance
بندش obstruction
بندش knot
بُندکی spot
بُندکی droplet
بُندکی speck
بندوبست settlement
بندوبست order
بندوبست system
بندوبست administration
بندوبست management
بندوبست arrangement
بندوبست regulation
بندوبست economy
بندوبست organization
بندوبست method
بندوبست plan
بندوبست bundobast
بندہ slave
بندہ worshipper
بندہ i
بندہ servant
بندہ adorer
بندہ bondsman
بندھن marriage
بندھن homage
بندھن confinement
بندھن imprisonment
بندھن restraint
بندھن obeisance
بندھن ligament
بندھن captivity
بندھن fastening
بندھن handcuff
بندھن chain
بندھن etc.)
بندھن hindrance
بندھن obstacle
بندھن check
بندھن salutation
بندھن adoration
بندھن knot
بندھن praise
بنڈل package
بنڈل parcel
بنڈل packet
بنڈل bundle
بنکارنا brag
بنکارنا shout
بنکارنا rave
بنکارنا yell
بنکارنا rant
بنکارنا boast
بننا feign
بننا pretend
بننا become
بننا attitudinize
بننا be
بنیان banyan
بنیان vest
بُو scent
بُو scented
بُو odour
بُو father
بُو stink
بُو smell
بوتل wine
بوتل bottle
بوجھ burden
بوجھ onus
بوجھ drag
بوجھ pack
بوجھ pressure
بوجھ bundle
بوجھ responsibility
بوجھ weight
بوجھ load
بوجھ obligation
بُوزنہ monkey
بوسیدہ rotten
بوسیدہ dilapidated
بوسیدہ decayed
بوسیدہ worn-out
بولی taunt
بولی dialect
بولی language
بولی speech
بونا plant
بونا cultivate
بونا sow
بہادر valiant
بہادر fearless
بہادر brave
بہادر bahadur
بہادر bold
بہادر high-spirited
بہادر courageous
بہادری bravery
بہادری boldness
بہن sister
بہنا glide
بہنا drift
بہنا melt
بہنا flow
بہنا float
بیان disclosure
بیان description
بیان declaration
بیان account
بیان exposition
بیان narration
بیان statement
بیاہ wedlock
بیاہ marriage
بیاہ wedding
بیٹا boy
بیٹا son
بیٹا child
بیٹی daughter
بیٹی girl
بیرونی external
بیرونی outer
بیرونی foreign
بیرونی apparent
بیگانہ alien
بیگانہ foreign
بیگانہ foreigner
بیگانہ stranger
بیگانہ unconcerned
بیگانہ exotic
بیگانہ strange
بیگم lady
بیگم begum
بیگم wife
بیگم queen
بیوہ widow
بھاٹا boorish
بھاٹا rock
بھاٹا pit
بھاٹا eggplant
بھاٹا cave
بھاٹا loutish
بھاٹا tide
بھاٹا ignorant
بھاٹا den
بھاٹا stone
بھاٹا ebb
بھاری bulky
بھاری fat
بھاری weighty
بھاری hard
بھاری ominous
بھاری important
بھاری dull
بھاری rich
بھاری sorrowful
بھاری ponderous
بھاری loud
بھاری dignified
بھاری sluggish
بھاری valuable
بھاری large
بھاری massive
بھاری great
بھاری indigestible
بھاری costly
بھاری sad
بھاری difficult
بھاری voluminous
بھاری superior
بھاری preferable
بھاری cumbersome
بھاری wealthy
بھاری heavy
بھاشا speech
بھاشا language
بھاشا dialect
بھاشا vernacular
بھاگوان divine
بھاگوان fortunate
بھاگوان rich
بھاگوان adorable
بھاگوان lucky
بھاگوان prosperous
بھاگوان happy
بھاگوان wealthy
بھالا lance
بھالا spear
بھائی brother
بھائی companion
بھائی comrade
بھٹکانا deceive
بھٹکانا misguide
بھٹکانا mislead
بھٹکنا deviate
بھٹکنا wander
بھدّا misshapen
بھدّا awkward
بھدّا clumsy
بھدّا sluggish
بھدّا lazy
بھدّا ungainly
بھرتی loading
بھرتی enrolment
بھرتی store
بھرتی enlistment
بھرتی recruitment
بھرتی admission
بھرتی fabrication
بھرتی completion
بھرنا instalment)
