ursachen causes
bühnen stages
bühnen stage
porsche porsche
vermehrt propagated
beurteilung judgement
beurteilung evaluation
beurteilung assessment
beurteilung judging
abgehalten held
flecken stains
flecken patches
flecken spots
japanisch japanese
gewählten elected
sat sat
fliehen escaping
fliehen fleeing
fliehen flee
fliehen escape
stoffe fabrics
stoffe substances
erkenntnis realisation
erkenntnis perception
erkenntnis cognition
erkenntnis insight
château château
fraglich questionable
fraglich debatable
fraglich doubtful
steven steven
parker parker
empfangen receive
empfangen received
empfangen receiving
bruders brother
diff diff
pflicht duty
pflicht obligatory
pflicht obligation
pflicht mandatory
pflicht compulsory
talent talents
talent talent
fire fire
türkisch turkish
nummern numbers
passagiere passengers
passagiere passenger
generalsekretär secretary
schnellen fast
wusste knew
bahnen railways
bahnen pathways
bahnen trains
theologische theological
theologische theology
hanns hanns
thompson thompson
konstantinopel constantinople
konstantinopel istanbul
henriette henrietta
henriette henriette
four four
dichtung sealing
dichtung gasket
dichtung poetry
dichtung seal
hinreichend sufficiently
hinreichend sufficient
hinreichend adequately
theoretisch theoretical
theoretisch theoretically
theoretisch theory
robinson robinson
decken ceilings
decken blankets
decken cover
hop hop
legend legend
persönlicher personal
wünsche wish
wünsche wishes
wünsche wishing
wünsche desires
dennis dennis
mien mien
nachbarn neighbors
nachbarn neighbour
nachbarn neighbours
nachbarn neighbor
ernährung nutrition
ernährung dietary
ernährung nutritional
ernährung diet
bologna bologna
vergleichen comparisons
vergleichen compare
vergleichen diff
vergleichen comparing
vergleichen comparison
björn bjorn
björn björn
lebensweise lifestyle
lebensweise lifestyles
gestrichen deleted
gestrichen cancelled
gestrichen painted
gestrichen abolished
gestrichen canceled
kolumbien columbia
kolumbien colombia
tafel blackboard
verabschiedet adopted
geistliche clerics
geistliche priest
geistliche spiritual
geistliche priests
geistliche clergy
download download
dublin dublin
gabriele gabriele
planck planck
fantasy fantasy
anerkannte recognised
anerkannte acknowledged
anerkannte recognized
springen jump
springen leap
springen jumping
interessierte interested
standpunkt viewpoint
aktivität activity
passieren happen
ära era
luigi luigi
annehmen assume
annehmen accept
genügt suffices
genügt suffice
gedruckt printed
abteilungen divisions
abteilungen departments
abteilungen compartments
störungen malfunctions
störungen disruptions
störungen interference
störungen disorders
störungen disturbances
ken ken
sportarten sport
sportarten sports
halbe halves
halbe halfway
halbe half
louisiana louisiana
erläutert explained
erläutert explains
zeitlich timed
nachweisbar demonstrable
nachweisbar detectable
taiwan taiwan
kritischen critical
obergeschoss upstairs
vorzeitig prematurely
vorzeitig premature
sturz downfall
sturz overthrow
sturz falls
sturz fall
erweiterten enlarged
aufzeichnungen records
aufzeichnungen recordings
amazon amazon
teilgenommen attended
teilgenommen participated
befestigt fortified
befestigt attached
administrative administrative
shakespeare shakespeare
auseinander apart
forst forestry
forst forst
forst forest
hang slope
hang hang
löscht deletes
stadtmauer walls
stadtmauer ramparts
beantwortet replied
beantwortet answered
labor labs
labor laboratory
labor lab
labor labor
samstag saturday
samstag saturdays
lehmann lehmann
classic classic
wirtschafts economic
wirtschafts economie
hiermit hereby
herausragende eminent
herausragende outstanding
med med
oberste uppermost
oberste supreme
schwäbisch swabian
schwäbisch schwäbisch
berühmt famous
berühmt celebrity
berühmt fame
berühmt renowned
restaurierung restoration
restaurierung renovation
restaurierung restoring
restaurierung restorations
geehrt honoured
geehrt honored
jonas jonas
jonas jonah
umzug relocation
umzug moving
umzug parade
umzug removal
niedrigen low
ski skis
ski ski
weichen switches
ansprechen response
gezielt targeted
gezielt purposefully
held hero
erhöhung increase
erhöhung elevation
erhöhung enhancement
silbernen silvery
kfz automotive
wüste desert
wüste wilderness
wüste deserts
verkauften sold
adolph adolph
polizisten cops
polizisten policemen
polizisten police
polizisten officers
polizisten policeman
mhz mhz
uci uci
carter carter
princeton princeton
latein latin
tschechische czech
fortgesetzt continued
politisches political
atlanta atlanta
hip hip
antwerpen antwerpen
antwerpen antwerp
kaiserslautern kaiserslautern
bks bks
invasion invasion
invasion invade
antonius anthony
antonius antony
antonius antonius
muhammad muhammad
gegenwärtig currently
gegenwärtig presently
northern northern
julian julian
nil nil
nil nile
selbständige independent
selbständige independents
güterverkehr freight
alternativen alternative
alternativen alternatives
sant sant
altenburg altenburg
abc abc
herrscht prevails
herrscht reigns
schaffung creation
flachen shallow
bestritten disputed
kiew kyiv
kiew kiev
hard hard
wiedergänger revenant
uraufgeführt premiered
faust faust
faust fist
vita vita
unverändert unchanged
unverändert unmodified
evans evans
anlehnung affiliation
interessante interesting
holding holding
ausserdem also
apple apple
schlage suggest
schwanz tails
schwanz tail
schwanz dick
schwanz cock
schwanz prick
fisch pisces
fisch fish
fisch seafood
thron throne
rapper rappers
rapper rapper
ozean oceanic
ozean oceans
ozean ocean
konservatorium conservatory
konservatorium conservatoire
beteiligen participate
untergrund underground
untergrund substrate
untergrund subsoil
redundanz redundancy
senior senior
nachkriegszeit postwar
aufsätze essays
cooper cooper
rechner calculator
rechner computers
rechner host
rechner computer
rechner hosts
rechner calculators
ulmer ulmer
schubert schubert
brigitte brigitte
fränkischen franconian
fränkischen frankish
zugrunde underlying
barry barry
bahnhöfe stations
neuauflage reissued
brüdern brethren
brüdern brothers
patent patent
patent patents
webseiten website
webseiten web
webseiten webpages
webseiten sites
webseiten websites
unterfamilie subfamily
knochen bones
knochen bone
ack ack
veb veb
posen poznan
posen poznań
posen poses
posen posen
rechtlich legally
wenzel wenzel
wenzel wenceslas
pionier pioneering
pionier pioneer
pionier pioneers
type type
blütezeit flowering
blütezeit bloom
blütezeit heyday
rumänischen romanian
metz metz
harold harold
brothers brothers
tests tests
tests testing
entfernten remote
ausgehen nightclubs
ausgehen nightlife
ausgehen dating
ausgehen out
lebenslauf resumes
lebenslauf curriculum
lebenslauf cv
lebenslauf biography
lebenslauf resume
sorgt ensures
sorgt cares
läßt admits
staffeln seasons
staffeln squadrons
alkohol booze
alkohol alcohol
alkohol liquor
gene gene
gene genes
trasse path
rechnen arithmetic
rechnen expect
rechnen math
silva silva
bemerkenswert remarkably
bemerkenswert notable
bemerkenswert noticeable
bemerkenswert remarkable
bemerkenswert noteworthy
deutlicher clearer
menschheit humankind
menschheit humanity
menschheit mankind
produzieren producing
produzieren produce
ehre honour
ehre honor
ehre glory
öffentlicher public
toll great
toll toll
christ christian
christ christ
vorwort preamble
vorwort foreword
vorwort preface
vergrößert enlarges
vergrößert magnified
vergrößert enlarged
tropischen tropical
miami miami
shanghai shanghai
mexico mexico
bischofs bishop
vertretung representation
vertretung rep
vertretung representative
fauna fauna
fauna wildlife
abriss demolition
protokoll minutes
protokoll transcript
protokoll protocol
protokoll log
protokoll logs
athleten athlete
athleten athletes
lahn lahn
teilnehmern participants
teilnehmern attendees
baker baker
ethnischen ethnic
copa copa
konzipiert conceived
konzipiert designed
breiter wider
breiter broad
breiter wide
breiter broader
udo udo
steuerung control
steuerung controller
steuerung controlling
steuerung governance
steuerung controls
vortrag lecture
vortrag speech
vortrag presentation
vortrag talk
división división
prinzipien principles
dienstleistungen services
lehrbuch textbook
comedy comedy
basketballspieler basketball
subsp subsp
hansen hansen
catherine catherine
standorte location
standorte locations
standorte sites
philologe philologist
aufteilung allocation
aufteilung breakdown
aufteilung distribution
aufteilung splitting
böhmischen bohemian
erwachsene grown
erwachsene adults
erwachsene adult
werfen throwing
werfen cast
werfen toss
werfen throw
erfunden invented
mexikanischen mexican
philosophen philosophers
philosophen philosopher
frag ask
ehrenmitglied honorary
dicke thick
dicke thicknesses
dicke thickness
bodensee bodensee
irischen irish
ländlichen rural
han han
vielfalt multiplicity
vielfalt plurality
vielfalt diversity
vielfalt variety
wettbewerbe competitions
wettbewerbe contests
wettbewerbe contest
rowohlt rowohlt
heiraten marry
heiraten wed
heiraten marriage
heiraten wedding
murray murray
archäologe archaeologist
austin austin
stellungnahme opinion
zelle cell
zelle cells
wälder woods
wälder woodland
wälder forests
wälder forest
schließung closure
schließung closing
hierher here
ausgelöst triggered
maßnahme action
maßnahme measure
chief chief
echo echo
kunsthalle kunsthalle
grundlegende basics
grundlegende fundamental
grundlegende basic
rüdiger rüdiger
professoren professors
geschmack taste
geschmack flavor
geschmack flavour
geschmack tastes
porto postage
porto porto
porto oporto
konzentration concentrations
konzentration concentration
interviews interviews
ansprüche entitlements
ansprüche claims
wiedervereinigung reunite
wiedervereinigung reunification
wiedervereinigung reunion
kabel cables
kabel cable
bemüht endeavour
berner bern
berner bernese
berner berner
berner berne
konzentrierte concentrated
konzentrierte focused
keramik pottery
keramik ceramic
keramik ceramics
bismarck bismarck
monika monica
monika monika
flensburg flensburg
pakistan pakistan
grant grant
angemeldet notified
angemeldet logged
angemeldet filed
brasilianischen brazilian
löwe lion
löwe lions
löwe leo
gerechtfertigt warranted
gerechtfertigt justified
gerechtfertigt justifiable
pädagogik pedagogy
melodie melody
melodie tune
canadian canadian
beratung advice
beratung advisory
beratung consulting
beratung counselling
beratung consultancy
bäumen trees
boeing boeing
beschäftigung employment
externe external
orientierung orientation
prinzen princes
prinzen prince
mängel deficiencies
mängel shortcomings
mängel weaknesses
mängel flaws
mängel defects
medal medal
portrait portrait
challenge challenge
werten values
elektronischen electronic
fachzeitschrift journal
salvador salvador
saarland saarland
saarland saar
dakota dakota
untergang downfall
untergang demise
untergang woe
untergang doom
rache payback
rache vengeance
rache revenge
dutzend dozens
dutzend dozen
egon egon
utrecht utrecht
kategorisierung categorisation
kategorisierung categorization
control control
südwest southwestern
südwest southwest
vorwürfe allegations
vorwürfe accusations
tiger tiger
tiger tigers
päpstlichen papal
päpstlichen pontifical
finanziell financially
finanziell financial
finanziell finances
beamter official
beamter officials
beamter officer
tiroler tyrolean
allgemeines general
lichtenberg lichtenberg
wang wang
liverpool liverpool
ringer wrestlers
ringer ringer
ringer wrestling
ringer wrestler
identifiziert identifies
identifiziert identified
behauptungen claims
behauptungen allegation
behauptungen allegations
behauptungen assertions
gerecht fair
gerecht equitable
roll roll
broadway broadway
zerstörte destroyed
materie matter
jason jason
alaska alaska
lies read
soul soul
schaut look
naturwissenschaften science
naturwissenschaften sciences
barocke baroque
vermitteln conveying
vermitteln communicating
vermitteln mediate
vermitteln convey
matthew matthew
argentinischer argentinean
argentinischer argentine
positiven positive
positiven positives
dunkle dark
floh flea
floh fled
helene helene
helene helen
relief relief
vogt vogt
vogt bailiff
angela angela
margarete margaret
margarete margarete
deutet indicates
syn syn
ruprecht rupert
ruprecht ruprecht
religionen religions
religionen religious
religionen religion
mitwirkung involvement
mitwirkung participation
romanische romanesque
freigegeben released
freigegeben cleared
head head
leonard leonard
disney disney
helm helm
helm helmet
ruinen ruins
entscheidenden decisive
weißer caucasian
orientierte oriented
offenbach offenbach
sky sky
afrikanischen african
köhler köhler
zeitalter ages
zeitalter era
externen external
vision vision
auswertung interpretation
auswertung evaluation
auswertung analysis
jorge jorge
kilogramm kilograms
kilogramm kg
kilogramm kilogram
kilogramm kilo
rumänischer romanian
messung measuring
messung measurement
bassist bassist
bassist bass
schwert blade
schwert swords
schwert sword
elsass alsace
schlagen beat
schlagen punching
schlagen slapping
schlagen beating
schlagen punch
phoenix phoenix
italia italia
eisenach eisenach
inszenierung staging
glaubens faith
gewerkschaft union
gewerkschaft unions
touristen tourists
touristen tourist
geschwister siblings
geschwister sibling
vermute surmise
oregon oregon
christina christina
erstens firstly
rks rks
normen norms
normen standards
ansässig resident
erkrankungen illnesses
erkrankungen illness
erkrankungen diseases
erkrankungen disorders
agentur agency
agentur emea
iwan ivan
schreiber scribe
schreiber schreiber
blüte blossom
blüte flowering
blüte flower
blüte bloom
blüte blossoming
durchgesetzt enforced
zweitens secondly
punk punk
ausländische foreign
dell dell
digitalen digital
joan joan
enger closer
enger tighten
enger narrower
enger tighter
bremerhaven bremerhaven
tabellen tables
tabellen spreadsheets
überprüft checked
überprüft verified
überprüft reviewed
wls wls
wahlperiode legislature
westlicher westerly
einladung invite
einladung invitation
stadtverwaltung municipality
stadtverwaltung municipal
legislaturperiode legislature
slowenien slovenia
disziplinen discipline
disziplinen disciplines
finnischer finnish
alltag everyday
ausländischen foreign
gesungen sang
gesungen singing
gesungen sung
jerry jerry
türken turk
türken turks
hawaii hawaii
zeitweilig temporarily
zeitweilig temporary
jules jules
jährlichen yearly
jährlichen annual
akademische academic
gelehrten scholars
gelehrten scholar
mine mine
fachhochschule fachhochschule
fachhochschule polytechnic
überleben survive
überleben survival
überleben surviving
gelassen complacent
école école
école ecole
stimmung vibes
stimmung mood
stimmung tuning
anpassung adjustments
anpassung adaption
anpassung adjustment
anpassung adaptation
anpassung customization
flach flat
flach shallow
entwickler developers
entwickler developer
schwedisch swedish
kostenlos freeware
kostenlos free
under under
individuen individuals
tausende thousands
anwesenheit attendance
anwesenheit presence
liedern songs
israelischen israeli
freude delight
freude joy
freude happiness
freude pleasure
prototyp prototype
rotterdam rotterdam
unterzeichnete undersigned
unterzeichnete signed
effekte effects
effekte effect
gletscher glacier
gletscher glaciers
versenkt sunk
versenkt sank
indische indian
offs offs
bekämpfung combat
erzähler narrator
erzähler storyteller
essay essay
essay essays
operationen operations
operationen surgery
operationen surgeries
haute haute
stetig steady
stetig steadily
homburg homburg
montana montana
kleinste smallest
kleinste tiniest
kontinuierlich continuously
kontinuierlich continuous
kontinuierlich continually
wayne wayne
gleise platforms
gleise tracks
dessau dessau
erobert conquered
erobert conquers
erobert conquer
verwundet wounded
klöster monastery
klöster monasteries
anfänge beginnings
kaiserin empress
meier meier
soundtrack soundtrack
morris morris
gertrud gertrude
gertrud gertrud
malte painted
malte malte
hitlers hitler
übergab handed
pkw cars
pkw automobiles
pkw car
größen sizes
geographischen geographical
dnb dnb
öffnung aperture
öffnung openness
öffnung opening
petra petra
lateinisch latin
