cēlonis	cause
migla	mist
migla	foggy
migla	fog
krava	load
krava	cargo
krava	freight
semimajor	semimajor
iekšzemē	inland
iekšzemē	domestically
sēž	sits
sēž	sitting
ieguldījums	contribution
ieguldījums	investment
runu	speech
militāri	military
militāri	militarily
redakcija	version
somālijas	somalia
somālijas	somali
sadaļas	sections
sadaļas	chapters
advokātu	lawyer
darbnīca	workshop
rīku	gear
ženēvas	geneva
zemesraga	canaveral
meksika	mexico
pusvadītāju	semiconductor
pusvadītāju	semiconductors
skudru	ants
zirgam	horse
pozitīvi	positive
atzīmēta	tagged
kases	treasuries
čeļabinskas	chelyabinsk
mednieki	hunters
vērsts	directed
vērsts	oriented
mantas	belongings
mantas	stuff
vilces	traction
vilces	thrust
izteiktas	pronounced
pierādījumu	proof
kristietība	christianity
dzēšanu	deletion
izvairās	avoids
rimi	rimi
majorwins	majorwins
stiprs	strong
zoo	zoo
olimpiāde	olympiad
olimpiāde	olympics
nulle	zero
aprīkots	fitted
aprīkots	equipped
disney	disney
zaļas	green
lists	liszt
elza	elsa
elza	elza
zum	zum
ņem	take
pievienošanas	incorporation
tava	your
alianse	alliance
etc	etc
apkārtmērs	circumference
arābi	arabs
raktuves	mines
raktuves	mine
kāpnes	stairways
kāpnes	ladder
kāpnes	ladders
kāpnes	stairs
gana	ghana
vesels	whole
virsbūves	bodywork
virsbūves	bodies
signes	signes
parametrs	parameter
militārie	military
dzīvoklī	apartment
iestāšanās	accession
leļļu	puppet
leļļu	dollhouse
vistas	hens
vistas	chicken
vistas	chickens
īpatņu	specimens
getparent	getparent
deklarācija	declaration
islandē	iceland
savādāk	differently
savādāk	otherwise
pjedestāla	podium
pjedestāla	pedestal
autonomijas	autonomy
paradīzes	paradise
vēsturisks	historic
vēsturisks	historical
artikulācijas	articulating
panorāma	panorama
atmosfēra	atmosphere
eva	eva
eva	eea
astoņiem	eight
mobilais	mobile
inovācijas	innovations
inovācijas	innovation
dītrihs	dietrich
bolīvijas	bolivian
seju	face
salo	salo
pārvaldnieks	manager
dem	dem
primārais	primary
apkārtējā	ambient
darījumu	transaction
diplomu	diploma
krastus	shores
bono	bono
atšķīrās	differed
abovestyle	abovestyle
brūss	bruce
tunelis	tunnel
harju	harju
peldētājs	swimmer
čigānu	gipsy
čigānu	gypsy
iestāties	enrol
šekspīra	shakespeare
izpildi	fulfillment
konkrēti	specifically
pastāvīgā	permanent
beidzies	expired
fiat	fiat
glonass	glonass
ceturtdaļfinālā	quarterfinals
dubnas	dubna
gregorijs	gregory
trans	trans
vārnas	crows
atdalīta	separated
bundeslīgas	bundesliga
atzītas	recognized
atzītas	recognised
ekspedīcijā	grinch
skolēniem	pupils
žils	jules
džims	jim
asambleja	assembly
kāzas	weddings
kāzas	wedding
zane	zane
vidējs	medium
tehniski	technically
mēģinājumu	rehearsal
britannica	britannica
žogs	fence
salavat	salavat
flāmu	flemish
gazprom	gazprom
silts	warm
karogi	flags
gārnis	egret
gārnis	heron
rita	rita
četrdesmit	forty
disciplīnas	disciplines
stadijas	stages
delfi	delphi
delfi	delfi
pamiers	truce
pamiers	ceasefire
pamiers	armistice
linu	flax
akmeņi	stones
akmeņi	rocks
honda	honda
abba	abba
aes	aes
signālus	signals
galatasaray	galatasaray
sodīts	punished
pacers	pacers
mati	hair
senas	ancient
eric	eric
budistu	buddhist
džeralds	gerald
parakstīt	sign
donalds	donald
irāka	iraq
biologs	biologist
anita	anita
jeruzalemes	jerusalem
dens	dan
neparasti	unusual
bioloģiskā	biological
vienalga	anyway
vienalga	whatever
piektajā	fifth
podlases	podlaskie
hdi	hdi
tipisks	typical
niedru	reed
vēlu	late
piesaistīja	attracted
vienoties	agree
hipotēze	hypothesis
platumā	width
manuels	manuel
dienvidi	south
ražoti	produced
ražoti	manufactured
medībās	hunts
medībās	hunting
abinieku	amphibian
lūiss	lewis
paaugstināta	increased
zviedriem	swedes
pieraksts	notation
pieraksts	subscription
locītavas	joints
mao	mao
trīspadsmit	thirteen
ridertype	ridertype
drošu	safe
sēru	mourning
fantāzijas	fantasy
fantāzijas	fantasies
lauksaimniecība	farming
lauksaimniecība	agriculture
apzināti	consciously
apzināti	intentionally
apzināti	deliberately
apzināti	knowingly
apzināti	intentional
ievads	introduction
čaulas	shell
čaulas	shells
čaulas	liners
čaulas	liner
čaulas	carapace
avangard	avangard
laikus	timely
dziļu	profound
ana	ana
kopīgas	shared
senioru	seniors
milzīga	huge
milzīga	enormous
milzīga	massive
milzīga	immense
lāci	bear
pagrīdes	boardwalk
radošo	creative
uzplauka	prospered
grīnbergs	grünberg
bobsleja	bobsleigh
pārtrauc	aborting
pārtrauc	interrupts
sūtīt	send
iekšējais	interior
iekšējais	inboard
iekšējais	internal
iekšējais	inner
sandra	sandra
pārtraukums	break
pārtraukums	interruption
pārtraukums	interrupt
slēpjas	hiding
ķirurgs	surgeon
dzīvesveidu	lifestyles
cēlušies	descended
dzeltenais	yellow
silver	silver
augumu	stature
augumu	height
oriģinālā	original
peldēšanas	swimming
pētnieku	researcher
sacenšas	compete
sacenšas	competing
kristāliska	crystalline
rasu	racial
kritēriji	benchmarks
kritēriji	criteria
mareks	marek
svītras	stripes
siltāks	warmer
zēns	boy
imperatore	imperatore
palestīniešu	palestinian
paskaidrojumi	explanations
paskaidrojumi	clarifications
baltastes	bulwer
sargā	guarding
brīvs	vacant
brīvs	free
bagātīgi	plentiful
bagātīgi	abundant
pazuda	disappeared
iegādāts	purchased
peldēšana	swimming
golden	golden
alejas	galleries
līdakas	pike
izstrādāti	developed
katastrofas	disasters
pavēlnieks	lord
vienādojumu	equation
organisms	organism
eca	eca
sudānas	sudanese
plānota	scheduled
plānota	planned
slēgt	lock
hēlija	helium
#ff	#ff
atpazīstamību	renown
bayer	bayer
piepilsētas	suburban
strēlnieki	archers
sadalīšanas	dissection
sadalīšanas	splitting
snak	snak
piesaistīt	attract
kopija	copy
balasta	stranded
balasta	ballast
pievienotas	attached
vīrusu	viral
vīrusu	virus
būtiskas	essential
laikapstākļi	weather
izpratni	understanding
laima	laima
laima	lyme
laima	lime
sulu	juice
starptautisks	transnational
asamblejas	assembly
omx	omx
sēdes	sitting
sēdes	meetings
sēdes	sittings
sēdes	hearings
bot	bots
vienādojums	equation
pateikt	say
mākslīgā	artificial
akli	blind
akli	blindly
pierre	pierre
dinaburg	dinaburg
regulāra	regular
uzlabo	improving
uzlabo	enhances
uzlabo	improves
uzlabo	improve
plāksnes	plates
plāksnes	plate
kēnigsbergas	königsberg
reikenens	räikkönen
sistemātika	systematics
garīgais	spiritual
džonijs	johnny
džonijs	jonny
lmt	lmt
aptieka	pharmacy
ronis	seal
cēzara	caesar
oksīdu	oxide
juridiski	legally
cvk	cec
absolūti	absolutely
tēvam	father
civilā	civil
civilā	civilian
masīva	massif
misisipi	mississippi
atrisināt	solved
atrisināt	resolve
atrisināt	solve
nvs	cis
datori	computers
reģistrētas	registered
ieiet	enters
ieiet	enter
drošība	security
drošība	safety
atkarību	dependency
procesora	cpu
procesora	processor
atcelt	cancel
talantu	talent
zīmēšanas	drawing
piens	milk
vidzeme	livonia
avīzē	newspaper
tavu	your
īsāks	shorter
civilās	civil
civilās	civilian
precīzs	precise
precīzs	accurate
precīzs	exact
diplomātiskās	diplomatic
reperis	rapper
trauku	dish
luna	luna
latv	latv
lerijs	larry
parakstīšanas	signing
rīki	tools
rīki	gears
zonās	zones
intervijā	interview
rīkles	throat
garāka	taller
gazols	gasol
yesno	yesno
toyota	toyota
apturēta	paused
apturēta	suspended
atzīmē	notes
rūpnieciski	industrially
aicina	calling
aicina	invites
skaitļošanas	computing
aizliegums	ban
aizliegums	prohibition
klārks	clarke
klārks	clark
koncepciju	concept
vienmērīgi	uniformly
vienmērīgi	evenly
ieroci	gun
slepkavību	murder
las	las
gaga	gaga
samazinājies	fallen
samazinājies	declined
šūmahers	schumacher
grenlandes	greenland
grenlandes	greenlandic
normandijas	normandy
garšu	taste
pauda	voiced
step	step
veikalā	shop
pašreizējie	current
procedūras	procedures
atlikušās	remaining
tuberkulozes	tuberculosis
skeleta	skeleton
ulrihs	ullrich
jostas	belts
porsche	porsche
zināt	know
bazilika	basil
bazilika	basilica
dala	divided
kurland	kurland
izšķilšanās	emergence
izšķilšanās	hatching
orientalis	orientalis
izcili	brilliant
izcili	outstanding
izcili	excellent
apvienotais	merged
līknes	curves
joahims	joachim
zebiekste	weasel
konfederāciju	confederations
konfederāciju	confederation
estland	estland
salīdzināt	compare
tiesneši	judges
rex	rex
aģents	agent
chrysolina	chrysolina
žurnāliste	journalist
romans	roman
pārklājas	overlaps
pārklājas	overlap
elektriskais	electric
ieee	ieee
palīdzot	helping
atpazīt	recognize
atpazīt	recognizable
atpazīt	recognise
mergedtoprow	mergedtoprow
made	made
uzrakstīts	written
taisnstūra	rectangle
taisnstūra	rectangular
lubušas	lubusz
ita}}	ita}}
deklarācijas	declarations
ūdenskritums	waterfall
personība	identity
personība	personality
intensīva	intensive
intensīva	intense
maņu	sensory
pēcnācējiem	offspring
ieslodzījuma	imprisonment
ērti	convenient
ērti	comfortable
amsterdamas	amsterdam
modifikācija	modification
gudrības	wisdom
mute	mouth
ziemeļi	north
sarkani	red
optisko	optical
sauss	dry
noliktava	warehouse
sazināties	contact
sazināties	communicate
praksi	practice
nodoklis	duty
nodoklis	tax
dobumu	cavities
alvis	alvis
kandidatūru	candidacy
kandidatūru	candidature
hop	hop
dāma	queen
dāma	lady
ražotāji	producers
ražotāji	manufacturers
solis	step
iedzīvotājs	resident
vērts	worth
vērts	worthy
kuģniecības	shipping
vakuuma	vacuum
hipotēzi	hypothesis
apvienojas	merges
apvienojas	merge
apvienojas	merging
palikusi	left
apsūdzēja	accused
florida	florida
matricas	matrix
kopenhāgenā	copenhagen
visilgāk	longest
luhanskas	luhansk
izīrēts	rented
finansiāli	financially
kaķiem	cats
arheologs	archaeologist
laulība	marriage
ieviešana	implementation
sasniegumu	achievement
manipulatoru	manipulator
atšķirties	differ
gaz	gaz
uzskaitītas	enumerated
uzskaitītas	listed
nigērijas	nigerian
profesore	professor
prefektūra	prefecture
iecirknis	compartment
tcp	tcp
muti	mouth
gmbh	gmbh
agrākā	earliest
fails	file
redakcijas	editorial
redakcijas	versions
gulbji	swans
slovēnija	slovenia
copa	copa
peldēt	swim
solaris	solaris
obama	obama
apdares	finishing
organizētas	organised
spuras	fins
marie	marie
lībekas	lübeck
īzaks	isaac
dārzos	gardens
veicinātu	foster
veicinātu	promote
pelēkas	grey
pērkons	thunder
sabruka	collapsed
inspektors	inspector
