反正 anyway
匹配 matching
匹配 match
匹配 matched
損害 damage
斷層 fault
斷層 faults
力士 lux
電波 airwaves
出境 exit
出境 departure
郊區 suburb
郊區 suburban
郊區 outskirts
郊區 suburbs
哈哈 haha
哈哈 lol
願望 desire
願望 wish
願望 wishes
阿拉伯人 arabs
貧窮 poverty
光滑 slippery
光滑 smooth
光滑 glossy
光滑 sleek
君子 gentleman
福井 fukui
河岸 riverbank
遲 late
詞語 words
生物學 biological
生物學 biology
債務 debts
債務 debt
光芒 radiance
光芒 glow
塾 sook
俄語 russian
穿梭 shuttle
渲染 rendering
按鈕 buttons
按鈕 button
翰林 hanlin
陣線 front
分化 divide
氨基 amino
週日 sunday
跆拳道 taekwondo
跆拳道 kickboxing
題目 topic
題目 topics
高知 kōchi
高知 kochi
忙 busy
半導體 semiconductor
半導體 semiconductors
評分 rating
評分 rated
評分 ratings
評分 rate
附件 attachment
黃埔 whampoa
泡沫 bubbles
泡沫 foam
泡沫 bubble
狀元 scholar
動員 mobilisation
動員 mobilize
動員 mobilizing
動員 mobilization
倉庫 warehouse
發電機 generators
發電機 generator
比喻 parable
比喻 metaphor
比喻 analogy
齋藤 saito
埋葬 burial
埋葬 bury
埋葬 buried
松鼠 squirrel
松鼠 squirrels
衫 shirt
塵 dust
相撞 collision
相撞 collide
多多 toto
臨床 clinical
臨床 clinically
退伍 discharged
繞道 detour
繞道 bypass
住院 hospitalized
住院 hospitalization
自願 voluntary
輸 lost
輸 lose
林子 woods
方形 square
岡田 okada
強行 forcible
猜想 conjecture
愛國 patriotic
祝福 blessing
祝福 blessings
祝福 blessed
人類學 anthropological
陷阱 trap
陷阱 traps
倒數 countdown
編纂 compilation
編纂 codification
遺傳 genetic
遺傳 genetics
遺傳 hereditary
雨水 rainwater
雨水 rain
無數 countless
干預 interference
干預 intervene
干預 intervention
崩潰 crash
崩潰 collapse
手球 handball
車票 tickets
車票 ticket
射箭 archery
牛頓 newton
糖尿病 diabetic
糖尿病 diabetes
訂購 ordering
訂購 ordered
訂購 order
鋁 aluminium
鋁 aluminum
謀殺 murder
師傅 master
探測器 detector
探測器 probe
探測器 detectors
探測器 probes
可靠性 reliability
托馬斯 thomas
壟斷 monopolies
壟斷 monopolization
壟斷 monopolistic
壟斷 monopoly
變數 variable
變數 variables
切割 cutting
雙胞胎 twin
雙胞胎 twins
聰明 smart
語文 languages
語文 language
法西斯 fascist
大主教 archbishop
量化 quantitative
量化 quantification
量化 quantifiable
量化 quantified
量化 quantify
鯉魚 carp
有時候 sometimes
曼哈頓 manhattan
植被 vegetation
老大 boss
解答 answers
同居 cohabiting
同居 cohabitation
大象 elephants
大象 elephant
遊樂場 playground
遊樂場 playgrounds
會場 venue
閻 yan
回覆 reply
回覆 replies
衰變 decay
感應 vibe
感應 induction
塑膠 plastics
塑膠 plastic
排斥 ostracism
排斥 exclusion
連鎖 chain
企鵝 penguins
企鵝 penguin
沙灘 beach
沙灘 beaches
賓夕法尼亞 pennsylvania
騎師 jockey
高棉 khmer
懸 hanging
頒布 promulgated
頒布 promulgation
頒布 promulgating
頒布 enactment
頒布 promulgate
頒布 enacted
浪潮 tide
浪潮 wave
盈利 profit
盈利 profitable
盈利 profitability
過渡 transition
過渡 transitions
傳教士 missionaries
傳教士 missionary
表揚 commendation
表揚 praise
每個人 everybody
每個人 everyone
辜 koo
目睹 witnessing
濕 wet
獲准 permitted
摩西 moses
降級 downgrade
降級 demotion
降級 downgrading
降級 demoted
網際網路 internet
遠藤 endo
戶外 outdoor
戶外 outdoors
文憑 diploma
文憑 diplomas
氨基酸 amino
脊椎 spine
空缺 vacancy
空缺 vacancies
空缺 vacant
阻擋 blocking
巡邏 patrolling
巡邏 patrols
巡邏 patrol
睡 sleep
睡 sleeping
溴 bromine
扭力 torque
蛋糕 cake
蛋糕 cakes
流出 outflow
沙巴 sabah
對待 treat
鑲嵌 tiling
持股 shareholdings
持股 shareholding
崇德 virgil
過期 expire
過期 expired
過期 expires
庇護 asylum
恐慌 panic
前輩 elder
海嘯 tsunami
海嘯 tsunamis
旋風 ozone
旋風 cyclone
旋風 whirlwind
殘疾 disabled
殘疾 disabilities
殘疾 disablement
殘疾 disability
聖地牙哥 santiago
推定 presumption
推定 presumptions
推定 presumptive
推定 presumed
處決 execution
處決 executions
自傳 autobiography
自傳 biography
哇 wow
病患 patients
病患 patient
碳酸 carbonate
漁業 fisheries
漁業 fishery
漁業 fishing
硼 boron
命中 hits
命中 hit
互通 interoperable
大野 ono
杜鵑 rhododendron
杜鵑 cuckoo
定型 stereotyped
大理石 marble
撥款 allocation
撥款 allocations
炭 charcoal
炭 carbon
特效 effect
特效 effects
疑問 doubt
步驟 step
步驟 steps
大洲 continents
大洲 continent
織 weave
救助 salvage
媽祖 mazu
縮小 shrinking
縮小 narrow
縮小 shrink
衡量 measuring
衡量 measurement
衡量 measure
內陸 inland
內陸 landlocked
高興 happy
電路 circuits
電路 circuit
墓園 cemetery
間隔 intervals
間隔 interval
間隔 spacing
海岸線 coast
海岸線 shoreline
海岸線 coastline
海岸線 coastlines
擢 mew
詩歌 poems
詩歌 poetry
善良 kind
善良 kindness
流失 churn
流失 drain
氧化物 oxides
氧化物 oxide
正方形 square
保守派 conservatives
保守派 conservative
判刑 sentencing
判刑 sentenced
判刑 sentences
判刑 sentence
剪輯 editing
剪輯 clip
分級 grading
灶 stoves
灶 stove
灶 hearth
複數 plural
英勇 bravery
氯化 chloride
氯化 chlorination
印度教 hinduism
印度教 hindu
會所 clubhouse
外貌 appearance
短缺 shortages
短缺 shortfall
短缺 shortage
音節 syllable
音節 syllables
傻 stupid
傻 silly
跳躍 jump
跳躍 leap
跳躍 jumping
測驗 test
測驗 tests
測驗 testing
測驗 quiz
伯德 bird
峽谷 canyons
峽谷 gorge
峽谷 canyon
傳聞 hearsay
傳聞 rumor
飼養 breeding
吞吐量 throughput
氣壓 pressure
戰區 theatre
微波 microwave
液體 liquids
液體 fluid
液體 liquid
回顧 recalling
回顧 recap
住宿 lodging
住宿 accommodation
住宿 accommodations
聯播 hookup
信念 faith
信念 conviction
槍擊 shooting
荷馬 homer
落地 landing
墓碑 headstone
墓碑 tombstone
國歌 anthem
彈頭 warhead
彈頭 bullet
彈頭 warheads
內心 inside
內心 inner
新鮮 fresh
畏 angst
沼澤 swamp
沼澤 marsh
沼澤 bog
直立 upright
圍攻 siege
沐 mu
表情 expression
表情 emoji
幻影 phantom
幻影 mirage
氟化 fluoride
遙遠 faraway
遙遠 distant
躲避 dodging
各式 assortment
各式 assorted
塑像 statues
塑像 statue
牛肉 beef
樓梯 stairs
樓梯 staircase
狩獵 hunt
狩獵 hunting
專科 specialties
穩 steady
等候 waiting
會費 dues
下屬 subordinates
末日 doomsday
動機 motive
動機 motivation
動機 motives
通告 circulars
軌跡 track
軌跡 trajectory
軌跡 trail
軌跡 locus
風景 scenery
風景 landscape
滴 drop
滴 drip
滴 drops
昏迷 coma
微型 miniature
微型 micro
海豹 seals
海豹 seal
樓上 upstairs
大廳 hall
大廳 lobby
神廟 temple
界限 boundaries
斯德哥爾摩 stockholm
岩手 iwate
日誌 journal
日誌 log
喊 yell
喊 shout
基準 baseline
基準 benchmark
基準 benchmarks
基準 baselines
基準 benchmarking
花瓣 petal
花瓣 petals
蜥蜴 lizards
蜥蜴 lizard
袍 robes
總和 sum
石窟 grottoes
著作權 authorship
著作權 copyright
熱心 enthusiasm
熱心 enthusiastic
安倍 abe
放射 radiology
放射 radioactivity
放射 radiation
放射 radioactive
小熊 cubs
開支 expenses
平板 slab
平板 tablets
平板 tablet
摩擦 rub
摩擦 frictions
摩擦 rubbing
摩擦 friction
敵方 enemy
理工學院 polytechnics
理工學院 polytechnic
繁榮 prosperity
繁榮 boom
繁榮 prosperous
文宗 wenzong
檢察 prosecutorial
輪胎 tires
輪胎 tyres
輪胎 tyre
輪胎 tire
延期 extensions
延期 extension
蟬 cicada
肺炎 pneumonia
波長 wavelength
波長 wavelengths
親屬 relatives
禁令 injunction
衍生物 derivatives
擴散 diffusion
擴散 proliferation
醬 sauce
二手 secondhand
珠寶 jewels
珠寶 jewelry
珠寶 jewellery
斧 ax
斧 axe
尼加拉瓜 nicaragua
非凡 extraordinary
焊接 weld
焊接 welded
焊接 welding
海山 seamounts
國防軍 idf
獎學金 scholarships
獎學金 scholarship
偵查 recon
偵查 reconnaissance
視訊 video
阻礙 obstruction
侄子 nephew
墳 grave
資本主義 capitalist
資本主義 capitalism
辛苦 hard
有毒 toxic
有毒 poisonous
排水 drain
排水 drainage
奇異 exotic
奇異 singular
雉 pheasant
慢性 chronic
馬達 motors
馬達 motor
光榮 glorious
光榮 glory
胡椒 pepper
自信 confident
自信 confidence
邊疆 frontiers
邊疆 frontier
殖民者 colonists
染色體 chromosomes
染色體 chromosome
枕 pillow
寺廟 temple
寺廟 temples
相交 intersections
相交 intersect
哦 oh
鈾 uranium
伴侶 partner
伴侶 companion
電荷 charge
廚房 kitchen
溫柔 tender
溫柔 gentle
紳士 gentleman
潮汐 tide
潮汐 tidal
潮汐 tides
事變 incident
陀螺 gyro
抒情 lyrical
愛麗絲 alice
申訴 complaints
申訴 complaint
蔓延 sprawl
蔓延 spreading
蔓延 spread
漂流 drifting
燈塔 lighthouse
燈塔 beacon
加勒比 caribbean
陡 steep
無名 nameless
血腥 bloody
粉碎 smash
醜聞 scandal
插圖 illustrations
骨頭 bones
骨頭 bone
經理人 manager
堡壘 bastion
堡壘 fortress
堡壘 fort
工資 salary
工資 wage
工資 wages
工資 salaries
憲兵 gendarmerie
憲兵 gendarmes
犀牛 rhinoceros
犀牛 rhinos
犀牛 rhino
思想家 thinker
思想家 thinkers
乘車 ride
寂寞 loneliness
寂寞 lonely
叢 bundle
花卉 floral
花卉 flowers
庭院 courtyard
庭院 yard
樞紐 hubs
樞紐 hub
仙女 fairy
蘇維埃 soviets
蘇維埃 soviet
煙花 fireworks
煙花 firework
筋 tendons
安藤 ando
和諧 harmony
撤消 revoke
室外 outside
室外 outdoor
室外 outdoors
鵝 goose
鵝 geese
刺殺 assassination
彈劾 impeach
彈劾 impeachment
坐標 coordinate
坐標 coordinates
政協 cppcc
永恆 eternity
永恆 timeless
永恆 eternal
津貼 stipend
津貼 allowances
津貼 allowance
破解 crack
甲殼類 crustaceans
捲 roll
卡車 truck
卡車 trucks
麻雀 sparrows
麻雀 sparrow
阻力 drag
阻力 resistance
關懷 caring
沙拉 salad
耳朵 ear
耳朵 ears
熔岩 lava
啟發 inspired
盧森堡 luxembourg
疼痛 pain
鷗 gull
佔有 possession
獨家 exclusive
冥王星 pluto
停火 ceasefire
約束 constraint
掩護 cover
鈍 blunt
復原 restoration
復原 recovery
真主 allah
清潔 cleanliness
清潔 cleaning
清潔 clean
長壽 longevity
友誼 friendship
多元化 diversification
多元化 plurality
多元化 diversity
多元化 diversify
多元化 pluralism
友善 friendly
山麓 piedmont
山麓 foothills
甜蜜 sweet
瘦 skinny
瘦 slim
瘦 lean
瘦 thin
學界 academia
甲烷 methane
優質 quality
書法 calligraphy
船員 crew
前衛 vanguard
稀少 scarce
稀少 sparse
山羊 goat
山羊 goats
丟 throw
雪梨 sydney
財團 consortium
批量 bulk
鳳蝶 papilio
消化 digested
消化 digestion
消化 digestive
消化 digest
成效 effectiveness
樹木 tree
樹木 trees
陶器 pottery
租賃 leasing
租賃 leasehold
租賃 leases
租賃 rental
租賃 lease
凱撒 caesar
馬達加斯加 madagascar
告別 farewell
胖 fat
狹窄 stenosis
狹窄 narrow
裁決 verdict
裁決 ruling
無力 powerless
節省 savings
節省 saving
磚 bricks
磚 brick
利率 rate
高大 tall
水下 underwater
撲 bashing
意向 intentions
意向 inclination
意向 intent
意向 intention
壓制 repression
壓制 suppress
壓制 suppressing
壓制 suppression
進度 progress
重溫 revisit
重溫 reliving
重溫 relive
指稱 allegations
指稱 allegation
哺乳動物 mammal
哺乳動物 mammals
爺爺 grandpa
突襲 raid
突襲 raids
情侶 couples
情侶 couple
情侶 lovers
交接 handover
示範 model
示範 demonstration
示範 demo
保全 preserve
保全 preservation
宮殿 palace
智力 intelligence
智力 intellectual
爆破 blasting
羽田 haneda
渡口 ferry
糾紛 disputes
糾紛 dispute
發光 shine
發光 glowing
發光 luminous
發光 glow
結盟 alliance
阿拉伯語 arabic
異議 objection
係數 coefficient
係數 coefficients
抱怨 complaining
抱怨 complain
窮 poor
投球 pitch
銀色 silver
武林 wulin
鞘 sheath
小牛 calf
訪談 interview
訪談 interviews
口味 flavors
口味 tastes
宗派 sectarian
揚州 yangzhou
就職 inauguration
人性 humanity
噴發 venting
噴發 eruption
噴發 eruptions
饒 rao
失誤 mistakes
溶解 dissolving
溶解 dissolved
溶解 dissolve
公報 communique
公報 communiqué
公報 communiqués
主觀 subjective
主觀 subjectivity
桃源 taoyuan
天平 scales
外國人 aliens
外國人 foreigner
外國人 foreigners
反感 aversion
反感 disgusted
神仙 fairy
李子 plum
李子 plums
腸 sausage
腸 intestine
腸 bowel
腸 intestines
鹼 alkali
鹼 alkaline
石板 slate
石板 tablet
秋山 akiyama
液晶 lcd
福爾摩斯 holmes
君主制 monarchy
野心 ambitions
野心 ambitious
野心 ambition
別墅 villa
別墅 villas
幅度 ranges
印地安人 indians
籠 cage
監管 supervision
顯示器 display
顯示器 monitors
有害 harmful
銀河系 galaxy
罰款 fines
葡萄糖 glucose
鋰 lithium
千秋 chiaki
劍橋 cambridge
詛咒 curse
達拉斯 dallas
徒步 hike
草莓 strawberry
草莓 strawberries
奶奶 grandma
蚊 mosquito
補償 compensation
補償 compensatory
補償 reparations
教父 godfather
蝙蝠俠 batman
輕微 slight
肽 peptide
廁所 toilet
廁所 bathroom
葉子 leaves
葉子 leaf
葉子 yoko
激進 radical
乙醇 ethanol
有罪 guilty
大塚 otsuka
禮拜 worship
樣式 styles
樣式 style
遷徙 migrating
遷徙 migration
遷徙 migrations
交響樂團 symphony
抄襲 plagiarism
海倫 helen
螢 ying
讀音 pronunciation
聖殿 basilica
聖殿 temple
空格 spaces
郵票 stamp
郵票 stamps
多瑙河 danube
阿爾及利亞 algeria
騷擾 harassment
騷擾 harassing
冷卻 cooling
攝影機 camera
拜訪 visiting
皇宮 palace
法老 pharaoh
微小 tiny
出版商 publisher
出版商 publishers
精美 exquisite
精美 beautifully
溫和 gentle
溫和 moderation
溫和 moderate
溫和 mild
公升 litre
公升 liters
公升 liter
公升 litres
相對論 relativism
相對論 relativity
對面 opposite
香料 spices
香料 spice
悼念 tribute
悼念 tributes
悼念 mourning
辣椒 chilli
辣椒 pepper
賭場 casinos
賭場 casino
國徽 emblem
悲劇 tragic
悲劇 tragedy
鎖定 lock
鎖定 locked
租金 rentals
租金 rental
租金 rent
租金 rents
光輝 radiance
光輝 shining
喀麥隆 cameroon
誤解 misconception
誤解 misunderstanding
誤解 misunderstandings
誤解 misunderstood
彎曲 curved
彎曲 bend
溫暖 warm
溫暖 warmth
解剖 anatomy
解剖 dissection
解剖 autopsy
神像 gato
手套 gloves
手套 mittens
手套 glove
硬幣 coins
硬幣 coin
纜車 gondola
朝代 dynasty
你好 hello
耕地 cropland
皂 soap
承包商 contractors
承包商 contractor
草坪 lawn
草坪 lawns
方舟 ark
編譯 compile
編譯 compiled
編譯 compilation
編譯 compiling
鉛 lead
鞭 whip
錐 cone
界定 define
界定 defining
氣溫 temperature
氣溫 temperatures
概括 generalization
日光 daylight
馬賽 marseille
彈性 flexible
彈性 flexibility
彈性 elasticity
彈性 elastic
彈性 flex
長老 elder
長老 elders
野牛 buffalo
野牛 bison
特許 concessions
特許 concession
盾牌 shield
盾牌 shields
走私 smuggling
走私 smuggled
走私 smuggle
紀念館 memorial
戒指 ring
戒指 rings
祭司 priest
握手 handshake
酒井 sakai
乘法 multiplication
繪圖 mapping
繪圖 drawings
繪圖 graphics
繪圖 drawing
調任 reassignment
乙酸 acetate
大屠殺 massacre
大屠殺 holocaust
食堂 canteen
食堂 cafeteria
劫持 abduction
劫持 hijack
劫持 hijacking
誓 vow
誓 oath
基座 pedestal
損壞 corrupted
損壞 damaged
損壞 damage
損壞 damages
專長 niche
專長 speciality
專長 specialty
專長 specialties
專長 expertise
羅素 russell
基底 substrate
基底 basement
骨架 skeleton
骨架 framing
更正 corrections
更正 correction
特種部隊 swat
音速 sonic
叻 lat
照射 exposures
密西西比州 mississippi
標語 slogans
標語 slogan
摩天大樓 skyscraper
摩天大樓 skyscrapers
雙邊 bilaterally
雙邊 bilateral
迷失 lost
警務 policing
警務 police
仙女座 andromedae
仙女座 andromeda
橘子 orange
橘子 oranges
川口 kawaguchi
死亡率 mortality
歌聲 singing
散射 scattering
散射 scatter
症候群 syndrome
布加勒斯特 bucharest
污水 effluents
污水 effluent
污水 sewage
污水 sewerage
存款 deposit
存款 deposits
獨裁 autocracy
獨裁 dictatorship
獨裁 dictatorial
朝倉 asakura
宮廷 palace
想象 imagination
想象 imagine
祈禱 pray
祈禱 prayer
祈禱 praying
祈禱 prayers
相容 compatible
相容 compatibility
廚師 chef
廚師 cook
天王星 uranus
王冠 crown
王冠 crowns
營養 nutrition
營養 nourishment
營養 nutritional
營養 nutrients
愛媛 ehime
凝聚 cohesion
橡膠 rubber
教義 teachings
教義 creed
教義 doctrine
扳機 trigger
探險 expeditions
探險 adventure
探險 expedition
區塊 blocks
區塊 block
招牌 signboard
招牌 signboards
亞熱帶 subtropical
地道 tunnel
地道 tunnels
所羅門 solomon
腕 wrist
附上 attach
附上 enclosed
架次 sorties
機長 captain
聲援 solidarity
核子 nuclear
殘餘 remnant
莖 stem
雨林 rainforests
雨林 rainforest
廢棄 abandonment
廢棄 abandoned
檢視 viewing
檢視 view
學說 doctrines
學說 doctrine
大提琴 cello
加熱 heat
加熱 heating
加熱 heated
還原 restore
還原 revert
暴風 storm
巴頓 patton
華沙 warsaw
誘惑 seduction
誘惑 temptation
掃描 scanning
掃描 scans
掃描 scan
法典 codex
壺 pot
壺 kettle
壺 pots
壺 jug
電報 telegram
電報 telegraph
蒸 steaming
蒸 steamed
升降機 lifts
升降機 elevator
機密 confidential
城牆 walls
芭蕾舞 ballet
諾曼 norman
環礁 atoll
散布 scatter
斐濟 fiji
潛在 potential
呼叫 call
呼叫 calling
硝酸 nitrate
嵌入 embedded
嵌入 embedding
出血 bleeding
出血 bleed
烤 bake
烤 roast
口腔 mouth
口腔 oral
港灣 harbor
港灣 harbours
港灣 harbour
時鐘 clocks
時鐘 clock
牽引 traction
滑翔 gliding
滑翔 glide
論點 arguments
論點 argument
菊池 kikuchi
左邊 left
勇氣 courage
喵 meow
天線 antennae
天線 antenna
絕望 despair
絕望 desperate
絕望 desperation
摩納哥 monaco
格言 motto
格言 maxim
腐 rot
甘肅 gansu
伏特 volt
敵對 hostility
敵對 hostile
卡賓槍 carbine
出處 origin
出處 provenance
電磁 electromagnetic
瘋 crazy
金子 gold
贏 win
開除 dismissal
災害 disasters
災害 disaster
持久 durable
持久 enduring
持久 lasting
永久性 permanence
字元 character
字元 characters
晚餐 dinner
晚餐 supper
豆腐 tofu
捐助 donations
山茶 camellia
濕地 wetlands
濕地 wetland
獵物 prey
東正教 orthodoxy
東正教 orthodox
燕子 swallow
燕子 swallows
鄰居 neighbors
鄰居 neighbours
鄰居 neighbor
會計師 accountants
會計師 accountant
橢圓 oval
橢圓 ellipse
橢圓 elliptical
追逐 pursuit
追逐 chase
君士坦丁 constantine
美式足球 football
天然氣 gas
方塊 cubes
方塊 cube
方塊 square
方塊 squares
均衡 balanced
均衡 balance
均衡 balancing
均衡 equalizing
均衡 equilibrium
掃 sweeping
掃 sweep
叢林 jungle
慶典 celebration
藏文 tibetan
色素 pigment
宣教 dawa
膝 knee
膝 knees
保管 safekeeping
保管 custody
院系 faculties
湖畔 lakeside
省長 prefect
省長 governor
上官 shangguan
粗糙 rough
粗糙 coarse
激情 passionate
激情 passion
擦音 fricative
珍貴 precious
導引 homing
河床 riverbed
嚴厲 harsh
門票 tickets
門票 ticket
長春 changchun
通航 navigable
毒素 toxin
毒素 toxins
轎車 sedan
轎車 limousine
轎車 limo
俄亥俄 ohio
獅子座 leo
經濟學家 economist
經濟學家 economists
夔 kui
輸送 conveyor
約瑟 joseph
愛心 caring
約旦 jordan
赦免 pardons
性行為 sexuality
性行為 sex
地下室 basement
昨天 yesterday
兄妹 siblings
應對 coping
佛法 dharma
詳情 detail
詳情 details
詳情 particulars
生殖 reproductive
生殖 reproduction
生殖 procreation
十個 ten
金石 lazuli
交配 mate
交配 mating
小川 ogawa
冰球 hockey
投射 projection
漢城 seoul
藥用 medicinal
酸性 acidic
酸性 acid
酸性 acidity
展望 foresight
展望 outlook
展望 vision
多明尼加 dominican
週年紀念 anniversary
世系 lineage
世系 descent
猴子 monkey
抬 lift
可信 credible
歐文 owen
歐文 irving
俄文 russian
基層 grassroots
揭示 revealing
揭示 reveal
揭示 reveals
反駁 rebuttal
反駁 rebut
反駁 refute
抨擊 bashing
前景 prospect
前景 foreground
前景 prospects
妄想 paranoid
妄想 delusion
妄想 paranoia
妄想 delusional
成年人 adult
成年人 adults
冬青 holly
空前 unprecedented
大炮 cannon
大炮 artillery
明智 wise
抽籤 draw
椅 chairs
椅 chair
聖人 saints
聖人 saint
阿瑟 arthur
捕獲 capture
捕獲 capturing
捕獲 captures
聽眾 listener
聽眾 listeners
蒜 garlic
居所 residence
優點 merits
優點 advantages
優點 advantage
思維 thinking
計程車 taxi
布魯塞爾 brussels
歸還 restitution
失業 unemployed
失業 unemployment
砷 arsenic
野生動物 wildlife
天花 smallpox
水路 waterway
水路 waterways
昂貴 expensive
大麻 cannabis
大麻 marijuana
大麻 weed
安康 ankang
可疑 suspicious
小丑 joker
小丑 clown
抗生素 antibiotics
抗生素 antibiotic
駐紮 stationing
專營 franchises
專營 franchise
關島 guam
字面 literal
紛爭 strife
自轉 rotation
大通 chase
怪人 weirdo
破碎 broken
破碎 shattered
語氣 tone
老年 older
隔離 isolation
隔離 quarantine
隔離 segregation
隔離 isolated
砸 smash
砸 smashing
生病 ill
生病 sick
中位數 median
摔跤 wrestle
摔跤 wrestling
高爾夫球 golf
證書 certificates
證書 certificate
濟南 jinan
山脊 ridge
惡作劇 mischief
惡作劇 prank
佈局 layouts
佈局 layout
日產 nissan
拳擊 boxing
青蛙 frogs
青蛙 frog
面板 panel
高效 efficient
高效 efficiently
探險家 explorer
探險家 explorers
拖延 delay
拖延 delays
拖延 procrastination
伴隨 accompany
伴隨 accompanying
骨灰 ashes
安息 rip
預留 reserved
震撼 shook
柿 persimmon
搶救 salvage
商家 merchant
商家 merchants
執照 licences
執照 licenses
執照 licence
執照 license
煩惱 troubles
煩惱 annoyed
鮑威爾 powell
脊椎動物 vertebrates
混合物 mixture
混合物 mixtures
粉紅色 pink
軍營 barracks
先例 precedent
先例 precedents
頸部 neck
脆弱 fragile
脆弱 vulnerable
定制 customize
定制 customized
定制 customization
定制 custom
火花 sparks
火花 sparkles
火花 spark
脈衝 pulses
脈衝 pulse
莽 mang
電器 appliance
電器 appliances
客房 rooms
協和 concord
伸展 stretch
餐飲 dining
餐飲 catering
亞馬遜 amazon
微弱 faint
眼淚 tear
眼淚 tears
特赦 amnesty
電影院 cinemas
電影院 theater
電影院 cinema
休假 leave
海牙 hague
口音 accent
領導者 leader
領導者 leaders
言語 words
肢 limb
肢 limbs
王座 throne
拆解 dismantling
綏 tuy
容忍 toleration
容忍 tolerance
容忍 tolerated
四重奏 quartet
州際公路 interstate
核糖 ribose
偏好 preference
偏好 preferred
偏好 preferences
糖果 sweets
糖果 candy
山寨 cottage
擾動 perturbed
擾動 disturbance
擾動 disturbances
利潤 profit
利潤 profitability
利潤 profits
範例 paradigm
範例 examples
範例 example
弊 cons
施政 governance
切換 toggle
切換 switch
切換 switching
琮 cong
瘟疫 pestilence
瘟疫 plague
蚜 aphid
公關 pr
公關 publicist
