ζωρζ	georges
εξεγέρσεις	uprisings
αεροπλάνα	airplanes
αεροπλάνα	aeroplanes
αεροπλάνα	planes
αλκοόλ	alcohol
τόνο	tuna
τόνο	tone
κατάχρηση	misuse
κατάχρηση	embezzlement
κατάχρηση	abuse
ρίτσι	ritchie
ρίτσι	richie
ρίτσι	ricci
κυβερνών	ruling
χώμα	soil
χώμα	dirt
στρατιώτη	soldier
στρατιώτη	trooper
άλεξ	alex
στενός	narrow
μαχητές	combatants
μαχητές	warriors
μαχητές	fighters
μαχητές	militants
παπαϊωάννου	papaioannou
αποκτήθηκε	acquired
κολοκοτρώνης	kolokotronis
υγιεινής	hygiene
ευκαιρίες	opportunities
μοντάζ	montage
μοντάζ	editing
μηχανικοί	mechanics
μηχανικοί	engineers
λατ	lat
ενέκρινε	approved
ενέκρινε	adopted
μασσαλία	marseille
μασσαλία	marseilles
πλημμύρες	floods
πλημμύρες	flooding
αλλα	other
αλλα	but
σθένος	vigor
σθένος	fortitude
διαβήτη	diabetes
ασημένια	silver
όπερες	operas
νικολά	nicolas
συνήθεια	custom
συνήθεια	habit
τσάρου	czar
κατάρτιση	training
λαογραφία	folklore
κυβερνείο	governorate
μεταξάς	metaxas
κάι	kai
απολύθηκε	fired
χιούμορ	humor
χιούμορ	humour
ανακάλυψαν	discovered
αγαπημένο	favourite
αγαπημένο	favorite
ρομπέρτο	roberto
πάτρικ	patrick
πρόβλεψη	forecasting
πρόβλεψη	prediction
πρόβλεψη	forecast
αποδεικνύει	proves
κούπερ	cooper
ρούμπενς	rubens
τάφους	tombs
τάφους	graves
συγγενής	relative
αίγινα	aegina
απόκλιση	deviation
απόκλιση	divergence
γιοι	sons
κατοικείται	inhabited
ντιν	dean
διαστημόπλοιο	spacecraft
διαστημόπλοιο	spaceship
νιλ	neil
νιλ	neal
διορθώσεις	corrections
διορθώσεις	fixes
διορθώσεις	edits
πρόδρομος	precursor
πρόδρομος	forerunner
παπαδημητρίου	papadimitriou
μαρόκου	morocco
ιού	virus
φόρμα	form
φόρμα	jumpsuit
διαφορών	disputes
έζησαν	lived
αδάμ	adam
έλλη	ellie
έλλη	elli
μιανμάρ	myanmar
προσφέρεται	offered
κλειστή	closed
γράφημα	graph
γράφημα	chart
εκτόξευση	launching
εκτόξευση	launch
ταϊλάνδη	thailand
καπνού	tobacco
ρόδος	rhodes
φάρμακο	medicine
φάρμακο	drug
εκτελέσει	perform
εκτελέσει	execute
αιχμάλωτοι	captives
αιχμάλωτοι	prisoners
χάμιλτον	hamilton
όμηρο	hostage
γυαλί	glass
κάτοικος	resident
κάτοικος	inhabitant
ουδέτερη	neutral
ευγενής	nobleman
ευγενής	noble
τιμόρ	timor
ορυχεία	mining
ορυχεία	mines
παράθεση	juxtaposition
παράθεση	quote
παράθεση	citation
παράθεση	quotation
εξόρυξη	extraction
εξόρυξη	mining
ράιτ	wright
βόμβες	bombs
κλασσική	classical
πόντοι	points
πράκτορας	agent
επίδειξη	demonstration
επιδημία	epidemic
επιδημία	outbreak
πρωσία	prussia
πρεσβευτής	ambassador
σέρρες	serres
φόνο	murder
συχνότητες	frequencies
αμφιβολία	doubt
ανταγωνισμού	competition
μπενίν	benin
μέλισσα	bumblebee
μέλισσα	bee
ποικίλλει	varies
πορτογαλική	portuguese
στέφαν	stefan
στέφαν	stephan
ινδονησίας	indonesian
ινδονησίας	indonesia
κινηματογράφους	cinemas
αντεπίθεση	counterattack
βλάβες	lesions
κάμπελ	campbell
γλωσσολογία	linguistics
χρονος	time
λουίζα	louisa
λουίζα	luisa
μοτίβο	pattern
ισοτιμία	parity
ισοτιμία	equivalence
κατηγοριοποίηση	categorisation
μεταφραστής	translator
σουηδικά	swedish
παν	pan
πες	say
πες	tell
θάλασσες	seas
προγραμματισμός	scheduling
προγραμματισμός	planning
προγραμματισμός	programming
προγραμματισμός	schedule
έβερτον	everton
ευτυχώς	fortunately
ευτυχώς	luckily
κάρτερ	carter
αρένα	arena
μπιν	bin
μπιν	bean
κίνητρα	motivation
κίνητρα	incentives
κίνητρα	incentive
κίνητρα	motives
δεσμοί	ties
δεσμοί	links
δεσμοί	bonds
δαχτυλίδι	ring
ολοκληρωμένο	integrated
νύχτες	nights
ανακωχή	truce
ανακωχή	armistice
δέσποινα	despina
ψηφιακά	digital
νέλσον	nelson
διαλύματα	solutions
ανιψιός	nephew
κλήση	call
κλήση	calling
πρόνοιας	welfare
έπαυλη	mansion
παντρεμένη	married
ενδοχώρα	inland
ενδοχώρα	hinterland
ενδοχώρα	mainland
ουίλιαμς	williams
χιόνι	snow
μοναχούς	monks
τοπωνύμιο	toponym
αυστριακοί	austrians
ανατομία	anatomy
λευτέρης	lefteris
σχεδιασμένο	designed
σχεδιασμένο	planned
δαπάνες	expenditure
μπαχρέιν	bahrain
γένη	genera
δίδασκε	taught
έτοιμος	ready
συνεχόμενα	continuously
εξασφαλίζει	ensures
επικίνδυνο	dangerous
επικίνδυνο	hazardous
υπέφερε	suffered
επιπλοκές	complication
επιπλοκές	complications
δρομολόγια	routes
δρομολόγια	itineraries
ντεπορτίβο	deportivo
όρκο	vow
όρκο	oath
προειδοποίηση	warning
λύρα	lyra
έβδομο	seventh
νοημοσύνη	intelligence
νοημοσύνη	intellect
ανησυχία	restlessness
ανησυχία	concern
ιστούς	webs
ιστούς	tissues
ξύλινο	wooden
επιλέγει	selects
επιλέγει	chooses
οκλαχόμα	oklahoma
πάχος	thickness
θάρρος	courage
ενεργός	active
αδύνατη	impossible
αερολιμένας	airport
προσάρτηση	annexation
δεσμός	affair
δεσμός	bonding
δεσμός	link
δεσμός	bond
σεξ	sex
περιοδείες	tours
άλφα	alpha
άλφα	alfa
εχθρός	enemy
εχθρός	foe
νεολιθική	neolithic
γκαμπόν	gabon
γκαμπόν	gabonese
πρόοδος	progress
συγγνώμη	sorry
λογοκρισία	uncensored
λογοκρισία	censorship
μικτή	mixed
οφέλη	benefits
ημι	semi
εξετάζει	examines
μελά	mela
γκόγια	goya
σοφοκλή	sophocles
κανονισμούς	regulations
κέντρων	centres
αναστολή	suspend
αναστολή	suspension
αναστολή	inhibition
αναστολή	suspended
ομιλίες	speeches
διέκοψε	interrupted
συνεργάτη	partner
αμυντική	defensive
κίνητρο	motive
κίνητρο	motivation
κίνητρο	incentive
χάρολντ	harold
απέδωσε	attributed
βουδαπέστη	budapest
ανταρκτική	antarctic
ανταρκτική	antarctica
αλάτι	salt
ορλεάνης	orleans
σιτάρι	wheat
ράλλη	ralli
άστρο	astro
διάσωση	rescue
πινακίδες	plates
πινακίδες	signs
γκλεν	glen
γκλεν	glenn
μονάρχης	monarch
δούλευε	worked
μελωδία	melody
μελωδία	tune
μυστήριο	mystery
μάνα	mother
τοιχογραφία	fresco
τοιχογραφία	mural
γλωσσική	linguistic
διαδοχικές	successive
τιμά	honours
ουρανός	sky
ουρανός	skies
μειώσει	reduce
μόλυνση	pollution
μόλυνση	infection
μόλυνση	contamination
δημοσιότητα	publicity
ιατρικό	medical
προθέσεις	intentions
μπουρούντι	burundi
ταυτόχρονη	concurrent
ταυτόχρονη	simultaneous
λιθίου	lithium
τυχαίο	randomness
τυχαίο	random
τυχαίο	accidental
πολιτισμούς	cultures
λεωνίδα	leonidas
μαλάουι	malawi
επιθετική	aggressive
σιδηροδρόμων	railway
σιδηροδρόμων	railways
άχρωμο	colourless
αφρικανική	african
σπουδαιότητα	importance
παρατηρητές	observers
παρατηρητές	watchers
κέλυφος	shell
μπάρτον	burton
μπάρτον	barton
έντι	eddie
έντι	eddy
τραπεζούντας	trebizond
μπουρκίνα	burkina
φάσο	faso
πορτρέτα	portraits
κάρτες	cards
πληρώσει	pay
ελίτ	elite
μύτη	nose
έπαθλο	prize
ναυτικός	seaman
ναυτικός	sailor
ναυτικός	nautical
ναυτικός	seafarer
ναυτικός	mariner
τζέρσεϊ	jersey
ιερή	sacred
απολιθώματα	fossils
βασιλεύς	king
μις	miss
μορφοποίησης	formatting
ουράς	tail
ιός	virus
ενώνει	unites
ενώνει	joins
μαχητικό	fighter
επίπεδη	flat
όντα	beings
γιατρό	doctor
πάμπλο	pablo
ανδρόνικος	andronikos
σαντ	sand
σαντ	sant
σαντ	shad
τοπικός	local
προτιμούν	prefer
προκλήθηκε	caused
βίαια	violently
βίαια	violent
επηρεάζεται	influenced
επηρεάζεται	affected
ξενοδοχεία	hotels
συγκριτικά	comparative
συγκριτικά	comparatively
πρώιμο	premature
αποθήκη	warehouse
αποθήκη	storage
εντέρου	bowel
νιγηρίας	nigerian
νιγηρίας	nigeria
λάζαρος	lazarus
ζωές	lives
σημάδι	sign
μοριακό	molecular
ψήφισμα	resolution
υπουργών	ministers
συνταγματαρχών	colonels
αποφευχθεί	avoid
αποφευχθεί	avoided
βρύση	faucet
βρύση	tap
ενδιαφέρεται	interested
ώθηση	thrust
ώθηση	boost
εξασφαλίζοντας	ensuring
λας	las
βικτώρια	victoria
λευκορωσία	belarus
πλέγμα	mesh
πλέγμα	grid
λένινγκραντ	leningrad
ντιέγκο	diego
κατοικεί	resides
κομοτηνή	komotini
απεικονίζονται	depicted
μάνη	mani
πρώτον	first
δημοσιογραφία	journalism
ρυθμίσεις	arrangements
ρυθμίσεις	configuration
ρυθμίσεις	settings
δένδρα	trees
δεκτός	accepted
συντρόφους	companions
κολύμβηση	bathing
κολύμβηση	swimming
υπερβαίνει	exceeds
ανέβηκαν	uploaded
καλοκαίρια	summers
δουλεία	slavery
δουλεία	bondage
αναλύσεις	analyses
νηπιαγωγείο	kindergarten
νηπιαγωγείο	preschool
χρέος	debt
μειωμένη	diminished
μειωμένη	decreased
μειωμένη	reduced
πιτ	pete
υπεύθυνοι	responsible
κηφισιάς	kifissia
μαρούσι	maroussi
βαυαρία	bavarian
βαυαρία	bavaria
εγκαταλείπει	abandons
νεκρή	dead
σεβίλλη	sevilla
σεβίλλη	seville
άσυλο	asylum
κέρδος	profit
κέρδος	gain
σιέρα	sierra
πολωνός	polish
θησαυρός	treasure
θησαυρός	thesaurus
χάος	chaos
κλαδιά	twigs
κλαδιά	branches
λεπτή	slender
λεπτή	thin
λεπτή	delicate
σουηδός	swedish
σουηδός	swede
κερύνειας	kyrenia
υιοθέτηση	adoption
σινά	sinai
αυτιά	ears
ηγεμονία	hegemony
ηγεμονία	dominion
κατάρ	qatar
ευρεσιτεχνίας	patent
απόσπαση	secondment
απόσπαση	posting
μαλαισία	malaysia
μηχανήματα	machinery
μηχανήματα	machines
πληροφορική	informatics
ερμηνεύει	interprets
ποντίκι	mouse
μίλερ	miller
μίλερ	muller
πυκνό	concentrate
πυκνό	dense
ύφασμα	cloth
ύφασμα	fabric
συμβουλή	advice
συμβουλή	tip
σφάλματα	mistakes
σφάλματα	errors
σφάλματα	bugs
καραμανλής	karamanlis
συντελεστή	coefficient
προσευχή	prayer
άνταμς	adams
μεσημέρι	noon
μεσημέρι	lunchtime
μεσημέρι	midday
ήξερε	knew
θυγατρική	subsidiary
γεωργιάδης	georgiadis
διαφυγής	escape
ρομπ	rob
νευρικό	nervous
σουηδική	swedish
τρένο	train
αιθιοπίας	ethiopian
κιριμπάτι	kiribati
στυλιανός	stylianos
βολιβία	bolivia
κύκλοι	circles
κύκλοι	cycles
μεσαίο	middle
μεσαίο	medium
κάμερον	cameron
θεώρηση	visas
θεώρηση	visa
φόβος	fear
κολωνία	cologne
βαθμίδα	tier
κατασκευαστές	makers
κατασκευαστές	manufacturers
προωθεί	promotes
περίχωρα	outskirts
τροχιές	trajectories
τροχιές	orbits
αρχικώς	initially
αρχικώς	originally
καζάν	kazan
σάββας	savvas
κατάθλιψη	depressed
κατάθλιψη	depression
φανερό	obvious
ουδετερότητα	neutrality
επιβάλει	impose
επιβάλει	enforce
λοιπά	other
άλεν	allen
αλεξέι	alexei
βλαχίας	wallachia
όραση	eyesight
όραση	vision
παρατηρητή	observer
βαρβάρα	varvara
εκδηλώθηκε	manifested
χρήστο	christo
σκληρός	cruel
σκληρός	hard
σκληρός	tough
διπλωμάτες	diplomats
αφαίρεσης	takedown
νάνος	midget
νάνος	dwarf
όποιο	whichever
πρωταγωνιστεί	starring
κατανοητό	understood
κατανοητό	understandable
κλάδοι	branches
κλάδοι	sectors
αλβανική	albanian
αναγκαίο	necessary
προαγωγή	promotion
επιβίωση	survive
επιβίωση	survival
ερυθρά	rubella
γιορκ	york
λιλ	lil
λιλ	lille
εξαιρετικό	excellent
εξαιρετικό	exquisite
αισθήματα	emotions
αισθήματα	feelings
εκδότες	publishers
εκδότες	editors
εκδότες	issuers
ομάν	oman
πρόσθεση	addition
πρόσθεση	adding
φίλτρο	filter
φίλτρο	potion
ηγούμενος	prior
ηγούμενος	abbot
ομπάμα	obama
καγκελάριος	chancellor
προσέλαβε	hired
καραϊβική	caribbean
μεταμόρφωση	metamorphosis
μεταμόρφωση	transformation
μεταμόρφωση	transform
θεμελιώδη	fundamental
κίεβο	kiev
πραγματοποίηση	realization
συμβάν	incident
συμβάν	event
βρείτε	find
διαμαρτυρίες	protests
ανεγέρθηκε	erected
δίωξη	persecution
δίωξη	dea
δίωξη	prosecution
κλασικά	classics
κλασικά	classical
κλασικά	classic
δυναμικά	dynamically
δυναμικά	dynamic
ήθη	morals
άντι	andie
άντι	andi
άντι	andy
άντι	addy
τεχνικός	technician
χτύπησε	hit
τέρας	beast
τέρας	monster
κατακτητές	conquerors
οπαδός	follower
μεμβράνη	film
μεμβράνη	membrane
εισιτήριο	ticket
βεβαιότητα	certainty
παράλληλες	parallel
αλφαβητική	alphabetical
αποκαλύπτεται	reveals
αποκαλύπτεται	revealed
πέταξε	fly
πέταξε	flew
αριζόνα	arizona
τίτο	tito
αύριο	tomorrow
αιγύπτιοι	egyptians
λίνκολν	lincoln
ιόντων	ion
σίνα	sheena
μεταφέρονται	transported
συντελεστής	coefficient
συντελεστής	rate
συντελεστής	factor
μισά	halves
μισά	half
κληρικός	cleric
κληρικός	clergyman
διευθύνσεις	addresses
διευθύνσεις	directorates
επιβεβαιώθηκε	confirmed
παλέρμο	palermo
ρητορική	rhetoric
ρητορική	rhetorical
επιδαύρου	epidaurus
ποταμούς	rivers
διαφορική	differential
πρύτανης	rector
εβραϊκό	jewish
εβραϊκό	hebrew
δημιουργό	creator
θάνος	thanos
φόρους	taxes
ακριβείς	precise
ακριβείς	accurate
ευγενή	noble
δίδυμο	duo
δίδυμο	twin
ουάσιγκτον	washington
πατέρες	fathers
γαλάζιο	blue
γαλάζιο	azure
οικολογία	ecology
πτώμα	body
πτώμα	corpse
ερωμένη	mistress
ερωμένη	lover
διασπορά	dispersion
διασπορά	variance
διασπορά	dispersal
διασπορά	dissemination
τήνου	tinos
καύση	burn
καύση	combustion
καύση	burning
καύση	incineration
λετονίας	latvia
υπόγειο	underground
υπόγειο	basement
ποινές	penalties
ποινές	sentences
αντίστροφο	inverse
αντίστροφο	reverse
ίντερνετ	internet
παρέχοντας	providing
πεκίνο	beijing
πεκίνο	peking
ανοίγματα	openings
ανοίγματα	exposures
κρύο	cold
ψηφοφόροι	voters
διάλογος	dialogue
διάλογος	dialog
αντάντ	adad
φορώντας	wearing
τατζικιστάν	tajikistan
εδα	dyp
σάιμον	simon
ύπαιθρο	countryside
χαλκό	copper
ουρουγουάης	uruguay
χαρακτηρισμός	designation
χαρακτηρισμός	characterization
χαρακτηρισμός	characterisation
τρύπες	holes
άμμο	sand
αποθήκες	warehouses
πλάσμα	plasma
πλάσμα	creature
κλειδιά	keys
ισλαμικό	islamic
δικαστής	judge
δικαστής	magistrate
φρούρια	fortresses
φρούρια	forts
δυνατά	loud
μήκη	lengths
τοπολογία	topology
πολωνοί	polish
πολωνοί	poles
πράσινοι	greens
τερματίζει	terminates
άξονες	axles
άξονες	axes
αυτοκινητόδρομος	motorway
αυτοκινητόδρομος	freeway
