indikerer	indicates
augustus	augustus
iau	iau
forestilling	spectacle
specialiseret	specialised
specialiseret	specialized
voice	voice
cameron	cameron
holberg	holberg
bjerre	bjerre
fastholdt	maintained
fastholdt	restrained
badminton	badminton
størrelser	sizes
øre	ear
øre	ears
walt	walt
katalog	catalogue
katalog	catalog
shakespeare	shakespeare
hudson	hudson
schwerin	schwerin
rapporterede	reported
løvfældende	deciduous
studentereksamen	baccalaureate
susan	susan
elben	elbe
karsten	karsten
triple	triple
klassificeret	classified
sædvanlige	usual
produktet	product
currentclub	currentclub
taber	loser
taber	lose
broadway	broadway
armenien	armenian
armenien	armenia
tropiske	tropical
hand	hand
indstilling	option
indstilling	attitude
indstilling	setting
indstilling	configuration
lød	sounded
taastrup	taastrup
munch	munch
busk	busk
busk	bush
busk	shrub
rapporter	report
rapporter	reports
kompleks	complex
lauritz	lauritz
jespersen	jespersen
fænomener	phenomena
koncept	concept
wallace	wallace
redigere	edit
glenn	glenn
eksport	exports
eksport	export
eksport	exporting
lært	learned
lært	taught
lært	learnt
elite	elite
jakobsen	jakobsen
nedsatte	reduced
spurgte	asked
kørsel	driving
ment	meant
jules	jules
symboliserer	symbolises
symboliserer	symbolizes
bloch	bloch
legendariske	legendary
memorial	memorial
udtrykker	expresses
udtrykker	expressing
polo	polo
frugter	fruit
frugter	fruits
bifloder	tributaries
tunesien	tunisia
tunesien	tunisian
hood	hood
forekomme	occur
tobias	tobias
indvandrere	migrants
indvandrere	immigrants
indvandrere	immigrant
arbejdspladser	jobs
arbejdspladser	workplaces
anklager	accusations
anklager	prosecutor
peters	peters
konsulent	consultant
konsulent	adviser
venezuela	venezuelan
venezuela	venezuela
skribent	writer
skribent	scribe
alexandria	alexandria
østergaard	østergaard
saturn	saturn
ride	riding
ride	ride
forklarede	explained
samtale	conversation
arrangement	arrangement
ridge	ridge
classic	classic
ritualer	rituals
ritualer	rites
ritualer	ritual
sekund	second
mændene	men
ambassade	embassy
statsborgerskab	nationality
statsborgerskab	citizenship
newcastle	newcastle
fyldte	stuffed
fyldte	filled
runder	laps
runder	rounds
støder	offends
ontario	ontario
åndelige	spiritual
panzer	panzer
tropperne	troops
fiktion	fiction
tibet	tibet
svendsen	svendsen
gottorp	gottorp
iversen	iversen
særskilt	separately
særskilt	separate
højdepunkt	highlight
højdepunkt	peak
varighed	duration
pseudonym	pseudonym
gemeinden	gemeinden
formodes	presumed
altertavle	altarpiece
kommunistisk	communist
sko	shoes
sko	shoe
lider	suffer
lider	suffers
bakken	hill
dyrke	cultivate
gengivet	reproduced
simpelt	simple
ikast	ikast
standarder	standards
opererer	operating
opererer	operates
dominerede	dominated
mælk	milk
færge	shuttle
færge	ferry
track	track
intelligens	intelligence
eastwood	eastwood
virus	virus
virus	viruses
marcel	marcel
leonard	leonard
halle	halle
birger	birger
seattle	seattle
mozart	mozart
adm	adm
korstog	crusade
korstog	crusades
evil	evil
dylan	dylan
vision	vision
slagmarken	battlefield
gæst	visitor
gæst	guest
statsborger	citizen
definerer	define
definerer	defining
definerer	defines
ugift	unmarried
brasilianske	brazilian
vestindien	caribbean
siddepladser	seating
idéer	ideas
zulu	zulu
begivenhederne	events
økonom	economist
beat	beat
gradvis	gradual
gradvis	gradually
gradvis	progressive
winter	winter
vinden	wind
gert	gert
peace	peace
ralph	ralph
mare	mare
percussion	percussion
matcher	matches
matcher	matching
matcher	match
medmindre	unless
novelle	novel
ejeren	owner
grethe	grethe
vedrører	concerns
tilbyde	offering
tilbyde	offer
fejlagtigt	wrongly
fejlagtigt	mistakenly
hope	hope
regelmæssigt	regularly
regelmæssigt	regular
rigdom	wealth
rigdom	richness
nævne	mention
renæssance	renaissance
finansieret	financed
finansieret	funded
akt	act
struensee	struensee
personale	personnel
personale	staff
kaster	throwing
kaster	casts
kaster	pitching
kaster	throws
halvkugle	hemisphere
halen	tail
theol	theol
happy	happy
ansøgning	application
ansøgning	applications
vagn	vagn
sangere	singers
command	command
joakim	joakim
joakim	scrooge
genopbygget	rebuilt
kammer	chamber
hemmelig	secret
følges	followed
bue	arc
bue	arch
bue	bow
christoph	christoph
værksted	garage
værksted	workshop
udtalelser	opinions
udtalelser	statements
simpsons	simpsons
simpsons	simpson
weekend	weekend
sætninger	phrases
sætninger	sentences
wta	wta
bryggeri	brewery
bryggeri	brewer
madison	madison
pulje	pooling
pulje	pool
sørger	grieve
sørger	mourning
sørger	mourn
sørger	provides
sørger	grieving
atlético	atlético
tilsyn	supervision
blom	blom
helium	helium
brugernavn	username
indtaget	taken
indtaget	intake
indtaget	ingested
indtaget	consumed
crash	crash
glimrende	excellent
besidder	possesses
besidder	possessor
besidder	possess
devil	devil
ungdoms	youth
søgning	search
søgning	searching
evolution	evolution
husene	houses
vidne	witness
ombord	onboard
ombord	aboard
seksuel	sexual
landede	landed
foretrak	preferred
beskeden	message
beskeden	modest
zar	tsar
zar	czar
lead	lead
krydsere	cruisers
vinderne	winners
montana	montana
brock	brock
falsk	false
falsk	fake
observeret	observed
nash	nash
pil	arrow
hald	hald
mhz	mhz
monarki	monarchy
moral	morale
moral	moral
moral	morals
moral	morality
gilbert	gilbert
sandsynlighed	likelihood
sandsynlighed	probability
håbede	hoping
håbede	hoped
dokumenteret	documented
dokumenteret	proven
kosovo	kosovo
nacional	nacional
afvikles	settled
strengt	strict
strengt	strictly
torino	torino
torino	turin
akustisk	acoustical
akustisk	acoustic
akustisk	audible
konference	conference
martha	martha
massive	massive
leveres	delivered
kyster	shores
kyster	coasts
kyster	coastlines
kyster	coast
frisk	fresh
stabil	stable
forbrug	consumption
germain	germain
seat	seat
eksperter	experts
tyndt	thin
tyndt	sparsely
anime	anime
sank	sunk
sank	sank
kær	cuddly
ask	ask
ask	ash
freja	freja
freja	freya
limited	limited
versionen	version
chefen	boss
murphy	murphy
diesel	diesel
tromsø	tromsø
brønshøj	brønshøj
analyser	analytics
analyser	analyses
analyser	analysis
faxe	fax
steget	risen
diamond	diamond
forårsagede	caused
detaljeret	detailed
bekendte	acquaintances
mærker	brands
mærker	marks
mærker	markings
mærker	tags
tråd	wire
tråd	thread
edge	edge
bopæl	residence
bopæl	domicile
jürgen	jürgen
jürgen	jurgen
læsere	readers
hjemkomst	homecoming
knight	knight
tilgængeligt	available
tilgængeligt	accessible
døren	door
tungt	heavy
viet	devoted
viet	viet
rode	rummage
bertel	bertel
smukt	beautiful
torpedoer	torpedoes
hugh	hugh
thorning	thorning
grundstoffer	elements
grundstoffer	elemental
ryg	back
ryg	smoke
forbød	forbade
faldende	falling
faldende	descending
faldende	declining
faldende	decreasing
niende	ninth
forstad	suburb
forstad	suburbs
mund	mouth
bryggeriet	brewery
huskes	remembered
ram	ram
hentede	fetched
uro	unrest
uro	anxiety
uro	agitation
tna	tna
due	dove
due	pigeon
justin	justin
quartal	quartal
trusler	threats
trusler	threat
lau	lau
willy	willy
gestapo	gestapo
eminem	eminem
andersson	andersson
coast	coast
fjernsyn	tv
fjernsyn	televisions
fjernsyn	television
ture	rides
ture	tours
ture	trips
ture	journeys
leon	leon
forstået	understood
forstået	understand
leonardo	leonardo
diskografi	discography
brygge	brew
brygge	brygge
opfandt	invented
tiende	tenth
denis	denis
logik	logic
latinsk	latin
forbliver	remains
forbliver	stays
miner	mines
event	event
kattegat	kattegat
ruiner	ruins
investeringer	investments
investeringer	investment
israelsk	israeli
israelsk	israel
organer	organs
organer	bodies
skåret	sliced
skåret	cut
skåret	shard
mindesmærke	memorialized
mindesmærke	memorial
lane	lane
komtesse	comtesse
producenter	producers
producenter	manufacturers
tottenham	tottenham
suðuroy	suðuroy
fødslen	birth
koncerten	concert
tusindvis	thousands
fjernede	removed
ægypten	egypt
ulykker	accidents
ulykker	accident
pete	pete
privilegier	privileges
nicholas	nicholas
mann	mann
beograd	belgrade
omgivende	surrounding
omgivende	ambient
canal	canal
ost	cheese
ost	cheeses
vegetation	vegetation
værre	worse
renoveret	redone
renoveret	refurbished
renoveret	renovated
hulk	hulk
legenden	legend
playoff	playoff
interviews	interviews
troen	faith
troen	belief
add	add
lara	lara
hyldest	tribute
hyldest	homage
overveje	contemplate
overveje	ponder
overveje	consider
lettisk	latvian
svækket	impaired
svækket	weakening
svækket	weakened
svækket	attenuated
est	est
mønstre	patterns
mønstre	designs
arkiver	archives
bekostning	expense
udgår	deleted
kierkegaard	kierkegaard
vægten	weight
åbnes	opens
piper	piper
palads	palace
banner	banner
opdagelse	discovery
botaniske	botanical
diskuteres	debatable
helen	helen
toppede	peaked
faser	phases
faser	stages
balance	balance
holmen	holmen
uffe	uffe
hogwarts	hogwarts
españa	españa
child	child
krim	crimea
krim	crimean
misbrug	misuse
misbrug	abuse
misbrug	abuses
kulturelt	cultural
kulturelt	culturally
savage	savage
sub	sub
fastsat	fixed
styring	governance
sultan	sultan
hercegovina	herzegovina
asfalt	asphalt
foretrukne	preferred
amerikaner	american
mandskab	manpower
mandskab	crew
bølger	waves
krigsfanger	pows
erkendelse	recognizing
erkendelse	recognition
erkendelse	realization
abel	abel
peer	peer
helsingfors	helsinki
siddet	sat
vindende	winning
cirkel	circle
six	six
adrian	adrian
svalbard	svalbard
adelsmand	nobleman
brooklyn	brooklyn
discovery	discovery
lukas	luke
lukas	lukas
avenue	avenue
kælenavn	nickname
kid	kid
spencer	spencer
berømmelse	fame
kontakter	contacts
born	born
alter	altar
alter	shrine
alter	alter
alberto	alberto
invaderede	invaded
nansen	nansen
logisk	logical
logisk	logic
udgifter	costs
udgifter	expenditure
udgifter	expenses
udstedt	issued
philipp	philipp
erhvervet	acquired
biblioteker	libraries
betegnelser	indications
betegnelser	names
betegnelser	designations
betegnelser	descriptions
torsdag	thursday
gribe	seize
linket	link
velegnet	suitable
velegnet	suited
billigere	cheaper
himmel	heaven
himmel	sky
himmel	skies
wang	wang
ansvarlige	responsible
redskaber	gear
redskaber	gears
redskaber	tools
redskaber	nets
forhindrer	prevents
biograf	theater
biograf	cinema
blik	gaze
blik	eye
christie	christie
datterselskab	subsidiary
påstod	claimed
greg	greg
skilte	badges
skilte	signs
bestemmelse	provision
bestemmelse	determination
bestemmelse	clause
skønhed	beauty
roberts	roberts
brigader	brigades
unger	kids
unger	unger
unger	cubs
krat	scrub
discogs	discogs
udøvende	executive
comeback	comeback
comeback	comebacks
serbiske	serbian
koden	code
ferie	holiday
ferie	vacation
ferie	holidays
freedom	freedom
rex	rex
elektronik	electronics
cykel	bike
cykel	bicycle
indehaver	proprietor
indehaver	holder
botanisk	botanical
polens	poland
huden	skin
passager	passenger
passager	passages
pol	pol
burma	burma
eckersberg	eckersberg
fattigdom	poverty
slægtninge	relatives
tchad	chad
sammenbrud	breakdown
sammenbrud	crash
sammenbrud	collapse
facto	facto
konferencen	conference
udpegede	designated
standpunkt	standpoint
depression	depression
steffen	steffen
tænkte	thought
tænkte	thinking
gregorianske	gregorian
erklærer	declaring
erklærer	declare
erklærer	declares
slås	fighting
kold	cold
relevans	relevance
værft	shipyard
værft	yard
foreslå	propose
foreslå	suggest
hjemmesider	websites
forlangte	demanded
tjekkiske	czech
krisen	crisis
palæstinensiske	palestinian
kronet	crowned
flyveplads	airfield
flyveplads	aerodrome
wiener	wiener
wiener	vienna
colin	colin
graven	grave
efterretningstjeneste	intelligence
spd	spd
mongoliet	mongolia
interwiki	interwiki
udløste	triggered
syriske	syrian
matthias	matthias
moss	moss
anvendelser	applications
anvendelser	uses
renovering	renovation
