adresa	address
kat	floor
tamno	dark
miris	scent
miris	smell
miris	fragrance
potrošnje	spending
potrošnje	consumption
sadržavati	contain
zhao	zhao
dejan	dejan
bilje	plants
bilje	herbs
marino	marino
kombinacije	combinations
kombinacije	outfits
ricardo	ricardo
trake	tapes
dizel	diesel
chlaenius	chlaenius
garman	garman
bryant	bryant
stražnji	rear
tiskana	printed
fan	fan
očeve	fathers
rich	rich
dopuštenje	permission
simfonija	symphony
doseljenici	homesteaders
doseljenici	settlers
osudio	condemned
generatora	generators
fang	fang
specifične	specific
zanimanja	professions
zanimanja	occupations
molitva	praying
molitva	prayer
cohen	cohen
faktora	factors
pink	pink
doseljenika	settlers
amazonas	amazonas
wagner	wagner
kontinuirano	continuously
kontinuirano	continuous
molu	pier
vještica	witch
ham	ham
pirati	pirates
pretvoriti	convert
pojedinci	individuals
trst	trieste
jorge	jorge
stope	rates
stope	footsteps
biografski	biographical
izjava	statement
suprotnosti	opposites
sandra	sandra
jonathan	jonathan
hrabrost	courage
menadžer	manager
piramida	pyramid
piramida	pyramids
podjeli	partition
kapitala	capital
garcia	garcia
gonzález	gonzález
čvor	node
čvor	knot
bek	beck
bek	quarterback
musa	musa
eduard	eduard
odgovarajući	matching
udovica	widow
tumačenje	interpretation
podgorica	podgorica
harmonika	harmonica
harmonika	accordion
spora	spores
spora	spore
spora	dispute
trgovac	merchant
trgovac	trader
trgovac	dealer
poslovi	jobs
legendarni	legendary
klasificira	classifies
želeći	wanting
želeći	wishing
miljenko	miljenko
obveza	obligation
obveza	commitment
hooper	hooper
radovan	radovan
muell	muell
nebeska	heavenly
nebeska	celestial
rukopis	handwriting
rukopis	manuscript
postignut	reached
dostupne	available
ulaganja	investment
ulaganja	investments
sahranjen	buried
pregovori	negotiation
pregovori	negotiations
novčanice	bills
šteta	pity
hlađenja	cooling
lisica	fox
napetosti	tension
napetosti	tensions
najmanja	smallest
lazar	lazarus
lazar	lazar
litara	litres
litara	liters
litara	gallons
prepoznati	recognize
prepoznati	recognise
whitley	whitley
tvrtko	tvrtko
milorad	milorad
nezadovoljstvo	discontent
nezadovoljstvo	dissatisfaction
cestom	road
kubura	kubura
bazzania	bazzania
definirana	defined
nebeski	heavenly
okrunjen	crowned
dubravko	dubravko
udaljeno	distant
udaljeno	remote
fernández	fernández
izborni	electoral
izborni	elective
islanda	iceland
ctenus	ctenus
smanjen	reduced
evolucija	evolution
prijateljstvo	friendship
poletio	flew
ulmus	ulmus
francuza	frenchman
redovni	regulars
jose	jose
jose	josé
tehnološki	technologically
tehnološki	technological
blake	blake
neuspjeh	failure
savršeno	perfect
elvis	elvis
carska	imperial
vena	vein
skoplje	skopje
ram	ram
narode	folks
cao	cao
rukopisa	handwriting
rukopisa	manuscripts
rukopisa	manuscript
nedjelja	sunday
željka	zeljko
bjelokosti	ivory
doktorat	doctorate
doktorat	phd
churchill	churchill
psa	dog
frullania	frullania
vaše	your
felix	felix
koeficijent	coefficient
proslave	celebrations
ubijena	murdered
mlijeka	milk
motiva	motive
motiva	motives
porta	porta
snijeg	snow
ravna	flat
domovina	motherland
domovina	country
domovina	homeland
objavljivanje	publication
objavljivanje	posting
objavljivanje	publishing
nadvojvoda	archduke
atomi	atoms
bratstva	fraternities
bratstva	fraternity
bratstva	brotherhood
diktature	dictatorship
poštovanje	respect
nude	offering
jar	jar
obična	ordinary
imanje	estate
reich	reich
istarski	istrian
rama	rama
zatvara	closes
koda	koda
bilja	herbs
mons	mons
ferrari	ferrari
povod	occasion
siluriformes	siluriformes
reagira	reacts
reagira	responds
reagira	responsive
barnard	barnard
dokazuje	proves
goveda	cattle
argentinski	argentine
komunistički	communist
moskvu	moscow
stavi	put
obećao	promised
znajući	knowing
zaštićeni	protected
hughes	hughes
vidljive	visible
procese	processes
izbjegao	evaded
izbjegao	avoided
izbjegao	dodged
curtis	curtis
marx	marx
ujedinjeni	united
opcija	option
temeljni	fundamental
ovisnost	dependency
ovisnost	addiction
plinovi	gases
čuvanje	guarding
čuvanje	keeping
tunela	tunnels
dennis	dennis
arterija	artery
arterija	arteries
bor	bor
bor	pine
položio	laid
položio	passed
hendrix	hendrix
financija	finance
obljetnica	anniversary
lorenzo	lorenzo
apsolutno	absolutely
haliclona	haliclona
salvador	salvador
građanin	citizen
dario	dario
draba	draba
vjerovali	believed
vjerovali	trusted
zenica	zenica
radno	work
radno	working
mirage	mirage
preživjelih	survivors
opisana	described
okružuje	surrounds
okružuje	surrounding
bantu	bantu
zrakom	airborne
makarska	makarska
naučiti	learn
hebrejski	hebrew
albanija	albania
balada	ballad
srbe	serbs
wolfgang	wolfgang
aerodrom	airport
hort	hort
virovitica	virovitica
din	din
din	dean
slavenski	slavic
zastupnici	mps
zastupnici	deputies
zastupnici	lawmakers
atom	atom
mladu	bride
leopard	leopard
lijep	nice
pijesak	sand
armenski	armenian
konstantno	continuously
konstantno	constantly
konstantno	constant
vaš	your
castro	castro
#dddddd	#dddddd
raja	raja
raja	heaven
raja	paradise
manastira	monasteries
full	full
povećan	increased
prefektura	prefecture
opisati	describe
misu	mass
autonomna	autonomous
spremnik	tank
spremnik	container
efekti	effects
jeannel	jeannel
violinu	violin
violinu	fiddle
povjerenstvo	commission
atmosfera	atmosphere
pristaše	supporters
abraham	abraham
zvezda	star
ice	lce
ice	ice
atrakcija	attraction
atrakcija	attractions
izjave	statements
lipa	lip
litve	lithuania
liang	liang
staklo	glass
lang	lang
biskupi	bishops
negativno	negative
prestižnu	prestigious
milovan	milovan
biljni	herbal
zapošljava	employs
prince	prince
gov	gov
leća	lens
leća	lentils
leća	lenses
ponudi	offer
skladišta	warehouse
skladišta	warehouses
ikona	iconic
ikona	icon
pueblo	pueblo
velebit	velebit
main	main
magnitude	magnitude
usmjerena	directed
prikazivanje	showing
prikazivanje	displaying
zaključuje	concludes
pećina	cave
preci	ancestors
mehmed	mehmed
dres	jersey
voyager	voyager
ralph	ralph
lišće	leaves
mještani	locals
inspiriran	inspired
lubanja	skull
proze	prose
pokrenula	launched
sfr	sfr
mare	mare
projekcija	projection
isteka	expiration
dominik	dominic
dominik	dominik
bear	bear
kraći	shorter
primirje	truce
primirje	armistice
studiji	studios
obnavlja	restores
mitchell	mitchell
kljun	beak
jasenovac	jasenovac
neprijatelji	enemies
izložen	exposed
podjelu	partition
une	une
tan	tan
tmarus	tmarus
synodontis	synodontis
luna	luna
zvjezdana	starry
zvjezdana	stellar
zabrane	bans
fotograf	photographer
greben	reef
alen	allen
alen	alen
božice	goddesses
ain	ain
bože	god
make	make
mirjana	mirjana
ansambl	ensemble
edo	edo
divlji	wild
rijetka	rare
nichols	nichols
bon	bon
singer	singer
bački	bački
joan	joan
hardcore	hardcore
nila	nile
otpornost	resilience
spisateljica	writer
ten	tan
otpad	scrap
otpad	waste
intermedia	intermedia
spremni	ready
dvorište	courtyard
dvorište	backyard
dvorište	yard
pogreške	mistakes
pogreške	errors
lisa	lisa
uporište	stronghold
uporište	foothold
oslobodio	freed
mlečani	venetians
marsa	martian
marsa	mars
kemija	chemistry
groba	grave
siska	sisko
konjic	konjic
rossi	rossi
marketing	marketing
izložena	exposed
mlijeko	milk
označeni	tagged
znakove	signs
legije	legions
počast	tribute
tehničar	technician
gljiva	mushroom
perković	perković
generator	generator
peruu	peru
ispit	test
ispit	exam
tak	tak
poslužitelj	server
pomak	shift
pomak	offset
inicijativa	initiative
juz	juz
wien	wien
kreolski	creole
gubitaka	losses
jabuka	apple
oton	oton
bihać	bihać
pearl	pearl
božanstvo	deity
božanstvo	divinity
morris	morris
nastava	teaching
nastava	classes
nedavni	recent
vjerska	religious
baterije	battery
baterije	batteries
meksički	mexican
sicilije	sicily
speg	speg
ćelija	cell
shvati	understand
rothschild	rothschild
uvjerenja	beliefs
brojeve	numbers
pjevao	sang
krater	crater
vitamin	vitamin
aplikacija	application
aplikacija	app
torino	torino
igračke	toys
šupljine	cavity
šupljine	cavities
spašavanje	saving
spašavanje	rescue
wei	wei
stambene	residential
vrhova	peaks
glover	glover
čuda	miracles
čuda	wonders
catasetum	catasetum
dublje	deeper
opsada	siege
springs	springs
prodor	breakthrough
turista	tourist
turista	tourists
kampanja	campaign
obveze	obligations
obveze	commitments
obveze	obligation
puebla	puebla
mara	mara
odredište	destination
drvena	wooden
drvena	wood
pošta	mail
cska	cska
predavač	lecturer
fontana	fontana
fontana	fountain
fontana	fountains
sektora	sector
sektora	sectors
faust	faust
duke	duke
boban	boban
andreas	andreas
piramide	pyramid
piramide	pyramids
glad	famine
glad	hunger
zeleno	green
dick	dick
izbjeglice	refugees
senj	senj
spojena	merged
zastupljenost	representation
putanje	paths
izumio	invented
trogir	trogir
izvješća	reports
zabave	parties
varijacije	variations
varijacije	variation
sánchez	sánchez
siriji	syria
vrti	spinning
vrti	spins
khl	khl
napredovanje	advancement
sporedna	sideshow
postojeći	existing
standardna	standard
aluminija	aluminium
aluminija	aluminum
vozi	drive
donald	donald
naredbe	commands
naredbe	orders
umjetni	artificial
profesionalno	professional
profesionalno	professionally
okus	taste
okus	flavor
tropske	tropical
canis	canis
almanah	almanac
poplava	flood
poplava	flooding
poplava	floods
sergio	sergio
primjeni	apply
tramvaj	tram
tramvaj	trolley
tramvaj	streetcar
kraljevsko	royal
sim	slm
sim	sim
bosanskih	bosnian
leone	leone
leone	leon
probiti	penetrate
urb	urb
ukratko	briefly
ukratko	short
pjevala	sang
japansko	japanese
pečat	stamp
pečat	seal
ebert	ebert
prehrane	nutrition
natječaj	tender
natječaj	contest
esejist	essayist
violina	violin
maxim	maxim
jurica	jurica
počinio	committed
ulva	ulva
vidović	vidović
proteina	protein
odbacio	dismissed
lyon	lyon
jajce	jajce
osvajača	invaders
danilo	danilo
barcelone	barcelona
augustin	augustin
miles	miles
zrcala	mirrors
zaštitnika	patron
esej	essay
similis	similis
izbijanja	outbreak
postizanje	achieving
postizanje	reaching
argumentum	argumentum
konvencije	conventions
konvencije	convention
odražava	reflecting
odražava	reflects
iznutra	inside
grijeha	sin
karakterističan	distinctive
bratstvo	fraternity
bratstvo	brotherhood
dinara	dinar
dinara	dinars
pgp	pgp
vlakana	fibre
krzno	fur
satima	hours
vuka	wolf
pokrenuta	launched
deutsche	deutsche
glasine	rumour
glasine	rumors
glasine	rumor
glasine	rumours
radionica	workshop
vjenčanja	weddings
camp	camp
britaniju	britain
revoluciju	revolution
maribor	maribor
hampshire	hampshire
leptir	butterfly
prikazano	shown
prikazano	displayed
prikazano	featured
ubojice	killers
ubojice	murderers
ubojice	assassins
tvrdeći	arguing
tvrdeći	claiming
glasom	voice
suha	dry
komercijalno	commercially
bora	bora
nakai	nakai
hunt	hunt
uši	lice
uši	ears
bitaka	battles
graf	graph
graf	graf
potpora	support
baterija	battery
mita	bribes
fritz	fritz
acer	acer
poznavanje	knowledge
atlanta	atlanta
fallingrain	fallingrain
historia	historia
petru	petra
vjenčanje	wedding
kuge	plague
kurt	kurt
pomogli	helped
sul	sul
zahvalnosti	gratitude
gene	gene
bojan	bojan
ekološki	ecological
vice	vice
parovi	couples
uništavanje	destroying
uništavanje	destruction
cheiracanthium	cheiracanthium
horor	horror
linux	linux
dinko	dinko
faraon	pharaoh
zenit	zenith
liječnici	doctors
zamjene	replacements
susjeda	neighbour
susjeda	neighbor
ahmed	ahmed
tekuće	ongoing
tekuće	liquid
molio	prayed
molio	begged
preuzimanja	downloads
malus	malus
krsto	krsto
ograničeno	limited
ograničeno	restricted
testiranje	testing
dog	dog
definicije	definitions
definicije	definition
audi	audi
čitanja	readings
tokyo	tokyo
pronađe	finds
stavove	attitudes
besplatno	free
forest	forest
promatranje	observing
promatranje	observation
karen	karen
kukuruz	corn
posthumno	posthumous
posthumno	posthumously
chamberlain	chamberlain
trening	training
trening	practice
trening	workout
poduzetnik	entrepreneur
poljoprivredne	agricultural
grebena	reefs
catherine	catherine
studentima	students
spiraea	spiraea
pretpostavke	assumptions
anđeli	angels
jugozapadnoj	southwestern
pita	pie
pita	asks
prijetnje	threats
odobrio	approved
odobrio	authorized
snyder	snyder
dale	dale
pacijent	patient
snova	dreams
malta	malta
justin	justin
dostignuća	achievements
dostignuća	accomplishments
gradac	gradac
hoffman	hoffman
liber	liber
edgar	edgar
mučenika	martyrs
bašić	bašić
sesvete	sesvete
koraka	steps
japanci	japanese
ozbiljne	severe
austin	austin
iznimka	exception
okrenuo	turned
pogreška	mistake
pogreška	error
kriterij	criterion
kriterij	criteria
membrane	membranes
marijana	marijana
marijana	marianne
opseg	circumference
opseg	scope
pobjedio	won
povezivanje	connection
povezivanje	connect
povezivanje	connecting
ugljik	carbon
powell	powell
kontrolira	controls
slaba	weak
konji	horses
pristaje	fits
odobrenje	authorisation
odobrenje	approval
odobrenje	clearance
odobrenje	authorization
mostova	bridges
novinarka	journalist
novinarka	reporter
flora	flora
propast	doom
promatrati	observe
stilova	styles
hbo	hbo
opremljena	fitted
opremljena	equipped
izvanredno	extraordinary
izvanredno	outstanding
tvoj	your
tvoj	yours
velimir	velimir
seattle	seattle
catocala	catocala
planeti	planets
protokol	protocol
terra	terra
umjetna	artificial
svinja	pig
tesla	tesla
luigi	luigi
metro	metro
kamenje	stones
kamenje	rocks
operativne	operational
reinhold	reinhold
pumpe	pumps
vodoravno	horizontally
vodoravno	horizontal
neven	neven
vela	veil
vela	veils
vela	vela
golf	golf
sklonost	propensity
sklonost	inclination
sugerira	suggests
palazzo	palazzo
većinski	majority
optički	optical
optički	optic
napoleona	napoleon
ovaca	sheep
beck	beck
helen	helen
manga	mangoes
manga	mango
manga	manga
sigurnošću	certainty
organi	organs
kantona	cantons
kantona	canton
okupljanja	gatherings
okupljanja	reunions
branitelji	defenders
teritoriji	territory
sutra	tomorrow
kariba	caribbean
maroko	morocco
unutarnja	internal
zapovjednici	commanders
moguć	possible
građanima	citizens
jačanje	strengthening
jačanje	boost
trinidad	trinidad
alpe	alps
slučajevi	cases
springer	springer
jupitera	jupiter
gif	gif
namjerava	intends
sebastian	sebastian
novinari	press
novinari	journalists
novinari	reporters
plaže	beach
plaže	beaches
masters	masters
dekan	dean
shadab	shadab
sony	sony
privukao	attracted
zec	hare
zec	rabbit
šećer	sugar
punta	punta
hentschel	hentschel
sfera	sphere
profesionalna	professional
sex	sex
invazija	invasion
govornici	speakers
genocid	genocide
imenice	nouns
blackmore	blackmore
bare	pond
bare	ponds
preporod	revival
potaknuti	spur
plodovi	fruits
loša	bad
promjeru	diameter
laboratorij	laboratory
laboratorij	lab
rezidencija	residence
lange	lange
boca	boca
boca	bottle
minas	minas
košarka	basketball
tragedija	tragedy
bavarske	bavarian
nominaciju	nomination
acronicta	acronicta
specifična	specific
dokazano	proven
divlja	wild
iznenađenje	surprise
prikupljanje	collecting
prikupljanje	collection
greda	beam
greda	beams
ličnost	personality
božanstva	deity
božanstva	deities
elongata	elongata
kukuruza	corn
izričito	explicitly
drukčije	different
tribina	bleachers
tribina	grandstand
panorama	panorama
incident	incident
veleposlanik	ambassador
slovaci	slovaks
pijanist	pianist
okupio	assembled
christie	christie
bodovi	points
gume	tires
gume	tyres
turističko	tourist
upisana	inscribed
gps	gps
mjuzikl	musical
daj	give
tjedno	weekly
delaware	delaware
baca	throws
pitcairnia	pitcairnia
peck	peck
mauzolej	mausoleum
torpedo	torpedo
carvalho	carvalho
zavjet	covenant
zavjet	testament
zavjet	vow
dante	dante
poljaci	poles
englezi	englishmen
englezi	english
tragove	tracks
tragove	clues
vedran	vedran
salona	salon
hat	hat
klan	clan
križevci	križevci
ferula	ferula
stvori	create
venera	venus
bugojno	bugojno
razdvojba	disambiguation
gggg	yyyy
marić	maric
kopno	land
kopno	mainland
kopno	dryland
palma	palma
prelazak	crossing
publikacija	publications
provedena	conducted
provedena	implemented
postignuća	achievements
postignuća	accomplishments
voldemort	voldemort
posuda	vessel
dorcadion	dorcadion
planirao	planned
otrov	venom
otrov	poison
eksplozija	blast
eksplozija	explosion
berry	berry
poplave	floods
poplave	flooding
poplave	flood
stručno	expertly
ordo	ordo
alt	alt
urtica	urtica
gorski	gorski
pružiti	provide
dipl	dipl
irena	irena
irena	irene
poljoprivredu	agriculture
susjedi	neighbors
susjedi	neighbours
buna	buna
alkohol	alcohol
janković	jankovic
dora	dora
obiteljima	families
peto	peto
peto	fifth
mustafa	mustafa
kamp	camp
dojke	breast
komentara	comments
organizirano	organised
organizirano	organized
naglasiti	emphasise
naglasiti	emphasize
naglasiti	underline
kum	godfather
uvale	bays
uvale	coves
svjedok	witness
živo	lively
aranžman	arrangement
izlaže	exposes
brojke	figures
batman	batman
bacio	tossed
bacio	threw
dijalog	dialogue
dijalog	dialog
usvojen	adopted
rasti	grow
istraživao	investigated
istraživao	researched
koloniju	colony
pozitivan	positive
drevne	ancients
odluci	decision
apache	apache
prihvaćanje	accepting
prihvaćanje	acceptance
dob	age
podne	noon
poreč	poreč
kritizirao	criticized
kritizirao	criticised
tina	tina
debljina	thickness
dolar	dollar
paulie	paulie
sjene	shadows
sjene	shadow
staljin	stalin
pripovijetke	narratives
walckenaeria	walckenaeria
lopez	lopez
jimi	jimi
rtl	rtl
poteškoća	difficulty
disanje	breathing
disanje	respiration
ogroman	huge
ogroman	enormous
software	software
arabije	arabia
predsjedništvo	presidency
olga	olga
jede	eating
jede	eats
odgoja	nurture
gusto	thick
konga	conga
rekonstrukcija	reconstruction
erupcija	eruption
šesnaest	sixteen
nicolas	nicolas
podići	raise
kan	khan
kan	kan
sumnja	suspects
sumnja	suspicion
sumnja	doubt
sumnja	doubts
sumnja	suspected
nastanjuje	inhabits
schneid	schneid
sbc	sbc
uživa	enjoys
uživa	enjoying
igranje	playing
jaki	strong
horn	horn
pobunjenika	rebel
pristupio	accessed
pažljivo	carefully
biblija	bible
četrnaest	fourteen
koordinate	coordinates
walesa	wales
sao	sao
stockholm	stockholm
magnetsko	magnetic
zbunjen	confused
standardima	standards
kontroverze	controversy
abdul	abdul
margaret	margaret
price	price
price	stories
stana	stan
židove	jews
židove	jew
cactaceae	cactaceae
agyneta	agyneta
vojislav	vojislav
atlantic	atlantic
očuvanju	preservation
blokiran	blocked
svinje	pigs
platforme	platforms
arterije	arteries
kabine	cabins
aves	aves
plamen	flame
plamen	flames
cibona	cibona
uspostavlja	establishes
beat	beat
čuvar	keeper
čuvar	guardian
čuvar	guard
ratko	ratko
hrast	oak
melodije	melodies
melodije	tunes
kiss	kiss
optužio	accused
odgovorna	responsible
anolis	anolis
icao	icao
doseg	range
doseg	reach
premijeru	premiere
infrastrukture	infrastructure
okusa	flavors
okusa	taste
okusa	tastes
okusa	flavor
prekinuta	interrupted
osjećaje	feelings
organiziran	organised
organiziran	organized
lamarck	lamarck
hipoteza	hypotheses
hipoteza	hypothesis
organiziranje	organising
organiziranje	organizing
obrt	craft
obrt	crafts
kylie	kylie
pravno	legally
pravno	legal
zbroj	sum
bačka	bačka
diamond	diamond
neil	neil
preživjeti	survive
izdvojiti	allocate
poglavar	chieftain
predlošci	templates
duncan	duncan
schult	schult
pumpa	pump
fern	fern
airbus	airbus
clara	clara
slijedio	followed
pera	feather
pera	feathers
norme	norms
norme	norm
nosa	nose
bomba	bomb
metalni	metal
metalni	metallic
tower	tower
bush	bush
euonymus	euonymus
ujak	uncle
dokumenta	documents
dokumenta	document
bauer	bauer
izvorna	original
dominiraju	dominate
sara	sarah
sara	sara
lokomotive	locomotive
rené	rené
rené	rene
česi	czechs
radoslav	radoslav
neriješeno	tie
neriješeno	unsolved
sullivan	sullivan
firenca	florence
slabi	weak
svijetlo	light
svijetlo	bright
braun	braun
