modificar	modificare
conexiones	collegamenti
cumplimiento	adempimento
jugados	giocati
aurora	aurora
quedarse	rimanere
htm	htm
australiana	australiana
ámsterdam	amsterdam
ilustración	illustrazione
potosí	potosí
efectiva	efficace
constituyente	costituente
convertir	convertire
emite	emette
llanura	pianura
levantamiento	rivolta
hebreo	ebraico
propaganda	propaganda
desea	desidera
thompson	thompson
jay	jay
secuela	sequel
tributo	tributo
placas	distintivi
placas	piastre
estructural	strutturale
culpa	colpa
causar	causare
concejales	consiglieri
singapur	singapore
desarrollan	sviluppano
comerciantes	commercianti
bank	bank
meseta	altopiano
hamburgo	amburgo
ordenado	ordinato
pereira	pereira
proporción	proporzione
asociada	associata
fiat	fiat
estimada	stimata
interfaz	interfaccia
poniendo	mettendo
vuelven	ritornano
vuelven	tornano
correa	guinzaglio
colaborar	collaborare
arquidiócesis	arcidiocesi
episcopal	episcopale
secretaria	segretaria
circuitos	circuiti
magallanes	magellano
concacaf	concacaf
auxiliar	ausiliario
minería	miniere
corteza	corteccia
anónimo	anonimo
sensación	sensazione
afluentes	affluenti
suave	morbido
suave	liscio
have	have
constantes	costanti
viaja	viaggia
cbs	cbs
jamaica	giamaica
censura	censura
rebelde	ribelle
roll	roll
paco	paco
matías	mattia
nancy	nancy
crimea	crimea
liberado	liberato
liberado	rilasciato
narrativa	narrativa
gerente	direttore
encuesta	sondaggio
enciclopédico	enciclopedica
pokémon	pokémon
libertador	liberatore
virreinato	vicereame
medir	misurazione
medir	misurare
asume	assume
dieta	dieta
aparente	apparente
discusiones	discussioni
stanley	stanley
panorama	panorama
realistas	realistici
rin	reno
animada	animata
nativa	nativa
intensa	intensa
duelo	duello
legend	legend
seattle	seattle
seiyū	seiyū
rectangular	rettangolare
english	english
acústica	acustica
innovación	innovazione
hueso	osso
donald	donald
rincón	angolo
jacob	jacob
jacob	giacobbe
ordenador	computer
baño	bagno
seguros	assicurazioni
correr	correre
hms	hms
telecomunicaciones	telecomunicazioni
arequipa	arequipa
iris	iris
maldonado	maldonado
ocupando	occupando
cantando	cantando
examen	esame
depósitos	depositi
ocasionalmente	occasionalmente
gov	gov
homer	homer
liverpool	liverpool
rap	rap
respondió	rispose
asistir	assistere
turistas	turisti
darío	dario
imdb	imdb
autobús	autobus
anuncia	annuncia
confusión	confusione
lituania	lituania
unieron	unirono
tendencias	tendenze
secretos	segreti
tommy	tommy
probabilidad	probabilità
disc	disc
provinciales	provinciali
amistoso	amichevole
convenio	convenzione
elaborado	elaborato
entretenimiento	intrattenimento
usadas	usate
euphorbia	euphorbia
direcciones	indirizzi
soprano	soprano
now	now
delitos	reati
delitos	crimini
atletas	atleti
sonic	sonic
semifinal	semifinale
asumir	assumere
espectro	spettro
serio	serio
gobernantes	governanti
capacidades	capacità
inteligente	intelligente
introducido	inserito
introducido	introdotto
atribuye	attribuisce
ficticio	fittizio
manhattan	manhattan
concursos	concorsi
partió	partì
cia	cia
europe	europe
abundantes	abbondanti
dosis	dosaggio
conocía	conoscevo
cubrir	coprire
antártida	antartide
unen	uniscono
citas	appuntamenti
aprobada	approvata
investigar	indagare
libreto	libretto
filadelfia	filadelfia
decidido	deciso
baden	baden
vincent	vincent
falso	falsi
falso	falso
jesuitas	gesuiti
enfrenta	affronta
humedad	umidità
atracción	attrazione
jurídico	giuridico
tabasco	tabasco
formaciones	formazioni
destruida	distrutta
testigo	testimone
afluente	affluente
seguida	seguita
bros	bros
kilómetro	chilometro
bobby	bobby
lugo	lugo
reptiles	rettili
logo	logo
sustancia	sostanza
holandés	olandese
plus	plus
estocolmo	stoccolma
nasa	nasa
masiva	massiccia
viendo	guardando
mercurio	mercurio
gilbert	gilbert
escobar	escobar
moléculas	molecole
regulación	regolazione
sargento	sergente
alturas	altezze
creencia	credenza
aterrizaje	atterraggio
campbell	campbell
danny	danny
ventajas	vantaggi
abandona	abbandona
martes	martedì
requieren	richiedono
arsenal	arsenal
sociología	sociologia
nigeria	nigeria
constantinopla	costantinopoli
extrema	estrema
extrema	estremo
gibraltar	gibilterra
consola	console
sentimiento	sentimento
cargas	carichi
complutense	complutense
suficientes	sufficienti
when	when
márquez	marquez
flash	flash
place	place
reality	reality
castillos	castelli
fuga	fuga
cleveland	cleveland
dorada	dorata
abuela	nonna
afueras	sobborghi
experto	esperto
frontal	frontale
aprovechando	approfittando
considerablemente	considerevolmente
borgoña	borgogna
huevo	uovo
tragedia	tragedia
dejan	lasciano
lagunas	lacune
beta	beta
contaminación	inquinamento
charlotte	charlotte
azteca	azteco
how	how
boeing	boeing
transmisiones	trasmissioni
aliado	alleato
enfrentar	affrontare
ama	ama
ama	padrona
viejos	vecchi
mediodía	mezzogiorno
traducciones	traduzioni
pulgadas	pollici
arnold	arnold
ladrillo	mattone
calvo	calvo
barbara	barbara
creer	credere
compartir	condividi
niñas	bambine
niñas	ragazze
dependencia	dipendenza
detective	detective
probar	provare
mónica	monica
arroyos	ruscelli
volante	volante
sabio	saggio
budapest	budapest
cráneo	cranio
provocando	provocando
madison	madison
caridad	carità
leftarm	leftarm
llave	chiave
situadas	situate
exclusiva	esclusiva
reference	reference
armados	armati
three	three
manuscritos	manoscritti
rivas	rivas
major	major
necesariamente	necessariamente
tve	tve
demonio	demone
emitida	emessa
emitida	emesso
carrillo	carrillo
reside	risiede
nazis	nazisti
lérida	lleida
valdivia	valdivia
luisiana	louisiana
dedicarse	dedicarsi
televisa	televisa
malo	cattivo
materias	materie
urbanas	urbane
estándares	standard
gases	gas
boletín	bollettino
boletín	newsletter
potencias	potenze
ejemplar	esemplare
separadas	separate
express	express
normales	normali
estelar	stellare
montaje	montaggio
digo	dico
demo	demo
considerando	considerando
enviados	inviati
fotógrafo	fotografo
kent	kent
larry	larry
porción	porzione
asesinados	uccisi
asesinados	assassinati
combatientes	combattenti
oponente	avversario
prince	prince
activamente	attivamente
pura	pura
viola	viola
track	track
parodia	parodia
evangelio	vangelo
honda	honda
eléctricos	elettrici
loira	loira
esfera	sfera
muertes	morti
román	román
intenso	intenso
vaya	vada
alvarado	alvarado
ibáñez	ibáñez
litros	litri
constituido	costituito
name	name
consulado	consolato
autorización	autorizzazione
belén	betlemme
próximos	prossimi
discografía	discografia
ponen	mettono
gerona	girona
rangers	rangers
esquí	sci
envía	invia
prisionero	prigioniero
causando	causando
disparo	sparo
teorema	teorema
extenso	vasto
golpes	colpi
mega	mega
herbert	herbert
dinosaurios	dinosauri
brevemente	brevemente
preparar	preparare
extranjera	straniera
caña	canna
ética	etica
arquitectónico	architettonico
other	other
encontrados	trovati
correspondencia	corrispondenza
monjes	monaci
formatos	formati
vaticano	vaticano
bombardeo	bombardamento
respuestas	risposte
cooper	cooper
duero	duero
august	august
cambiando	cambiando
típicos	tipici
lento	lento
summer	summer
dramaturgo	drammaturgo
seudónimo	pseudonimo
sacro	sacro
apoyado	supportato
independientemente	indipendentemente
astronómico	astronomico
ludwig	ludwig
velázquez	velázquez
líbano	libano
túnez	tunisia
cena	cena
incluidas	incluse
four	four
pescado	pesce
republicanos	repubblicani
magic	magic
lujo	lusso
electrones	elettroni
wood	wood
vacaciones	vacanze
descendiente	discendente
abiertos	aperti
sainte	sainte
eta	eta
pts	pts
cóndor	condor
reduce	riduce
coronado	incoronato
esperando	aspettando
manifestación	manifestazione
robles	robles
bienestar	benessere
suplente	supplente
sueca	svedese
convencional	convenzionale
asesinatos	omicidi
fieles	fedeli
southern	southern
concha	conchiglia
implementación	implementazione
correctamente	correttamente
perdida	persa
ciudadanía	cittadinanza
modern	modern
significativo	significativo
desastre	disastro
warren	warren
elías	elia
ltd	srl
ltd	ltd
identificado	identificato
ejecutar	esegui
studio	studio
law	law
calificación	qualificazione
calificación	rating
dramática	drammatica
antoine	antoine
plástico	plastica
armadura	armatura
guipúzcoa	guipúzcoa
dedicados	dedicati
bebé	bambino
hits	hits
tenor	tenore
mortal	mortale
reconocimientos	riconoscimenti
tallos	steli
casino	casino
leipzig	lipsia
delegado	delegato
adoptado	adottato
colinas	collina
apolo	apollo
membrana	membrana
etnia	etnia
ruido	rumore
ricos	ricchi
radar	radar
wagner	wagner
quieren	vogliono
teatros	teatri
añadido	aggiunto
fabricantes	produttori
trabajan	lavorano
pilares	pilastri
guarnición	guarnigione
edwards	edwards
fábricas	fabbriche
roman	roman
oliva	oliva
conservadores	conservatori
contener	contenere
secos	secchi
escape	fuga
shakespeare	shakespeare
marín	marín
für	für
under	under
eugenia	eugenia
cap	cap
desarrollados	sviluppati
baños	bagni
alternativas	alternative
logro	conseguimento
entiende	capisce
extracción	estrazione
profundamente	profondamente
fresco	fresco
nacionalismo	nazionalismo
cruzar	attraversare
adulto	adulto
adulto	adulti
disciplinas	discipline
responder	rispondere
hermosa	bellissima
galaxia	galassia
age	age
cubiertas	coperture
dependencias	dipendenze
produciendo	producendo
abu	abu
bola	palla
lázaro	lazzaro
wolf	wolf
certificado	certificato
vigor	vigore
rita	rita
usaba	usavo
usaba	usava
uss	uss
escándalo	scandalo
tanque	serbatoio
sólido	solido
kiev	kiev
serpiente	serpente
testigos	testimoni
economista	economista
submarino	sottomarino
códigos	codici
prevención	prevenzione
abiertas	aperte
progresivo	progressiva
progresivo	progressivo
estudia	studia
paloma	colomba
folk	folk
ira	rabbia
atractivo	attraente
volar	volare
recta	dritta
ecuatoriano	ecuadoriano
entregado	consegnato
etiopía	etiopia
dick	dick
jefferson	jefferson
celeste	celeste
palermo	palermo
asientos	sedili
dominios	domini
falsa	falsa
bond	bond
cerdo	maiale
dorsal	dorsale
woman	woman
women	women
blood	blood
danés	danese
studies	studies
cajas	scatole
pacific	pacific
ring	ring
fiebre	febbre
geometría	geometria
pink	pink
doblaje	doppiaggio
hoteles	alberghi
blas	blas
bull	bull
ayala	ayala
derrotas	sconfitte
macizo	massiccio
sacramento	sacramento
neil	neil
documentales	documentari
introducir	introdurre
libia	libia
canciller	cancelliere
collins	collins
aldeas	villaggi
silvia	silvia
inmaculada	immacolata
potente	potente
desafío	sfida
respectivos	rispettivi
ordena	ordina
determinados	determinati
santísima	santissima
soberano	sovrano
emi	emi
normandía	normandia
temporalmente	temporaneamente
chart	chart
divina	divina
hablantes	parlanti
quedaba	rimaneva
quedaba	restava
ilustres	illustri
acusaciones	accuse
sudoeste	sudovest
prieto	prieto
oso	orso
cruzada	crociata
teruel	teruel
nat	nat
mostrado	mostrato
excentricidad	eccentricità
camp	camp
rivadavia	rivadavia
levante	levante
reunir	riunire
aproximación	approssimazione
mirada	sguardo
hará	farà
marquesado	marchesato
sri	sri
departamental	dipartimentale
plumas	piume
consideración	considerazione
cerrar	chiudi
cerrar	chiudere
molino	mulino
tronco	tronco
cuarteto	quartetto
presentarse	presentarsi
nativo	nativo
cook	cook
marquesa	marchesa
reducida	ridotta
anatomía	anatomia
monstruo	mostro
escribiendo	scrivendo
dedos	dita
denis	denis
anunciado	annunciato
futbol	calcio
vitoria	vitoria
estonia	estonia
bacterias	batteri
ortodoxa	ortodossa
ortodoxa	ortodosso
extendido	esteso
arácnidos	aracnidi
ilegal	illegale
apóstol	apostolo
ejecutado	eseguito
ejecutado	giustiziato
denominados	denominati
intentando	provando
garantizar	garantire
escocés	scozzese
crecer	crescere
helena	helena
trasera	posteriore
apreciar	apprezzare
discutir	discutere
conducido	guidato
gabriela	gabriela
coordinador	coordinatore
miércoles	mercoledì
poseer	possedere
terrorismo	terrorismo
linares	linares
side	side
poderosa	potente
precipitaciones	precipitazioni
capturar	catturare
niega	nega
dame	dammi
defecto	difetto
marcada	marcata
viajeros	viaggiatori
sobrevivir	sopravvivere
ferrari	ferrari
experimento	esperimento
románico	romanico
consideradas	considerate
escasos	scarsi
adolescentes	adolescenti
callao	callao
confirmado	confermato
here	here
brooklyn	brooklyn
comunica	comunica
impedir	impedire
lienzo	tela
empiezan	cominciano
empiezan	iniziano
taekwondo	taekwondo
solidaridad	solidarietà
gard	gard
evans	evans
accesible	accessibile
aporte	apporto
georg	georg
aproximada	approssimativa
certificados	certificati
castigo	punizione
complejidad	complessità
renacentista	rinascimentale
adrián	adrian
head	head
nordeste	nordest
gallo	gallo
salomón	salomone
nbc	nbc
exportación	esportazione
colectiva	collettivo
colectiva	collettiva
susana	susana
hambre	fame
residuos	rifiuti
socialismo	socialismo
américas	americhe
directorio	directory
square	square
cruza	attraversa
leones	leoni
consigo	ottengo
amy	amy
prohibición	divieto
autovía	superstrada
dean	dean
alusión	allusione
leonor	eleonora
irregular	irregolare
videoclip	videoclip
consecutivos	consecutivi
escudos	scudi
operar	operare
terapia	terapia
instalado	installato
famosas	famose
fallo	guasto
barro	fango
banca	panchina
únicas	uniche
acompañada	accompagnata
luchadores	combattenti
stuttgart	stoccarda
riesgos	rischi
eco	eco
acosta	acosta
vienen	arrivano
vienen	vengono
never	never
apellidos	cognome
polaca	polacca
class	class
presentadora	conduttrice
comisario	commissario
decenas	decine
campana	campana
pib	pil
tía	zia
rivalidad	rivalità
húmedo	umido
venía	venivo
venía	veniva
embajadores	ambasciatori
hospitales	ospedali
morelos	morelos
astronomía	astronomia
alcanzan	raggiungono
leal	leale
terroristas	terroristi
visuales	visivi
establecimientos	stabilimenti
estás	stai
guido	guido
comisiones	commissioni
detención	arresto
algoritmo	algoritmo
inversiones	investimenti
criaturas	creature
lloyd	lloyd
mercancías	merci
construye	costruisci
margaret	margaret
hills	hills
jennifer	jennifer
agregar	aggiungere
agregar	aggiungi
ataca	attacca
lorca	lorca
serra	serra
refugiados	rifugiati
cantera	cava
marcel	marcel
mancomunidad	commonwealth
dylan	dylan
harold	harold
god	god
descubridor	scopritore
énfasis	enfasi
combinado	combinato
almagro	almagro
potter	potter
circo	circo
robo	furto
robo	rubo
vecina	vicina
modificado	modificato
radial	radiale
angola	angola
contactos	contatti
conservado	conservato
comparten	condividono
hudson	hudson
pampa	pampa
flauta	flauto
hormigón	calcestruzzo
autoría	authoring
pinto	pinto
odio	odio
cauca	cauca
celta	celtica
consultas	consultazioni
comprobar	controllare
comprobar	verificare
prosa	prosa
radicales	radicali
condena	condanna
connecticut	connecticut
discípulo	discepolo
saboya	savoia
juzgado	giudicato
religiones	religioni
lealtad	lealtà
compañera	compagna
morris	morris
start	start
funcional	funzionale
guevara	guevara
cayo	gaio
melbourne	melbourne
máscara	maschera
activista	attivista
michelle	michelle
galardonado	premiato
novelista	romanziere
avanzar	avanzare
puro	puro
tomas	tomas
separada	separata
comprensión	comprensione
dándole	dandole
dándole	dandogli
blake	blake
mónaco	monaco
distinguir	distinguere
expediciones	spedizioni
rodeada	circondata
compleja	complessa
ontario	ontario
trilogía	trilogia
chocolate	cioccolato
terminada	terminata
tumbas	tombe
conservar	conservare
berkeley	berkeley
inmediata	immediata
riego	irrigazione
jacobo	giacomo
podrán	potranno
piernas	gambe
típicamente	tipicamente
dramático	drammatico
músculo	muscolo
atleta	atleta
val	val
franquista	franchista
ambientadas	ambientate
bonus	bonus
croata	croato
paquete	pacchetto
públicamente	pubblicamente
busto	busto
desconocida	sconosciuta
especialistas	specialisti
opuesto	opposto
mono	scimmia
trastornos	disturbi
afectados	colpiti
rehabilitación	riabilitazione
revelación	rivelazione
aluminio	alluminio
satélites	satelliti
zero	zero
infección	infezione
largometraje	lungometraggio
latinoamericana	latinoamericana
pasaba	passavo
pasaba	passava
noveno	nono
mezquita	moschea
she	she
kurt	kurt
contratos	contratti
guardias	guardie
definida	definita
salieron	uscirono
regente	reggente
terrorista	terrorista
only	only
desarrollando	sviluppando
superficial	superficiale
hardware	hardware
abundancia	abbondanza
procesamiento	elaborazione
marfil	avorio
entraron	entrarono
test	test
redactor	redattore
gaspar	gaspar
conspiración	cospirazione
institut	institut
ejerce	esercita
estratégica	strategica
verbo	verbo
excelencia	eccellenza
funcionario	funzionario
explorador	esploratore
cumpleaños	compleanno
ernst	ernst
uruguaya	uruguaiana
kate	kate
taxonomía	tassonomia
útiles	utili
eres	sei
mixto	misto
interino	interim
melodía	melodia
profundas	profonde
estimación	stima
luigi	luigi
afc	afc
albania	albania
area	area
costarricense	costaricano
comunicado	comunicato
dieciséis	sedici
ucraniano	ucraino
detenidos	arrestati
esencia	essenza
seúl	seoul
conversaciones	conversazioni
percepción	percezione
fijo	fisso
subespecies	sottospecie
descripciones	descrizioni
fundar	fondare
supo	seppe
full	full
excavaciones	scavi
silver	silver
presentaba	presentava
wii	wii
pila	pila
regularmente	regolarmente
caos	caos
módulo	modulo
eslovenia	slovenia
soccerway	soccerway
turcos	turchi
sedes	sedi
garganta	gola
eficiencia	efficienza
prohibido	vietato
mitre	mitre
noruego	norvegese
there	there
consistente	coerente
rítmica	ritmica
dulces	dolci
permanencia	permanenza
watson	watson
euskera	basco
anglo	anglo
historietas	fumetti
philadelphia	filadelfia
exceso	eccesso
triángulo	triangolo
bart	bart
clero	clero
habsburgo	asburgo
relativo	relativo
cama	letto
eficaz	efficace
eficaz	efficiente
comenta	commenta
terminando	terminando
piedad	pietà
surgieron	emerse
utilizaba	utilizzava
camilo	camillo
ram	ram
michoacán	michoacán
mantenerse	mantenersi
realismo	realismo
espinosa	espinosa
subespecie	sottospecie
conversación	conversazione
dante	dante
pionero	pioniere
battle	battle
clasificar	classificare
espinas	spine
cretácico	cretaceo
ted	ted
habitaciones	camere
myspace	myspace
constituida	costituita
pido	chiedo
arbustos	arbusti
consecutivas	consecutive
aeropuertos	aeroporti
urbanización	urbanizzazione
mencionados	menzionati
irse	andarsene
utc+	utc+
adjunto	allegato
supervivencia	sopravvivenza
cómics	fumetti
pistola	pistola
ascensión	ascensione
cover	cover
constancia	costanza
dennis	dennis
migración	migrazione
hunter	hunter
box	box
noventa	novanta
noventa	noventa
conveniente	conveniente
honoris	honoris
ola	onda
ilustre	illustre
martha	martha
adición	aggiunta
dialecto	dialetto
gramática	grammatica
limpieza	pulizia
explorer	explorer
foraminíferos	foraminiferi
marcar	segna
oceanía	oceania
cáucaso	caucaso
solicitar	richiedi
after	after
varela	varela
wang	wang
revolucionaria	rivoluzionaria
enamorado	innamorato
policías	poliziotti
arcade	arcade
threatened	threatened
púrpura	porpora
púrpura	viola
eclesiástica	ecclesiastica
pensaba	pensavo
llevaban	indossavano
llevaban	portavano
expresar	esprimere
jacinto	jacinto
uribe	uribe
reconquista	riconquista
minoría	minoranza
medicamentos	medicinali
crean	creano
bebida	bevanda
mitchell	mitchell
rascacielos	grattacielo
destinados	destinati
aceptada	accettata
favorito	preferito
apoya	sostiene
apoya	supporta
transforma	trasforma
élite	élite
élite	elite
futuros	futuri
contreras	contreras
ncaa	ncaa
negativo	negativo
cordero	agnello
andaluz	andaluso
provocar	provocare
leonard	leonard
ibm	ibm
austral	australe
coma	virgola
oscuridad	buio
caracol	lumaca
estatuas	statue
days	days
malos	cattivi
cazadores	cacciatori
temple	temple
castellanos	castellanos
urbanismo	urbanistica
tokyo	tokyo
vendidos	venduti
doctores	dottori
hércules	ercole
trastorno	disturbo
restricciones	restrizioni
producidas	prodotte
capillas	cappelle
traición	tradimento
amenazas	minacce
suministro	fornitura
rumores	voci
heredia	heredia
sandra	sandra
sombrero	cappello
sentir	sentire
residencial	residenziale
mit	mit
territoriales	territoriali
herzegovina	erzegovina
abel	abel
armonía	armonia
amo	padrone
amo	amo
cadáver	cadavere
inter	inter
distingue	distingue
obligación	obbligo
soccer	soccer
sweet	sweet
years	years
distancias	distanze
pensó	pensò
bordes	bordi
public	public
fracción	frazione
cintas	nastri
kenia	kenya
homosexualidad	omosessualità
obligados	costretti
obligados	obbligati
allende	allende
joão	joão
picos	picchi
aníbal	annibale
defensas	difese
orquídeas	orchidee
invitación	invito
patagonia	patagonia
cívica	civica
presentando	presentando
mágico	magico
transmitir	trasmettere
richter	richter
ritual	rituale
corpus	corpus
exclusivo	esclusiva
exclusivo	esclusivo
round	round
intermedia	intermedia
pete	pete
muerta	morta
ritmos	ritmi
industry	industry
menéndez	menéndez
bebidas	bevande
llanos	pianure
stanford	stanford
tallo	fusto
tallo	gambo
newton	newton
dell	dell
cartago	cartagine
expuesto	esposto
ion	ione
incapaz	incapace
aparatos	apparecchi
leon	leon
greg	greg
arañas	ragni
bush	bush
automática	automatico
automática	automatica
consciente	cosciente
lola	lola
take	take
honores	onori
monje	monaco
aragonés	aragonese
esencialmente	essenzialmente
juegan	giocano
quiera	voglia
fragmento	frammento
anales	annali
claustro	chiostro
choque	shock
azerbaiyán	azerbaigian
sierras	seghe
comprender	comprendere
exacta	esatta
romeo	romeo
auditorio	auditorium
transmitido	trasmesso
eslovaquia	slovacchia
hablado	parlato
círculos	cerchi
entierro	sepoltura
interesado	interessato
claves	chiavi
fragata	fregata
narrador	narratore
unir	unire
intermedio	intermedio
human	human
luke	luke
hermann	hermann
respectivas	rispettive
remo	remo
computadoras	computer
sacrificio	sacrificio
intenciones	intenzioni
promesa	promessa
ejecutados	giustiziati
todd	todd
consultar	consultare
cilindros	cilindri
dedicadas	dedicate
walt	walt
belgrado	belgrado
raro	strano
raro	raro
baterías	batterie
daría	darei
abuso	abuso
quisiera	vorrei
receptores	ricevitori
estrategias	strategie
intersección	intersezione
aumentando	aumentando
conquistar	conquistare
almas	anime
stuart	stuart
superficies	superfici
buscan	cercano
fila	fila
natalia	natalia
toque	tocco
deseos	desideri
brujas	streghe
brujas	bruges
continentales	continentali
atlantic	atlantic
causado	causato
determinadas	determinate
match	match
incorporado	incorporato
fiables	affidabili
enfermo	malato
polar	polare
avanzado	avanzato
avanzado	avanzate
llamas	fiamme
ortografía	ortografia
grace	grace
plant	plant
away	away
latinoamericano	latinoamericano
caro	costoso
esgrima	scherma
our	our
emitir	emettere
equipamiento	attrezzatura
óptica	ottica
ingredientes	ingredienti
párrafo	paragrafo
pizarro	pizarro
reconocen	riconoscono
mago	mago
sustituir	sostituire
montero	montero
buscaba	cercavo
eliminados	eliminati
extraña	strana
suicidio	suicidio
wolfgang	wolfgang
enormes	enormi
asiento	sedile
presos	prigionieri
vice	vice
slam	slam
alerta	allarme
levantar	sollevare
naturalista	naturalista
jujuy	jujuy
osorio	osorio
rodea	circonda
hawái	hawaii
wide	wide
amenazada	minacciata
escenografía	scenografia
superado	superato
superado	superata
submarinos	sottomarini
susan	susan
bailarina	ballerina
preparado	preparato
borja	borja
nido	nido
reemplazar	sostituisci
fibra	fibra
colaboraciones	collaborazioni
secuencias	sequenze
donación	donazione
acontecimiento	evento
acontecimiento	avvenimento
acompaña	accompagna
church	church
entregar	consegnare
olga	olga
cohete	razzo
vancouver	vancouver
pontevedra	pontevedra
horizonte	orizzonte
correos	poste
extraordinario	straordinario
folclore	folklore
prevenir	prevenire
boliviano	boliviano
cano	cano
romántica	romantica
designar	designare
derrotados	sconfitti
compartido	condiviso
fan	fan
cineasta	regista
malas	cattive
afirmación	affermazione
sombras	ombre
violeta	vittorio
itunes	itunes
poblada	popolata
ácidos	acidi
nicholas	nicholas
inflorescencia	infiorescenza
osvaldo	osvaldo
guayana	guyana
inspirada	ispirato
inspirada	ispirata
respaldo	schienale
ejes	assi
militantes	militanti
oculta	nascosta
alejandra	alessandra
helicóptero	elicottero
wall	wall
aplicada	applicata
sindicatos	sindacati
testimonios	testimonianze
keith	keith
liberar	liberare
business	business
determina	determina
incidentes	incidenti
nervioso	nervoso
paraguayo	paraguaiano
convierten	convertono
